x,y,um,vm,wm,pm,uu,vv,ww,uv,
-0.0518767,1.00004,0,0,0,-0.177813,0,0,0,0,
-0.0389077,1.00003,0,0,0,-0.174993,0,0,0,0,
-0.0129693,1.00001,0,0,0,-0.169353,0,0,0,0,
0.0129694,1.00001,0,0,0,-0.16273,0,0,0,0,
0.0389081,1.00003,0,0,0,-0.157061,0,0,0,0,
0.0648473,1.00005,0,0,0,-0.149066,0,0,0,0,
0.0907853,0.999878,0,0,0,-0.144782,0,0,0,0,
0.116715,0.99923,0,0,0,-0.137839,0,0,0,0,
0.142646,0.998604,0,0,0,-0.133116,0,0,0,0,
0.168552,0.997443,0,0,0,-0.128006,0,0,0,0,
0.194332,0.994597,0,0,0,-0.127047,0,0,0,0,
0.220045,0.991091,0,0,0,-0.119602,0,0,0,0,
0.245622,0.986793,0,0,0,-0.120142,0,0,0,0,
0.270846,0.980766,0,0,0,-0.114876,0,0,0,0,
0.295736,0.97349,0,0,0,-0.113731,0,0,0,0,
0.320143,0.964771,0,0,0,-0.111048,0,0,0,0,
0.34398,0.954568,0,0,0,-0.109135,0,0,0,0,
0.367315,0.943269,0,0,0,-0.107621,0,0,0,0,
0.390128,0.930951,0,0,0,-0.104779,0,0,0,0,
0.412447,0.91776,0,0,0,-0.101855,0,0,0,0,
0.43433,0.903859,0,0,0,-0.0982124,0,0,0,0,
0.455829,0.889374,0,0,0,-0.0960318,0,0,0,0,
0.476968,0.874368,0,0,0,-0.0937922,0,0,0,0,
0.497892,0.859063,0,0,0,-0.0933691,0,0,0,0,
0.518584,0.843447,0,0,0,-0.092599,0,0,0,0,
0.538967,0.82743,0,0,0,-0.0929247,0,0,0,0,
0.559134,0.811145,0,0,0,-0.0934945,0,0,0,0,
0.579071,0.79458,0,0,0,-0.094278,0,0,0,0,
0.598936,0.777927,0,0,0,-0.0948349,0,0,0,0,
0.618794,0.761266,0,0,0,-0.0950321,0,0,0,0,
0.638532,0.744464,0,0,0,-0.0947089,0,0,0,0,
0.65817,0.727545,0,0,0,-0.0941463,0,0,0,0,
0.677847,0.710671,0,0,0,-0.0934831,0,0,0,0,
0.697627,0.693918,0,0,0,-0.0929929,0,0,0,0,
0.717457,0.677224,0,0,0,-0.0926363,0,0,0,0,
0.737309,0.660556,0,0,0,-0.0923155,0,0,0,0,
0.75714,0.643863,0,0,0,-0.0917736,0,0,0,0,
0.777088,0.627311,0,0,0,-0.0912894,0,0,0,0,
0.79717,0.610921,0,0,0,-0.0907733,0,0,0,0,
0.817204,0.594472,0,0,0,-0.0903069,0,0,0,0,
0.837274,0.578067,0,0,0,-0.0898543,0,0,0,0,
0.85747,0.561815,0,0,0,-0.0895888,0,0,0,0,
0.877716,0.545628,0,0,0,-0.0890132,0,0,0,0,
0.898015,0.529506,0,0,0,-0.0886354,0,0,0,0,
0.918354,0.513434,0,0,0,-0.0880782,0,0,0,0,
0.93872,0.497398,0,0,0,-0.087989,0,0,0,0,
0.959113,0.481395,0,0,0,-0.0875432,0,0,0,0,
0.979572,0.465476,0,0,0,-0.0876054,0,0,0,0,
1.00006,0.449601,0,0,0,-0.0872497,0,0,0,0,
1.02056,0.433729,0,0,0,-0.0874836,0,0,0,0,
1.04108,0.417887,0,0,0,-0.0867837,0,0,0,0,
1.06156,0.402004,0,0,0,-0.0869143,0,0,0,0,
1.08233,0.385997,0,0,0,-0.086054,0,0,0,0,
1.10337,0.369866,0,0,0,-0.0864304,0,0,0,0,
1.12439,0.35371,0,0,0,-0.0857604,0,0,0,0,
1.14546,0.337611,0,0,0,-0.0858281,0,0,0,0,
1.16658,0.32159,0,0,0,-0.0854687,0,0,0,0,
1.18778,0.305671,0,0,0,-0.0853168,0,0,0,0,
1.20906,0.289857,0,0,0,-0.0849017,0,0,0,0,
1.23044,0.274176,0,0,0,-0.0845656,0,0,0,0,
1.25194,0.258666,0,0,0,-0.0841537,0,0,0,0,
1.27355,0.243307,0,0,0,-0.0836032,0,0,0,0,
1.29529,0.228139,0,0,0,-0.0835472,0,0,0,0,
1.31722,0.213232,0,0,0,-0.0831022,0,0,0,0,
1.33941,0.198739,0,0,0,-0.0833758,0,0,0,0,
1.36169,0.184363,0,0,0,-0.0827844,0,0,0,0,
1.38406,0.170153,0,0,0,-0.0827297,0,0,0,0,
1.40677,0.156467,0,0,0,-0.0827609,0,0,0,0,
1.4297,0.14317,0,0,0,-0.0826037,0,0,0,0,
1.45288,0.130318,0,0,0,-0.0825866,0,0,0,0,
1.47633,0.117947,0,0,0,-0.0825095,0,0,0,0,
1.50001,0.106037,0,0,0,-0.0824415,0,0,0,0,
1.52394,0.0946402,0,0,0,-0.0823168,0,0,0,0,
1.54813,0.0838004,0,0,0,-0.0820802,0,0,0,0,
1.57255,0.073505,0,0,0,-0.0819751,0,0,0,0,
1.5972,0.0637827,0,0,0,-0.0819717,0,0,0,0,
1.6221,0.0546828,0,0,0,-0.0817208,0,0,0,0,
1.6472,0.0462011,0,0,0,-0.0814473,0,0,0,0,
1.67252,0.0383481,0,0,0,-0.0811321,0,0,0,0,
1.69802,0.0311615,0,0,0,-0.0807306,0,0,0,0,
1.72372,0.0246913,0,0,0,-0.080384,0,0,0,0,
1.74959,0.0189574,0,0,0,-0.0801275,0,0,0,0,
1.77561,0.0139469,0,0,0,-0.0798023,0,0,0,0,
1.80176,0.00965802,0,0,0,-0.0794027,0,0,0,0,
1.82802,0.00612176,0,0,0,-0.0791132,0,0,0,0,
1.85438,0.00342789,0,0,0,-0.0789845,0,0,0,0,
1.88081,0.0015696,0,0,0,-0.0788714,0,0,0,0,
1.90728,0.000514706,0,0,0,-0.0788337,0,0,0,0,
1.93377,0.000123636,0,0,0,-0.0788565,0,0,0,0,
1.96026,3.98552e-05,0,0,0,-0.0788885,0,0,0,0,
1.98675,1.32851e-05,0,0,0,-0.0788564,0,0,0,0,
2.0129,0,0,0,0,-0.0784443,0,0,0,0,
2.03915,0,0,0,0,-0.0777907,0,0,0,0,
2.06632,0,0,0,0,-0.0770416,0,0,0,0,
2.09443,0,0,0,0,-0.0758275,0,0,0,0,
2.12349,0,0,0,0,-0.0747909,0,0,0,0,
2.15354,0,0,0,0,-0.0735975,0,0,0,0,
2.18458,0,0,0,0,-0.071719,0,0,0,0,
2.21664,0,0,0,0,-0.0698421,0,0,0,0,
2.24974,0,0,0,0,-0.0672518,0,0,0,0,
2.2839,0,0,0,0,-0.0643565,0,0,0,0,
2.31912,0,0,0,0,-0.0616676,0,0,0,0,
2.35543,0,0,0,0,-0.0591659,0,0,0,0,
2.39285,0,0,0,0,-0.0567428,0,0,0,0,
2.43138,0,0,0,0,-0.0536506,0,0,0,0,
2.47103,0,0,0,0,-0.051153,0,0,0,0,
2.51183,0,0,0,0,-0.0472878,0,0,0,0,
2.55377,0,0,0,0,-0.0440692,0,0,0,0,
2.59687,0,0,0,0,-0.040572,0,0,0,0,
2.64112,0,0,0,0,-0.0360626,0,0,0,0,
2.68653,0,0,0,0,-0.0319124,0,0,0,0,
2.73311,0,0,0,0,-0.0272558,0,0,0,0,
2.78085,0,0,0,0,-0.0223257,0,0,0,0,
2.82975,0,0,0,0,-0.0177303,0,0,0,0,
2.8798,0,0,0,0,-0.0130777,0,0,0,0,
2.93099,0,0,0,0,-0.00765461,0,0,0,0,
2.98331,0,0,0,0,-0.00194982,0,0,0,0,
3.03675,0,0,0,0,0.00320502,0,0,0,0,
3.0913,0,0,0,0,0.00916148,0,0,0,0,
3.14692,0,0,0,0,0.0146298,0,0,0,0,
3.2036,0,0,0,0,0.0196759,0,0,0,0,
3.26132,0,0,0,0,0.0254731,0,0,0,0,
3.32004,0,0,0,0,0.0324304,0,0,0,0,
3.37974,0,0,0,0,0.0387727,0,0,0,0,
3.44038,0,0,0,0,0.0450741,0,0,0,0,
3.50191,0,0,0,0,0.0506501,0,0,0,0,
3.56431,0,0,0,0,0.0565713,0,0,0,0,
3.62753,0,0,0,0,0.0621174,0,0,0,0,
3.69153,0,0,0,0,0.0666723,0,0,0,0,
3.75624,0,0,0,0,0.0717657,0,0,0,0,
3.82164,0,0,0,0,0.0768729,0,0,0,0,
3.88765,0,0,0,0,0.0804336,0,0,0,0,
3.95423,0,0,0,0,0.0846336,0,0,0,0,
4.02132,0,0,0,0,0.0891657,0,0,0,0,
4.08885,0,0,0,0,0.0922923,0,0,0,0,
4.15678,0,0,0,0,0.0949281,0,0,0,0,
4.22503,0,0,0,0,0.0979245,0,0,0,0,
4.29354,0,0,0,0,0.100878,0,0,0,0,
4.36225,0,0,0,0,0.105031,0,0,0,0,
4.43109,0,0,0,0,0.108864,0,0,0,0,
4.5,0,0,0,0,0.112191,0,0,0,0,
4.56891,0,0,0,0,0.114939,0,0,0,0,
4.63775,0,0,0,0,0.118391,0,0,0,0,
4.70646,0,0,0,0,0.121163,0,0,0,0,
4.77497,0,0,0,0,0.124574,0,0,0,0,
4.84322,0,0,0,0,0.128343,0,0,0,0,
4.91115,0,0,0,0,0.130838,0,0,0,0,
4.97868,0,0,0,0,0.135526,0,0,0,0,
5.04577,0,0,0,0,0.139139,0,0,0,0,
5.11235,0,0,0,0,0.141602,0,0,0,0,
5.17836,0,0,0,0,0.143777,0,0,0,0,
5.24376,0,0,0,0,0.146234,0,0,0,0,
5.30847,0,0,0,0,0.148272,0,0,0,0,
5.37247,0,0,0,0,0.151797,0,0,0,0,
5.43569,0,0,0,0,0.154995,0,0,0,0,
5.49809,0,0,0,0,0.158142,0,0,0,0,
5.55962,0,0,0,0,0.161093,0,0,0,0,
5.62026,0,0,0,0,0.163738,0,0,0,0,
5.67996,0,0,0,0,0.165853,0,0,0,0,
5.73868,0,0,0,0,0.167525,0,0,0,0,
5.7964,0,0,0,0,0.170153,0,0,0,0,
5.85308,0,0,0,0,0.172384,0,0,0,0,
5.9087,0,0,0,0,0.174745,0,0,0,0,
5.96325,0,0,0,0,0.177477,0,0,0,0,
6.01669,0,0,0,0,0.180318,0,0,0,0,
6.06901,0,0,0,0,0.182415,0,0,0,0,
6.1202,0,0,0,0,0.184369,0,0,0,0,
6.17025,0,0,0,0,0.18615,0,0,0,0,
6.21915,0,0,0,0,0.187822,0,0,0,0,
6.26689,0,0,0,0,0.189788,0,0,0,0,
6.31347,0,0,0,0,0.19107,0,0,0,0,
6.35888,0,0,0,0,0.191615,0,0,0,0,
6.40313,0,0,0,0,0.192718,0,0,0,0,
6.44623,0,0,0,0,0.193768,0,0,0,0,
6.48817,0,0,0,0,0.195055,0,0,0,0,
6.52897,0,0,0,0,0.196422,0,0,0,0,
6.56862,0,0,0,0,0.197779,0,0,0,0,
6.60715,0,0,0,0,0.199188,0,0,0,0,
6.64457,0,0,0,0,0.200802,0,0,0,0,
6.68088,0,0,0,0,0.202278,0,0,0,0,
6.7161,0,0,0,0,0.203779,0,0,0,0,
6.75026,0,0,0,0,0.205169,0,0,0,0,
6.78336,0,0,0,0,0.206393,0,0,0,0,
6.81542,0,0,0,0,0.207498,0,0,0,0,
6.84646,0,0,0,0,0.208683,0,0,0,0,
6.87651,0,0,0,0,0.209928,0,0,0,0,
6.90557,0,0,0,0,0.211137,0,0,0,0,
6.93368,0,0,0,0,0.212271,0,0,0,0,
6.96085,0,0,0,0,0.213432,0,0,0,0,
6.9871,0,0,0,0,0.214347,0,0,0,0,
7.01325,1.32852e-05,0,0,0,0.215378,0,0,0,0,
7.03974,3.98562e-05,0,0,0,0.21638,0,0,0,0,
7.06623,0.000123641,0,0,0,0.21744,0,0,0,0,
7.09272,0.000514679,0,0,0,0.218174,0,0,0,0,
7.11919,0.00156949,0,0,0,0.219103,0,0,0,0,
7.14562,0.00342765,0,0,0,0.220123,0,0,0,0,
7.17198,0.00612131,0,0,0,0.221518,0,0,0,0,
7.19824,0.00965745,0,0,0,0.222702,0,0,0,0,
7.22439,0.0139463,0,0,0,0.224012,0,0,0,0,
7.25041,0.0189567,0,0,0,0.225055,0,0,0,0,
7.27628,0.0246905,0,0,0,0.226203,0,0,0,0,
7.30197,0.0311606,0,0,0,0.227246,0,0,0,0,
7.32748,0.038347,0,0,0,0.228491,0,0,0,0,
7.35279,0.0462001,0,0,0,0.229693,0,0,0,0,
7.3779,0.0546818,0,0,0,0.23076,0,0,0,0,
7.40279,0.0637814,0,0,0,0.231848,0,0,0,0,
7.42745,0.0735036,0,0,0,0.232974,0,0,0,0,
7.45187,0.0837987,0,0,0,0.233993,0,0,0,0,
7.47606,0.0946385,0,0,0,0.234737,0,0,0,0,
7.49999,0.106035,0,0,0,0.235693,0,0,0,0,
7.52367,0.117945,0,0,0,0.236507,0,0,0,0,
7.54711,0.130316,0,0,0,0.237328,0,0,0,0,
7.5703,0.143167,0,0,0,0.237953,0,0,0,0,
7.59323,0.156465,0,0,0,0.238453,0,0,0,0,
7.61593,0.170151,0,0,0,0.238663,0,0,0,0,
7.63831,0.184362,0,0,0,0.238762,0,0,0,0,
7.66059,0.198739,0,0,0,0.238292,0,0,0,0,
7.68278,0.213232,0,0,0,0.238705,0,0,0,0,
7.70471,0.228139,0,0,0,0.238409,0,0,0,0,
7.72645,0.243308,0,0,0,0.238363,0,0,0,0,
7.74806,0.258667,0,0,0,0.237674,0,0,0,0,
7.76956,0.274176,0,0,0,0.237332,0,0,0,0,
7.79094,0.289858,0,0,0,0.236493,0,0,0,0,
7.81222,0.305672,0,0,0,0.235673,0,0,0,0,
7.83342,0.321591,0,0,0,0.234712,0,0,0,0,
7.85454,0.337612,0,0,0,0.233355,0,0,0,0,
7.87561,0.35371,0,0,0,0.232292,0,0,0,0,
7.89663,0.369867,0,0,0,0.230038,0,0,0,0,
7.91767,0.385997,0,0,0,0.22907,0,0,0,0,
7.93844,0.402004,0,0,0,0.226639,0,0,0,0,
7.95892,0.417887,0,0,0,0.225636,0,0,0,0,
7.97944,0.43373,0,0,0,0.223795,0,0,0,0,
7.99993,0.449601,0,0,0,0.222894,0,0,0,0,
8.02043,0.465476,0,0,0,0.220644,0,0,0,0,
8.04089,0.481395,0,0,0,0.218962,0,0,0,0,
8.06128,0.497398,0,0,0,0.215773,0,0,0,0,
8.08165,0.513434,0,0,0,0.213087,0,0,0,0,
8.10198,0.529506,0,0,0,0.20954,0,0,0,0,
8.12228,0.545627,0,0,0,0.206539,0,0,0,0,
8.14253,0.561814,0,0,0,0.202753,0,0,0,0,
8.16272,0.578066,0,0,0,0.199046,0,0,0,0,
8.18279,0.59447,0,0,0,0.19504,0,0,0,0,
