x_over_h	Cp_RANS_SST	Cp_LES	Cf_RANS_SST	Cf_LES
-7.25802517104541	0.00795974811119038	0.003212515945267511	0.00506995550477226	0.004178196076632522
-7.09407551313598	0.01691752764407302	0.002839596038274127	0.00543694583466966	0.004284138287209158
-6.93012585522673	0.01431998240441358	0.0007364227829359774	0.00536959490435566	0.004249429587270287
-6.76617619731779	0.01081914041335486	0.0006406080502521883	0.00511484610397406	0.004187359707263557
-6.60222653940869	0.0090389337633762	0.0002908581702626897	0.00484927744010152	0.004150946903562212
-6.43827688149951	0.00784587902231538	-0.0007600087325241199	0.00466002061368702	0.004139889821963371
-6.27432722358996	0.006989550646503	-0.0007844867879305427	0.0045435656790912	0.004125932665652079
-6.11037756568055	0.00637509688726302	-0.0013825200686258061	0.0044682507429536	0.004127570604043428
-5.94642790777197	0.00581681120103262	-0.0018245833712743252	0.00441527348213716	0.004134
-5.78247824986302	0.00524080271141636	-0.0022785856591600257	0.00437367591965462	0.004145431769143206
-5.61852859195361	0.0046354987125868	-0.002827860920199234	0.00433818437615748	0.004161721840398468
-5.45457893404443	0.00400156021639514	-0.0033457854247264584	0.00430723283204872	0.004179930617884383
-5.29062927613508	0.00334237870361818	-0.003938001405562951	0.00428075800341518	0.004200455501210414
-5.12667961822607	0.00265891639427634	-0.004632146553392786	0.00425891409637402	0.004222404042852215
-4.96272996031706	0.00194763922984734	-0.0053061820808791346	0.00424159382012216	0.004244324172545462
-4.79878030240771	0.001203164869382226	-0.0061099147277127435	0.00422842426067458	0.004266270143264023
-4.63483064449853	0.000419272754656832	-0.006933628551466957	0.0042189123261912	0.004290198658526121
-4.47088098658916	-0.000410086275867424	-0.007811349680556207	0.00421258137801738	0.004309981935571006
-4.30693132867995	-0.001290913930891374	-0.008783262786386057	0.00420903847925032	0.004334401902617759
-4.14298167077106	-0.00222929068095396	-0.009846287569340558	0.00420797264689102	0.004357746168213806
-3.97903201286191	-0.00323120776597688	-0.010997976939140761	0.00420902637385144	0.004378638682928316
-3.81508235495263	-0.00430322726369274	-0.012247356413766432	0.0042119734677245	0.00439784746612529
-3.65113269704345	-0.00545161900274872	-0.013603256134430848	0.00421673318191032	0.00441554602935299
-3.48718303913406	-0.00668258128870136	-0.015086831394945887	0.00422334019832418	0.004429799112604978
-3.32323338122509	-0.00800356052879058	-0.016693700595462217	0.0042318710261493	0.004444038502977311
-3.15928372331612	-0.0094231896570091	-0.018425985692380253	0.0042424007887484	0.004457009387546479
-2.99533406540673	-0.01095110335372484	-0.02028936556417565	0.00425501855148286	0.004472416197836474
-2.83138440749754	-0.01259845236279126	-0.022302710271897817	0.00426984334452788	0.004492323693321012
-2.66743474958815	-0.01437798424759318	-0.02450078007073567	0.00428703680942414	0.004510768689104391
-2.50348509167918	-0.01630459124253098	-0.02688742479735985	0.00430681603475492	0.004529778486801239
-2.33953543377056	-0.01839595772022046	-0.029497087634616545	0.00432944333716342	0.004553389728251756
-2.17558577586117	-0.020672757273093	-0.03235963821537443	0.00435523245031864	0.004578464422189754
-2.01163611795164	-0.0231592933254526	-0.03549178278159036	0.0043845924364401	0.004607871051527711
-1.84768646004246	-0.0258850923297606	-0.03893312429165884	0.00441804325308606	0.004638498476262532
-1.68373680213331	-0.0288854151993166	-0.04275160641974816	0.00445630683615628	0.004676062251809542
-1.5197871442243	-0.0322059707327156	-0.04698748640014128	0.00450023909048378	0.004719015827889572
-1.35583748631511	-0.035899972066776	-0.0517285443443052	0.00455117419481822	0.004770447610263442
