r_over_h	x	y	z	Ux_RANS_SST	Uy_RANS_SST	Uz_RANS_SST	Up_RANS_SST	Ux_LES	Uy_LES	Uz_LES	Up_LES	Ux_over_Ub_RANS_SST	Ux_over_Ub_LES	Up_over_Ub_RANS_SST	Up_over_Ub_LES
0.06501963979591753	0.0	4.597582821e-05	4.597582821e-05	50.0172800708887	1.52283442341152e-16	-4.38637525667607e-18	1.5234660186286842e-16	49.1205381415568	0.00201331426021237	0.000591426428594238	0.0020983849815546757	1.3337941352236988	1.3098810171081814	4.062576049676491e-18	5.595693284145802e-05
0.13003927959183506	0.0	9.195165642e-05	9.195165642e-05	49.9333598839237	3.04566884682303e-16	-8.77275051335214e-18	3.0469320372573586e-16	48.9926151706716	0.00402662852042473	0.00118285285718848	0.004196769963109344	1.3315562635712987	1.306469737884576	8.125152099352957e-18	0.00011191386568291585
0.18914804300924234	0.0	0.00013374786386	0.00013374786386	49.6976998518768	4.3931096808783e-16	9.97016869151465e-17	4.504825779716595e-16	48.669671380287	0.012698454128577	0.00756160239153424	0.014779329077574212	1.3252719960500479	1.29785790347432	1.201286874591092e-17	0.00039411544206864564
0.2482568064266496	0.0	0.0001755440713	0.0001755440713	49.4620398198299	5.74055051493356e-16	2.08176124343645e-16	6.106361444360957e-16	48.3467275899024	0.0213702797367293	0.01394035192588	0.02551513801341175	1.3189877285287972	1.289246069064064	1.6283630518295884e-17	0.0006804036803576466
0.30199204594201756	0.0	0.00021354062355	0.00021354062355	49.1024440380801	5.49689228934485e-16	2.18643795341782e-16	5.915770090597231e-16	47.9320499811082	0.0372313885528521	0.0280734557717742	0.04662933853855541	1.309398507682136	1.2781879994962186	1.5775386908259284e-17	0.0012434490276948108
0.3557272854573855	0.0	0.0002515371758	0.0002515371758	48.7428482563302	5.25323406375614e-16	2.29111466339918e-16	5.731114597480196e-16	47.517372372314	0.0530924973689749	0.0422065596176684	0.06782482548178362	1.299809286835472	1.2671299299283734	1.528297225994719e-17	0.0018086620128475632
0.4045775032307703	0.0	0.00028607949605	0.00028607949605	48.2809315978326	4.67092712959019e-16	1.89409262764749e-16	5.040351885736771e-16	47.0804277099668	0.0731231144216263	0.0626798997176771	0.09631074546142974	1.287491509275536	1.2554780722657812	1.3440938361964724e-17	0.0025682865456381266
0.45342772100415507	0.0	0.0003206218163	0.0003206218163	47.8190149393349	4.08862019542424e-16	1.4970705918958e-16	4.354082619743244e-16	46.6434830476196	0.0931537314742778	0.0831532398176859	0.12486824648308087	1.2751737317155973	1.2438262146031893	1.1610886985981984e-17	0.0033298199062154897
0.4978370097926267	0.0	0.00035202392555	0.00035202392555	47.2739444370582	3.52678324861729e-16	9.58516691239866e-17	3.6547167236480787e-16	46.2186928745695	0.114298977838301	0.10920529545169	0.1580824243537887	1.260638518321552	1.2324984766551865	9.745911263061544e-18	0.004215531316101031
0.5422462985810982	0.0	0.0003834260348	0.0003834260348	46.7288739347814	2.96494630181034e-16	4.19962790583933e-17	2.994540919422183e-16	45.7939027015195	0.135444224202324	0.135257351085695	0.19141496517380338	1.2461033049275039	1.2211707387071866	7.985442451792489e-18	0.005104399071301424
