# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
0                      	N/A	N/A	N/A	N/A
1                      	9.999999989457822e-01	1.000000000000000e+00	1.000000000000000e+00	9.999999999786717e-01	1.509786765178401e-01
2                      	8.035523440565205e-01	8.611891642909393e-01	9.304981605355014e-01	8.418972183410997e-01	1.314001596637250e-01
3                      	1.724692409340733e-01	1.409421487892309e-01	9.332014752445413e-01	1.778920231745095e-01	2.396917920844159e-01
4                      	4.545757650519476e-01	5.700757457152461e-01	8.258339726689962e-01	3.330186044776642e-01	9.774840841556390e-02
5                      	3.929167135070186e-01	4.055682767890938e-01	9.070529541137340e-01	2.779738492491342e-01	6.150151774707618e-02
6                      	4.130762377400996e-01	4.819828734627681e-01	6.868315699111793e-01	1.828916708868486e-01	8.099320968924556e-02
7                      	4.227759348310670e-01	5.321765794221970e-01	8.914766245145341e-01	3.564121804618209e-01	8.357344475199248e-02
8                      	2.868487884665559e-01	2.984210267179205e-01	8.570122661537627e-01	2.729606858252860e-01	1.382463186314399e-01
9                      	3.886162981584093e-01	4.629964883570979e-01	7.440523542088729e-01	1.949330611716258e-01	1.146201429970902e-01
10                     	4.052085852807091e-01	4.071160534318810e-01	8.360462308716319e-01	2.868513833518899e-01	8.076578075581678e-02
11                     	3.394822896869993e-01	3.415939992120771e-01	7.584372114290614e-01	1.671367844313697e-01	5.494100457301465e-02
12                     	3.708382762865458e-01	4.753254038109495e-01	7.508817987410084e-01	1.666334253538014e-01	4.266263183714876e-02
13                     	2.580940820559373e-01	3.545372253156895e-01	7.687900395163060e-01	1.369698562963212e-01	2.502905224943641e-02
14                     	2.350857607598712e-01	3.331224108832363e-01	7.339525671982235e-01	1.209051472556170e-01	2.013120327181265e-02
15                     	2.053949544242065e-01	2.840175014841057e-01	7.659580493859188e-01	9.319114039290498e-02	1.435591544244276e-02
16                     	1.860841711634679e-01	2.407036724797166e-01	7.272552875368055e-01	8.065495374430864e-02	9.245821301067473e-03
17                     	1.705948595186920e-01	2.440838340543572e-01	7.309267117819468e-01	6.484407581459883e-02	7.046649575298740e-03
18                     	1.078394605559484e-01	1.692350397676491e-01	7.594266848658056e-01	5.852278104571807e-02	5.108825719612466e-03
19                     	9.026248284614874e-02	1.524962524711682e-01	7.118533857737469e-01	4.702778854478520e-02	3.884181400781563e-03
20                     	7.848594635971393e-02	1.425693444699640e-01	6.850628690794845e-01	4.294804010013848e-02	3.171777326440452e-03
21                     	5.518969094498883e-02	9.926021271711301e-02	7.015524040794978e-01	3.910604916466520e-02	2.395393315556383e-03
22                     	5.172706446747551e-02	8.279718765943751e-02	6.829469698398239e-01	3.644161728482412e-02	1.980235207623721e-03
23                     	4.836886630337806e-02	7.161319356191742e-02	6.587106299940474e-01	3.512422597494566e-02	1.680703403580785e-03
24                     	4.033625158142606e-02	5.928021762595256e-02	6.105764642444592e-01	3.357573694281704e-02	1.496048006941497e-03
25                     	3.646590029010006e-02	5.527550016104744e-02	5.924363607604507e-01	3.221286213371818e-02	1.332039281794368e-03
26                     	3.297495418244251e-02	5.148786735561180e-02	5.904750182092444e-01	3.086847491522614e-02	1.163803042094216e-03
27                     	2.896968130082165e-02	4.585207033624174e-02	5.343491524032299e-01	2.984926233413893e-02	1.051156517470700e-03
28                     	2.762408501957899e-02	4.191349581291255e-02	4.939811993928037e-01	2.876342608082436e-02	9.623001632298657e-04
29                     	2.718051503054197e-02	3.927949557491438e-02	5.047427151177122e-01	2.781710180855174e-02	8.888170522754619e-04
30                     	2.644073267642090e-02	3.704060715478831e-02	4.483099733750645e-01	2.704095785430145e-02	8.134167161908277e-04
31                     	2.535328432743680e-02	3.571127095449337e-02	3.837010783792178e-01	2.619452328197139e-02	7.609393647175678e-04
32                     	2.411710613645634e-02	3.485353514076094e-02	3.558169585299160e-01	2.505184634025810e-02	7.225840608960631e-04
33                     	2.287675426218756e-02	3.393575528146781e-02	3.331507963397520e-01	2.384696441082973e-02	6.829097575203650e-04
34                     	2.184022316654401e-02	3.336179638721785e-02	2.988872652481212e-01	2.277757597783105e-02	6.511875238723649e-04
35                     	2.105918776126623e-02	3.297147678642791e-02	2.707742791211134e-01	2.204924858086178e-02	6.267468581792723e-04
36                     	2.059883433424493e-02	3.239991357964148e-02	2.609017372977364e-01	2.157245917869844e-02	6.029737297122166e-04
37                     	2.032930907189765e-02	3.148465264842422e-02	2.487174248832756e-01	2.095153831201202e-02	5.918758893407086e-04
38                     	2.004357307272829e-02	3.072969550069870e-02	2.317508804086822e-01	2.027792023993562e-02	5.617270941890060e-04
39                     	1.958033238986452e-02	3.030304499686344e-02	2.118426484237104e-01	1.966906953992206e-02	5.248644287356807e-04
40                     	1.898290881716033e-02	3.014583605470327e-02	1.991252334941517e-01	1.906229347890081e-02	4.928195684139627e-04
41                     	1.839316780948815e-02	3.016399156214345e-02	1.936419361528594e-01	1.849738314631450e-02	4.740475466822191e-04
42                     	1.794791387670060e-02	2.993724408901187e-02	1.864141749090736e-01	1.804923746504113e-02	4.608079116630867e-04
43                     	1.762434146796248e-02	2.952173949641477e-02	1.827830575734676e-01	1.770433514894807e-02	4.489303945209326e-04
44                     	1.735815353884976e-02	2.905912932783990e-02	1.764803413234633e-01	1.734215132448265e-02	4.248536952190147e-04
45                     	1.707548009767313e-02	2.872869441092764e-02	1.711521659623535e-01	1.705909814727981e-02	4.045224550657175e-04
46                     	1.676154386472977e-02	2.844715526284661e-02	1.653960731675508e-01	1.690279287288932e-02	3.875274781732255e-04
47                     	1.643044132261835e-02	2.818665116751586e-02	1.595367272337423e-01	1.671830228943975e-02	3.716341906583487e-04
48                     	1.610465428777661e-02	2.790329942798292e-02	1.590757425959903e-01	1.645632693335288e-02	3.586083760673006e-04
49                     	1.586642472173613e-02	2.774745188632847e-02	1.582207947961341e-01	1.621918547402630e-02	3.464537874803937e-04
50                     	1.569735515821550e-02	2.742352285945357e-02	1.579187511303455e-01	1.593536849896195e-02	3.345030906656308e-04
51                     	1.555251122505743e-02	2.710872130710057e-02	1.575247419311843e-01	1.567671222508686e-02	3.217978270349344e-04
52                     	1.540052588628225e-02	2.680106973372522e-02	1.554449016492485e-01	1.546776292185169e-02	3.140008549450385e-04
53                     	1.528976798117339e-02	2.652161015671685e-02	1.530678949874724e-01	1.533440315552792e-02	3.081726241171843e-04
54                     	1.519027616206522e-02	2.624265400916771e-02	1.569781222300168e-01	1.520552650691156e-02	3.002467253483978e-04
55                     	1.508461387467273e-02	2.589367018471207e-02	1.579194815833058e-01	1.507125245997903e-02	2.934088261598342e-04
56                     	1.497814946164778e-02	2.551284489192515e-02	1.550603344309197e-01	1.488571702199864e-02	2.840664556456936e-04
57                     	1.488613758838757e-02	2.504332523537635e-02	1.509274348796592e-01	1.472981947202443e-02	2.752048174425944e-04
58                     	1.478607008181106e-02	2.468236430329927e-02	1.485270036067175e-01	1.465878524944933e-02	2.727456985856716e-04
59                     	1.468255286151747e-02	2.450445412280436e-02	1.467685656884023e-01	1.463379229292973e-02	2.705919901541055e-04
60                     	1.460329355830936e-02	2.422669133050513e-02	1.489867887589536e-01	1.456782587813680e-02	2.564466570113314e-04
61                     	1.453892538067455e-02	2.383334222220483e-02	1.508077986442637e-01	1.448638215064119e-02	2.502520332310897e-04
62                     	1.445751757560762e-02	2.338187959301647e-02	1.503499465789147e-01	1.440131533129997e-02	2.441722977607130e-04
63                     	1.435677835484247e-02	2.294407434936524e-02	1.479707182931512e-01	1.438474183410342e-02	2.384698662922300e-04
64                     	1.424235790533692e-02	2.261701951421947e-02	1.452750010085850e-01	1.440946307192039e-02	2.367940713147084e-04
65                     	1.412798445332158e-02	2.242561318634961e-02	1.503349667835697e-01	1.439892190625225e-02	2.340886312745863e-04
66                     	1.401720565809605e-02	2.219683968936759e-02	1.552755308677812e-01	1.437722521966067e-02	2.297731874939863e-04
67                     	1.388464495076078e-02	2.197765440002112e-02	1.523804748761212e-01	1.436694120089626e-02	2.234883721052990e-04
68                     	1.375134372181479e-02	2.176407073539795e-02	1.469426403266864e-01	1.437540416219155e-02	2.161904300080576e-04
69                     	1.360473318653357e-02	2.149465539137078e-02	1.411514136308706e-01	1.439281504350673e-02	2.109679745964564e-04
70                     	1.347261671394827e-02	2.112107904773880e-02	1.458098003266157e-01	1.441924358990052e-02	2.118627838454456e-04
71                     	1.336229602577172e-02	2.087050596756764e-02	1.476635816910279e-01	1.448675062656984e-02	2.112810840757064e-04
72                     	1.326239497410332e-02	2.075443316379006e-02	1.483050912025807e-01	1.455121318139344e-02	2.117584274579543e-04
73                     	1.313329312058106e-02	2.064977600134764e-02	1.452421857541322e-01	1.465756950317266e-02	2.107627058251239e-04
74                     	1.298600221616581e-02	2.043945370341123e-02	1.452691043481264e-01	1.474444821581379e-02	2.072923075369954e-04
75                     	1.285677924301320e-02	2.012542878767603e-02	1.396532398747629e-01	1.482906833974500e-02	2.031301674728689e-04
76                     	1.271024314430792e-02	1.986173616347349e-02	1.341415865392201e-01	1.490684257623390e-02	1.989326203957872e-04
