x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
-38.0,-250.0,28.0,32.2,-0.49,0.531,3.59,3.671,2.78,-0.401,-2.36,-3.62,-7.492,3.97,-0.451,2.8,1.092,-2.29
-38.0,-250.0,38.0,33.4,0.17,0.899,3.61,3.621,2.81,-0.139,-2.48,-6.38,-10.561,5.62,-0.498,1.72,0.027,-1.89
-38.0,-250.0,58.0,36.1,1.6,1.39,3.59,3.096,2.78,0.403,-3.0,-18.3,-9.69,9.42,-2.176,5.8,-6.458,-6.67
-38.0,-250.0,78.0,39.4,2.17,1.53,3.01,2.246,2.48,0.053,-2.29,-28.2,-0.831,10.3,-0.706,9.12,-5.963,-8.64
-38.0,-250.0,98.0,41.6,1.97,1.64,1.95,1.403,1.91,-0.075,-0.975,-12.1,-0.166,8.41,0.312,5.28,-1.645,-5.15
-38.0,-250.0,118.0,42.4,1.71,1.91,1.12,0.855,1.24,-0.081,-0.331,-2.22,0.138,3.8,0.118,1.69,-0.328,-1.39
-38.0,-250.0,138.0,42.6,1.6,2.08,0.68,0.581,0.757,-0.08,-0.069,-0.196,-0.104,1.25,0.004,0.346,0.0,-0.197
-38.0,-250.0,158.0,42.7,1.66,2.25,0.499,0.495,0.482,-0.116,-0.013,-0.11,-0.038,0.346,0.002,0.085,0.039,-0.035
-38.0,-250.0,178.0,42.8,1.89,2.56,0.447,0.483,0.356,-0.138,0.0,-0.046,-0.054,0.025,-0.015,-0.004,0.048,-0.002
-38.0,-250.0,198.0,42.8,2.18,2.96,0.426,0.48,0.299,-0.145,0.001,-0.051,-0.057,-0.008,-0.022,-0.011,0.05,-0.002
-38.0,-250.0,218.0,42.8,2.65,3.53,0.422,0.474,0.313,-0.15,0.001,-0.047,-0.063,-0.006,-0.018,-0.01,0.058,-0.002
-38.0,-250.0,238.0,42.9,3.36,4.01,0.425,0.478,0.325,-0.152,-0.003,-0.046,-0.062,-0.008,-0.036,-0.01,0.057,-0.002
-38.0,-250.0,258.0,42.9,4.41,4.27,0.422,0.483,0.325,-0.16,0.002,-0.041,-0.074,-0.009,-0.037,-0.013,0.064,-0.003
-38.0,-250.0,278.0,42.9,5.66,3.98,0.412,0.485,0.309,-0.177,0.002,-0.056,-0.052,-0.011,-0.026,-0.013,0.064,-0.001
-38.0,-250.0,298.0,42.7,6.51,3.0,0.415,0.474,0.283,-0.179,-0.002,-0.054,-0.074,-0.01,-0.038,-0.011,0.063,-0.003
-38.0,-250.0,318.0,42.5,6.82,1.8,0.399,0.463,0.283,-0.181,-0.006,-0.048,-0.075,-0.005,-0.049,-0.011,0.067,-0.001
-38.0,-250.0,338.0,42.4,6.72,0.57,0.393,0.469,0.265,-0.202,-0.005,-0.05,-0.077,-0.008,-0.077,-0.009,0.082,0.0
-38.0,-250.0,358.0,42.2,6.18,-0.371,0.403,0.487,0.256,-0.226,-0.006,-0.058,-0.09,-0.005,-0.122,-0.006,0.108,-0.001
