x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
500.0,-400.0,28.0,32.8,-0.59,0.52,2.7,2.008,1.62,0.818,-1.39,-7.36,-1.98,0.716,-0.957,1.48,-1.503,-1.39
500.0,-400.0,38.0,34.9,-0.42,0.821,2.46,1.761,1.47,0.703,-1.19,-9.04,-1.578,1.03,-1.02,1.74,-1.359,-1.78
500.0,-400.0,58.0,38.3,0.0,1.23,1.61,1.06,1.03,0.239,-0.558,-5.58,-0.947,0.855,-0.759,1.36,-0.681,-1.19
500.0,-400.0,78.0,39.7,0.22,1.38,0.67,0.646,0.566,-0.071,-0.098,-0.373,-0.123,0.257,-0.035,0.187,0.005,-0.159
500.0,-400.0,98.0,39.8,0.46,1.47,0.492,0.586,0.374,-0.074,-0.015,-0.022,-0.081,0.028,-0.02,0.005,0.023,-0.003
500.0,-400.0,118.0,39.9,0.96,1.46,0.449,0.561,0.337,-0.086,-0.005,-0.018,-0.055,0.007,-0.012,-0.001,0.019,-0.001
500.0,-400.0,138.0,39.9,1.21,1.25,0.428,0.545,0.312,-0.077,0.0,-0.023,-0.053,-0.002,-0.011,-0.005,0.015,-0.002
500.0,-400.0,158.0,39.9,1.37,1.17,0.422,0.542,0.298,-0.071,-0.002,-0.03,-0.05,0.0,-0.01,-0.005,0.017,-0.001
500.0,-400.0,178.0,39.9,1.38,1.06,0.405,0.538,0.274,-0.068,0.002,-0.02,-0.037,-0.004,-0.012,-0.005,0.017,-0.001
500.0,-400.0,198.0,40.0,1.64,0.899,0.404,0.543,0.273,-0.068,-0.001,-0.027,-0.047,-0.007,-0.002,-0.003,0.016,-0.002
500.0,-400.0,218.0,40.0,1.65,0.756,0.397,0.565,0.269,-0.066,-0.001,-0.018,-0.043,-0.009,-0.008,-0.005,0.016,-0.002
500.0,-400.0,238.0,40.0,1.97,0.601,0.394,0.552,0.273,-0.068,-0.006,-0.015,-0.059,-0.012,-0.007,-0.002,0.017,-0.002
500.0,-400.0,258.0,40.0,1.95,0.453,0.39,0.539,0.274,-0.067,-0.003,-0.022,-0.065,-0.008,-0.008,-0.006,0.019,-0.002
500.0,-400.0,278.0,40.0,1.95,0.368,0.384,0.538,0.27,-0.069,-0.007,-0.016,-0.058,-0.007,-0.009,-0.005,0.019,-0.001
500.0,-400.0,298.0,40.0,1.67,0.364,0.385,0.542,0.268,-0.068,-0.009,-0.02,-0.053,-0.008,-0.01,-0.004,0.02,-0.002
500.0,-400.0,318.0,40.0,1.81,0.297,0.388,0.552,0.279,-0.065,-0.009,-0.025,-0.051,-0.006,-0.014,-0.004,0.019,-0.002
500.0,-400.0,338.0,40.0,1.81,0.231,0.389,0.533,0.272,-0.066,-0.007,-0.022,-0.056,-0.006,-0.01,-0.003,0.019,-0.003
500.0,-400.0,358.0,40.0,1.79,0.201,0.389,0.53,0.277,-0.068,-0.009,-0.02,-0.055,-0.008,-0.013,-0.004,0.018,-0.002
500.0,-400.0,378.0,40.0,1.67,0.072,0.39,0.534,0.272,-0.062,-0.01,-0.014,-0.051,-0.007,-0.014,-0.003,0.019,-0.001
500.0,-400.0,398.0,40.0,1.75,-0.062,0.382,0.531,0.285,-0.06,-0.011,-0.025,-0.057,-0.006,-0.01,-0.004,0.017,-0.002
500.0,-400.0,418.0,40.0,1.7,-0.187,0.38,0.528,0.272,-0.063,-0.009,-0.022,-0.057,-0.007,-0.008,-0.004,0.019,-0.002
500.0,-400.0,438.0,40.1,1.58,-0.07,0.373,0.525,0.272,-0.062,-0.003,-0.021,-0.045,-0.008,-0.005,-0.004,0.015,-0.001
500.0,-400.0,488.0,40.1,1.57,-0.035,0.376,0.556,0.273,-0.072,-0.007,-0.019,-0.059,-0.009,-0.005,-0.003,0.017,-0.002
500.0,-400.0,538.0,40.1,1.25,-0.153,0.37,0.367,0.263,-0.01,-0.008,-0.016,-0.009,-0.007,-0.007,-0.005,-0.003,-0.001
500.0,-350.0,28.0,27.6,-1.34,1.32,3.27,2.817,2.22,0.689,-2.7,2.75,-5.834,-0.857,-1.308,-0.799,-2.515,0.999
500.0,-350.0,38.0,29.5,-0.79,1.57,3.29,2.646,2.18,0.854,-2.55,-0.954,-8.684,0.262,-2.543,0.517,-4.881,-0.139
500.0,-350.0,58.0,33.8,0.01,1.91,3.11,1.923,1.94,0.708,-2.37,-15.3,-6.406,2.64,-3.16,3.93,-3.621,-3.42
500.0,-350.0,78.0,37.9,0.9,2.1,2.09,1.148,1.39,0.303,-1.1,-13.2,-2.791,2.45,-1.678,3.83,-1.492,-3.05
500.0,-350.0,98.0,39.6,1.08,2.2,0.885,0.722,0.798,-0.06,-0.17,-1.06,-0.479,0.754,-0.085,0.559,-0.01,-0.447
500.0,-350.0,118.0,39.7,1.1,1.94,0.585,0.558,0.549,-0.033,0.005,0.021,-0.098,0.189,-0.063,0.043,0.013,0.02
500.0,-350.0,138.0,39.8,1.13,1.55,0.499,0.604,0.441,-0.078,0.008,-0.018,-0.099,0.04,-0.034,0.009,0.022,0.003
500.0,-350.0,158.0,39.8,1.45,1.39,0.454,0.563,0.355,-0.07,-0.001,-0.02,-0.074,0.014,-0.017,0.001,0.019,-0.002
500.0,-350.0,178.0,39.9,1.75,1.33,0.43,0.565,0.33,-0.077,0.002,-0.026,-0.054,0.0,-0.021,0.0,0.018,-0.002
500.0,-350.0,198.0,39.9,2.1,1.25,0.415,0.542,0.309,-0.07,0.001,-0.023,-0.076,0.003,-0.014,-0.001,0.022,-0.001
500.0,-350.0,218.0,39.9,2.03,1.08,0.401,0.542,0.297,-0.065,0.002,-0.028,-0.066,-0.004,-0.012,-0.003,0.023,-0.003
500.0,-350.0,238.0,39.9,2.21,0.927,0.395,0.535,0.294,-0.068,0.0,-0.024,-0.073,-0.004,-0.012,-0.002,0.02,-0.002
500.0,-350.0,258.0,39.9,2.26,0.708,0.386,0.529,0.301,-0.069,0.0,-0.027,-0.071,-0.009,-0.012,-0.002,0.021,-0.002
500.0,-350.0,278.0,39.9,2.31,0.438,0.49,0.525,0.287,-0.064,0.0,-4.64,-0.075,-0.003,-0.008,0.013,0.019,0.0
500.0,-350.0,298.0,39.9,2.34,0.314,0.382,0.518,0.29,-0.065,0.0,-0.024,-0.079,-0.008,-0.014,-0.002,0.022,-0.002
500.0,-350.0,318.0,39.9,2.07,0.147,0.376,0.522,0.293,-0.056,-0.001,-0.024,-0.069,-0.005,-0.012,-0.003,0.021,-0.002
500.0,-350.0,338.0,39.9,2.01,-0.086,0.37,0.523,0.272,-0.063,-0.003,-0.024,-0.066,-0.008,-0.013,-0.005,0.021,-0.003
500.0,-350.0,358.0,39.9,1.93,-0.246,0.368,0.531,0.274,-0.055,-0.004,-0.02,-0.067,-0.007,-0.011,-0.002,0.022,0.0
500.0,-350.0,378.0,39.9,1.66,-0.331,0.367,0.509,0.265,-0.057,-0.003,-0.023,-0.057,-0.005,-0.01,-0.003,0.02,-0.001
500.0,-350.0,398.0,40.0,1.68,-0.323,0.363,0.51,0.261,-0.06,-0.006,-0.023,-0.055,-0.007,-0.018,-0.003,0.017,-0.002
500.0,-350.0,418.0,40.0,1.88,-0.368,0.364,0.526,0.263,-0.059,-0.004,-0.026,-0.061,-0.005,-0.007,-0.002,0.019,-0.002
500.0,-350.0,438.0,40.0,1.77,-0.279,0.363,0.529,0.269,-0.065,-0.005,-0.025,-0.061,-0.008,-0.016,-0.003,0.019,-0.001
500.0,-350.0,488.0,40.0,1.52,-0.319,0.364,0.369,0.264,-0.006,-0.007,-0.025,-0.009,-0.005,-0.011,-0.003,-0.004,-0.001
500.0,-350.0,538.0,40.0,1.36,-0.295,0.36,0.366,0.258,-0.007,-0.006,-0.026,-0.011,-0.006,-0.009,-0.003,-0.002,-0.001
500.0,-300.0,28.0,27.5,-2.33,1.02,3.83,3.593,2.63,2.317,-3.17,-7.58,-15.994,2.03,-5.564,1.76,-6.682,-1.73
500.0,-300.0,38.0,29.1,-1.36,1.36,3.77,3.561,2.69,2.407,-3.59,-9.04,-9.407,4.31,-2.939,3.64,-4.061,-1.96
500.0,-300.0,58.0,32.4,0.07,1.9,3.6,3.118,2.53,2.032,-3.15,-15.1,-9.969,5.95,-5.65,4.89,-9.494,-4.47
500.0,-300.0,78.0,35.9,0.63,2.36,3.05,2.419,2.13,1.73,-2.39,-23.8,-9.216,6.31,-7.62,7.94,-8.688,-6.56
500.0,-300.0,98.0,38.6,0.92,2.61,2.02,1.716,1.6,0.772,-1.1,-13.1,-6.11,4.34,-3.836,4.96,-3.749,-4.11
500.0,-300.0,118.0,39.5,1.4,2.69,1.23,1.137,1.1,0.138,-0.301,-2.44,-2.438,1.81,-0.978,1.4,-0.631,-1.09
500.0,-300.0,138.0,39.7,1.7,2.61,0.834,0.776,0.794,0.05,-0.058,0.101,-0.612,0.674,-0.238,0.219,-0.069,-0.102
500.0,-300.0,158.0,39.7,2.07,2.36,0.669,0.667,0.627,0.006,0.001,0.06,-0.404,0.328,-0.141,0.105,-0.001,0.019
500.0,-300.0,178.0,39.7,2.25,2.14,0.566,0.57,0.482,-0.002,-0.006,-0.031,-0.149,0.12,-0.045,0.042,-0.002,-0.021
500.0,-300.0,198.0,39.7,2.26,2.06,0.504,0.529,0.439,0.0,0.001,0.003,-0.086,0.053,-0.027,0.016,0.0,0.006
500.0,-300.0,218.0,39.7,2.13,1.68,0.465,0.499,0.398,-0.016,0.007,-0.021,-0.052,0.026,-0.016,0.005,0.0,0.007
500.0,-300.0,238.0,39.7,2.65,1.46,0.44,0.472,0.338,-0.019,0.0,-0.023,-0.052,0.004,-0.013,0.0,0.001,-0.003
500.0,-300.0,258.0,39.7,3.1,1.21,0.416,0.454,0.317,-0.011,0.001,-0.029,-0.037,0.004,-0.012,-0.002,-0.001,-0.001
500.0,-300.0,278.0,39.7,3.08,0.726,0.402,0.415,0.305,-0.007,-0.001,-0.027,-0.027,-0.003,-0.013,-0.001,-0.003,0.001
500.0,-300.0,298.0,39.7,3.16,0.434,0.389,0.389,0.279,-0.006,-0.003,-0.031,-0.023,-0.007,-0.012,-0.003,-0.007,-0.003
500.0,-300.0,318.0,39.8,2.96,0.273,0.376,0.384,0.27,-0.005,-0.006,-0.022,-0.028,-0.006,-0.013,-0.002,-0.006,-0.001
500.0,-300.0,338.0,39.7,2.81,0.121,0.375,0.386,0.274,-0.007,-0.004,-0.025,-0.026,-0.003,-0.007,-0.003,-0.004,-0.002
500.0,-300.0,358.0,39.7,2.66,-0.193,0.371,0.396,0.269,-0.006,-0.006,-0.03,-0.033,-0.004,-0.01,-0.002,-0.004,-0.002
500.0,-300.0,378.0,39.8,2.04,-0.406,0.367,0.53,0.263,-0.072,-0.007,-0.025,-0.083,-0.005,-0.009,-0.002,0.02,-0.001
500.0,-300.0,398.0,39.8,2.26,-0.491,0.364,0.401,0.253,-0.007,-0.006,-0.026,-0.026,-0.004,-0.009,-0.004,-0.004,-0.001
500.0,-300.0,418.0,39.8,2.16,-0.647,0.359,0.391,0.262,-0.008,-0.005,-0.028,-0.024,-0.008,-0.01,-0.004,-0.006,-0.003
500.0,-300.0,438.0,39.9,2.1,-0.785,0.354,0.399,0.253,-0.006,-0.007,-0.019,-0.026,-0.004,-0.011,-0.003,-0.007,-0.002
500.0,-300.0,488.0,39.9,1.71,-0.782,0.355,0.371,0.244,-0.011,-0.002,-0.029,-0.013,-0.008,-0.01,-0.003,-0.004,-0.002
500.0,-300.0,538.0,40.0,1.32,-0.809,0.353,0.351,0.243,-0.007,-0.004,-0.028,-0.012,-0.005,-0.009,-0.002,-0.005,-0.001
500.0,-280.0,28.0,26.8,-2.91,1.26,3.9,3.886,2.85,2.845,-3.39,-16.0,-20.21,6.52,-7.666,6.14,-8.411,-6.38
500.0,-280.0,38.0,28.3,-1.93,1.66,3.82,3.875,2.81,2.715,-3.18,-9.33,-21.77,6.05,-5.631,4.44,-6.916,-3.57
500.0,-280.0,58.0,31.3,-0.29,2.25,3.71,3.503,2.75,3.018,-3.34,-12.4,-19.911,6.02,-5.578,4.07,-10.108,-4.66
500.0,-280.0,78.0,34.7,0.57,2.63,3.43,2.938,2.49,2.454,-3.02,-23.9,-16.819,7.82,-8.3,7.15,-10.262,-7.3
500.0,-280.0,98.0,37.5,0.99,2.87,2.69,2.188,2.09,1.341,-2.07,-23.8,-10.376,7.6,-6.306,8.39,-6.916,-7.77
