x_m,y_m,z_m,U,V,W,u*u,v*v,w*w,u*v,u*w,u*u*u,v*v*v,w*w*w,u*u*v,u*v*v,u*u*w,u*w*w
-0.4,0.0,0.7,37.71,1.0,2.06,0.000988,0.00311,0.00108,0.000953,0.00103,-2.67e-06,6.12e-06,-3.06e-06,-2.79e-06,-2.16e-06,-2.8e-06,-2.92e-06
-0.4,0.0,0.65,39.52,0.95,-0.07,0.00226,0.00415,0.00297,0.00126,-0.000958,-2.16e-06,1.25e-05,1.01e-05,-1.1e-05,-2.07e-05,4.33e-06,-6.52e-06
-0.4,0.0,0.6,39.26,0.79,0.11,0.00211,0.00628,0.00306,0.00204,-0.00069,1.23e-05,8.39e-05,-1.69e-05,3.78e-05,5.89e-05,-8.2e-06,1.43e-05
-0.4,0.0,0.55,39.11,0.85,0.12,0.00189,0.00381,0.00296,0.00136,-0.000586,1.59e-06,2.65e-05,-1.92e-05,-5.43e-07,1.52e-06,-6.8e-07,-3.32e-07
-0.4,0.0,0.5,38.89,1.08,0.13,0.00169,0.00256,0.00251,0.000728,-0.000305,4.07e-06,2.42e-06,3.31e-06,-4.58e-07,2.87e-06,1.31e-06,-6.77e-07
-0.4,0.0,0.45,38.64,1.13,0.2,0.0018,0.00509,0.00295,0.000948,-0.000605,-1e-06,0.000125,2.67e-05,-8.97e-07,5.76e-07,2.67e-06,-1.17e-05
-0.4,0.0,0.4,38.33,1.04,0.22,0.00164,0.00348,0.0028,0.00075,-0.000562,-4.88e-06,-1.58e-06,-4.01e-06,5.29e-07,-3.83e-06,-8.11e-07,3e-06
-0.4,0.0,0.38,38.16,1.1,0.22,0.00187,0.00481,0.00352,0.000809,-0.000853,-3.1e-06,3.78e-05,1.98e-05,-2.33e-06,-2.17e-05,6.09e-06,-1.18e-05
-0.4,0.0,0.36,38.04,0.97,0.24,0.00175,0.00421,0.00331,0.00115,-0.000958,-5.14e-06,-1.11e-05,1.03e-05,-4.66e-06,-9.85e-06,6.05e-06,-9.37e-06
-0.4,0.0,0.34,37.92,0.95,0.23,0.00161,0.00436,0.00294,0.00137,-0.000537,1.19e-06,-1.94e-05,4.6e-06,-3.41e-06,-9.67e-06,1.2e-06,-4.4e-06
-0.4,0.0,0.32,37.8,1.1,0.23,0.0019,0.00341,0.00404,0.000597,-0.00116,6.16e-07,-4.05e-06,4.05e-05,2.28e-06,-1.08e-05,4.45e-06,-1.1e-05
-0.4,0.0,0.3,37.67,1.13,0.21,0.00164,0.00383,0.00323,0.000564,-0.000665,-3.35e-06,2.75e-05,6.26e-06,-1.57e-06,4.46e-06,2.44e-06,-6.38e-06
-0.4,0.0,0.28,37.57,1.08,0.14,0.0016,0.00479,0.00275,0.000912,-0.000566,3.82e-07,-7.88e-06,-4.09e-06,-8.33e-07,1.02e-06,1.02e-06,6.16e-07
-0.4,0.0,0.26,37.48,1.01,0.03,0.00149,0.00273,0.00249,0.000732,-0.000623,1.36e-06,-1.9e-06,-2.77e-05,5.23e-07,-1.61e-06,-1.43e-06,4.28e-06
-0.4,0.0,0.24,37.41,1.01,-0.09,0.00146,0.0025,0.00187,0.000533,-0.000528,1.14e-06,-1.96e-06,1.3e-05,-2e-06,-4.38e-06,7.98e-07,-3.97e-06
-0.4,0.0,0.22,37.37,1.05,-0.17,0.00143,0.00246,0.0022,0.000633,-0.000464,-8.6e-07,-4.26e-06,-9.74e-06,-7.72e-07,-4.63e-06,4.55e-07,3.14e-07
-0.4,0.0,0.2,37.31,1.09,-0.22,0.00138,0.0026,0.00257,0.000697,-0.000484,2.77e-07,-1.88e-05,3.19e-05,-1.81e-06,-5.22e-06,2.4e-06,-7.57e-06
-0.4,0.0,0.18,37.24,1.19,-0.18,0.00181,0.00386,0.00587,0.00109,-0.00142,2.06e-06,2.64e-05,-7.07e-05,5.78e-07,5.95e-06,9.86e-07,6.44e-06
-0.4,0.0,0.16,37.2,1.26,-0.3,0.00164,0.00513,0.00305,0.00147,-0.000877,4.26e-06,9.39e-05,-0.000105,9.29e-06,2.97e-05,-1.01e-05,2.93e-05
-0.4,0.0,0.14,37.16,1.36,-0.46,0.00127,0.00219,0.00266,0.000512,-0.000418,-3.77e-07,-6.02e-06,-5.06e-06,-9.71e-07,-4.64e-06,-9.64e-07,2.09e-06
-0.4,0.0,0.12,37.15,1.42,-0.49,0.00132,0.00256,0.00249,0.000565,-0.000336,-1.46e-06,2.76e-05,-1.92e-05,1.75e-06,3.45e-06,-1.5e-06,1.45e-06
-0.4,0.0,0.1,37.17,1.55,-0.5,0.00142,0.00196,0.00257,0.000468,-0.000515,-9.18e-07,-5.77e-06,-1.34e-05,1.59e-07,-1.04e-06,-1.81e-06,8.79e-06
-0.4,0.0,0.09,37.17,1.56,-0.58,0.00148,0.00318,0.00218,0.000564,-0.000371,-4.9e-06,4.48e-05,1.68e-05,1.49e-06,4.78e-06,6.7e-07,-3.47e-06
-0.4,0.0,0.08,37.16,1.61,-0.63,0.00164,0.00254,0.00234,0.000524,-0.000453,2.79e-06,1.09e-05,-3.7e-06,-1.55e-06,-1.34e-06,7.35e-07,2.98e-06
-0.4,0.0,0.07,37.2,1.74,-0.67,0.00205,0.00309,0.00325,0.000623,-0.00036,-1.54e-06,-1.52e-05,0.000112,-1.18e-05,-6.66e-06,1.37e-05,-1.9e-05
-0.4,0.0,0.06,37.21,1.79,-0.65,0.00352,0.00513,0.00858,0.00123,-0.00155,-0.000117,-0.000218,0.000896,-7.83e-05,-9.9e-05,0.000198,-0.000185
-0.4,0.0,0.05,37.22,1.86,-0.67,0.00985,0.0167,0.0187,0.00397,-0.00417,-0.00111,-0.00226,0.00347,-0.000826,-0.000998,0.00107,-0.00118
-0.4,0.0,0.04,37.23,1.88,-0.75,0.0287,0.0424,0.0515,0.0105,-0.0129,-0.00309,-0.00323,0.00909,-0.00154,-0.00251,0.00311,-0.00332
-0.4,0.0,0.03,37.27,1.94,-0.85,0.221,0.194,0.256,0.0684,-0.103,-0.313,-0.0591,0.171,-0.0673,-0.0879,0.16,-0.142
-0.4,0.0,0.02,35.08,1.86,-0.88,0.785,1.79,1.42,0.727,-1.22,-7.22,-0.716,1.14,-1.09,-1.7,2.68,-1.77
