x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
-138.0,-250.0,28.0,33.0,-0.93,0.644,3.84,3.731,2.95,2.335,-2.97,-7.65,2.22,6.37,-15.882,1.54,-0.881,-2.54
-138.0,-250.0,38.0,34.3,-0.03,0.931,3.81,3.826,2.98,1.758,-3.08,-12.5,-8.637,9.19,-2.08,2.07,2.174,-4.7
-138.0,-250.0,58.0,37.1,1.36,1.41,3.75,3.453,2.92,1.376,-3.31,-33.6,-14.064,14.0,-3.035,7.99,-9.388,-11.1
-138.0,-250.0,78.0,40.2,2.01,1.43,2.9,2.46,2.68,0.591,-2.35,-29.4,-4.817,15.7,-1.584,11.8,-8.475,-11.6
-138.0,-250.0,98.0,42.1,1.67,1.45,1.69,1.57,1.82,0.137,-0.783,-6.47,-1.391,9.16,-0.392,4.36,-2.997,-3.95
-138.0,-250.0,118.0,42.6,1.24,1.65,0.876,0.968,0.998,0.127,-0.102,-0.164,0.175,2.33,0.42,0.57,-0.125,-0.332
-138.0,-250.0,138.0,42.7,0.8,1.83,0.557,0.646,0.564,0.037,-0.016,-0.015,-0.021,0.444,0.034,0.099,-0.005,0.019
-138.0,-250.0,158.0,42.8,1.16,1.89,0.45,0.551,0.396,0.012,-0.007,-0.05,-0.064,0.054,0.024,0.018,0.001,0.012
-138.0,-250.0,178.0,42.9,1.13,1.98,0.422,0.532,0.332,0.014,-0.001,-0.04,-0.049,-0.006,0.025,-0.01,0.004,-0.001
-138.0,-250.0,198.0,43.0,1.02,2.35,0.418,0.526,0.311,0.0,-0.002,-0.032,-0.058,-0.009,0.021,-0.008,0.001,-0.001
-138.0,-250.0,218.0,43.2,1.23,2.74,0.429,0.522,0.299,0.006,-0.005,-0.036,-0.051,-0.011,0.021,-0.009,0.004,0.0
-138.0,-250.0,238.0,43.4,1.76,3.02,0.433,0.533,0.28,0.018,-0.003,-0.023,-0.054,-0.009,0.017,-0.011,0.005,0.0
-138.0,-250.0,258.0,43.7,2.36,3.35,0.449,0.533,0.291,0.008,-0.001,-0.05,-0.068,-0.005,0.015,-0.011,0.001,-0.002
-138.0,-250.0,278.0,43.9,3.18,3.49,0.45,0.523,0.289,0.012,0.001,-0.049,-0.04,-0.01,0.017,-0.012,-0.004,-0.003
-138.0,-250.0,298.0,44.1,4.38,3.42,0.453,0.537,0.301,0.024,0.0,-0.067,-0.063,-0.008,0.021,-0.014,0.001,-0.002
-138.0,-250.0,318.0,44.1,5.4,2.8,0.439,0.529,0.286,0.025,0.0,-0.065,-0.041,-0.014,0.045,-0.012,0.002,-0.004
-138.0,-250.0,338.0,43.9,5.82,1.81,0.434,0.543,0.295,0.042,-0.004,-0.053,-0.048,-0.006,0.045,-0.009,-0.006,-0.001
-138.0,-250.0,358.0,43.7,5.6,0.571,0.436,0.536,0.268,0.041,-0.008,-0.048,-0.048,-0.008,0.049,-0.007,-0.004,0.0
-138.0,-250.0,378.0,43.5,5.04,-0.321,0.417,0.524,0.259,0.049,-0.007,-0.034,-0.052,-0.008,0.048,-0.007,-0.001,-0.001
-138.0,-250.0,398.0,43.3,4.43,-0.926,0.405,0.542,0.243,0.066,-0.007,-0.032,-0.072,-0.007,0.044,-0.008,-0.014,-0.002
-138.0,-250.0,418.0,43.1,3.9,-1.29,0.394,0.552,0.261,0.072,-0.006,-0.037,-0.051,-0.011,0.055,-0.01,-0.01,-0.003
-138.0,-250.0,438.0,42.9,3.33,-1.39,0.38,0.53,0.257,0.068,-0.006,-0.034,-0.033,-0.011,0.046,-0.007,-0.008,-0.001
-138.0,-250.0,488.0,42.6,2.63,-1.43,0.376,0.527,0.258,0.076,-0.005,-0.046,-0.05,-0.01,0.044,-0.008,-0.012,-0.001
-138.0,-250.0,538.0,42.3,1.82,-1.27,0.393,0.546,0.242,0.082,-0.003,-0.052,-0.033,-0.009,0.042,-0.008,-0.008,-0.002
-138.0,-220.0,28.0,32.0,-0.97,-1.36,3.7,3.871,3.55,0.364,-1.8,-11.5,-23.836,-0.326,1.132,1.57,-3.658,-3.46
