x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
0.0,-250.0,28.0,31.82,-1.25,0.27,3.47,3.517,2.729,1.205,-2.612,-4.146,-1.142,1.832,-1.845,1.934,-1.215,-1.52
0.0,-250.0,38.0,33.89,-0.88,0.76,3.462,3.554,2.685,0.988,-2.814,-7.543,-1.935,5.36,-2.699,1.314,-1.558,-3.21
0.0,-250.0,58.0,36.87,1.99,1.3,3.511,3.138,2.555,1.455,-3.183,-24.908,-8.583,8.844,-3.01,5.915,-5.984,-7.305
0.0,-250.0,78.0,39.81,2.46,1.49,2.82,2.367,2.339,0.577,-2.168,-29.085,-4.448,9.261,-2.748,9.071,-7.323,-8.971
0.0,-250.0,98.0,41.76,2.32,1.64,1.593,1.584,1.71,0.11,-0.649,-6.11,-0.671,5.872,-0.479,3.063,-2.846,-2.772
0.0,-250.0,118.0,42.32,1.99,1.87,0.908,0.984,1.042,-0.005,-0.148,-0.43,-0.043,2.352,-0.246,0.765,-0.52,-0.473
0.0,-250.0,138.0,42.45,1.72,2.13,0.585,0.651,0.596,-0.064,-0.017,-0.002,-0.035,0.394,-0.135,0.097,0.043,0.038
0.0,-250.0,158.0,42.53,2.09,2.26,0.486,0.512,0.431,-0.082,-0.009,-0.051,-0.068,0.051,-0.158,0.022,0.06,-0.017
0.0,-250.0,178.0,42.55,2.18,2.46,0.455,0.456,0.343,-0.076,-0.001,-0.127,-0.055,-0.012,-0.129,-0.023,0.054,-0.004
0.0,-250.0,198.0,42.53,2.31,2.92,0.438,0.437,0.297,-0.062,-0.001,-0.037,-0.049,-0.011,-0.104,-0.008,0.039,-0.003
0.0,-250.0,218.0,42.47,2.88,3.34,0.441,0.428,0.283,-0.06,-0.003,-0.041,-0.058,-0.006,-0.101,-0.007,0.048,-0.002
0.0,-250.0,238.0,42.37,3.77,3.82,0.426,0.437,0.313,-0.059,-0.002,-0.042,-0.053,-0.008,-0.104,-0.01,0.046,-0.002
0.0,-250.0,258.0,42.27,4.92,3.86,0.428,0.403,0.293,-0.059,-0.001,-0.032,-0.061,-0.009,-0.087,-0.008,0.047,-0.003
0.0,-250.0,278.0,42.11,6.19,3.44,0.421,0.416,0.291,-0.07,-0.002,-0.039,-0.059,-0.008,-0.104,-0.008,0.054,-0.003
