x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
200.0,-400.0,28.0,36.5,1.22,0.59,2.116,1.67,1.308,0.561,-0.994,-4.404,-0.695,0.738,-0.61,1.14,-1.04,-0.864
200.0,-400.0,38.0,38.59,1.41,0.7,1.666,1.34,1.063,0.446,-0.595,-3.169,-1.01,0.55,-0.633,0.793,-0.823,-0.664
200.0,-400.0,58.0,40.75,1.86,0.87,0.659,0.652,0.563,0.033,-0.078,-0.42,-0.232,0.188,-0.126,0.158,-0.116,-0.136
200.0,-400.0,78.0,40.94,1.74,0.91,0.407,0.453,0.347,-0.021,0.004,-0.004,-0.011,-0.001,-0.02,-0.001,-0.004,-0.003
200.0,-400.0,98.0,40.97,1.82,1.12,0.377,0.444,0.286,-0.021,0.0,-0.003,-0.01,-0.004,-0.023,-0.004,-0.003,-0.002
200.0,-400.0,118.0,41.0,2.12,1.22,0.368,0.417,0.29,-0.018,0.0,-0.007,-0.014,-0.006,-0.023,-0.003,-0.003,-0.003
200.0,-400.0,138.0,41.01,2.39,1.22,0.371,0.407,0.287,-0.018,0.002,-0.026,-0.021,-0.002,-0.019,-0.002,-0.002,-0.001
200.0,-400.0,158.0,41.01,2.37,1.22,0.364,0.416,0.281,-0.018,0.001,-0.009,-0.018,-0.004,-0.019,-0.003,-0.004,-0.003
200.0,-400.0,178.0,41.02,2.77,1.32,0.364,0.376,0.264,-0.019,0.002,-0.004,-0.023,-0.005,-0.018,-0.003,-0.002,-0.001
200.0,-400.0,198.0,41.03,2.48,1.26,0.356,0.391,0.263,-0.018,-0.001,-0.01,-0.022,-0.006,-0.018,-0.005,-0.003,-0.002
200.0,-400.0,218.0,41.04,2.38,1.13,0.358,0.418,0.267,-0.008,0.001,-0.009,-0.018,-0.012,-0.025,-0.006,-0.004,-0.004
200.0,-400.0,238.0,41.05,2.36,1.12,0.359,0.4,0.274,-0.013,0.005,-0.007,-0.019,-0.01,-0.024,-0.004,-0.004,-0.003
200.0,-400.0,258.0,41.01,2.62,0.89,0.352,0.407,0.265,-0.016,0.001,-0.009,-0.023,-0.012,-0.026,-0.005,-0.001,-0.003
200.0,-400.0,278.0,41.01,2.76,0.8,0.351,0.383,0.248,-0.018,0.001,-0.005,-0.025,-0.009,-0.021,-0.005,-0.002,-0.002
200.0,-400.0,298.0,41.02,2.86,0.6,0.353,0.387,0.266,-0.02,-0.002,-0.006,-0.021,-0.01,-0.023,-0.004,-0.002,-0.001
200.0,-400.0,318.0,41.03,3.24,0.51,0.358,0.382,0.266,-0.024,0.002,-0.012,-0.023,-0.011,-0.019,-0.006,0.0,-0.003
200.0,-400.0,338.0,41.01,2.93,0.41,0.353,0.381,0.271,-0.022,-0.002,-0.008,-0.022,-0.011,-0.023,-0.004,0.002,-0.003
200.0,-400.0,358.0,41.0,2.73,0.28,0.353,0.389,0.26,-0.023,0.0,-0.008,-0.024,-0.009,-0.023,-0.005,0.0,-0.001
200.0,-400.0,378.0,41.02,2.45,0.16,0.347,0.371,0.261,-0.026,-0.002,-0.003,-0.022,-0.01,-0.032,-0.005,0.0,-0.002
200.0,-400.0,398.0,41.03,2.54,0.08,0.354,0.378,0.259,-0.027,-0.002,-0.01,-0.028,-0.008,-0.037,-0.003,0.004,-0.002
200.0,-400.0,418.0,41.03,2.47,0.06,0.344,0.391,0.262,-0.033,-0.001,-0.006,-0.027,-0.009,-0.031,-0.004,0.006,-0.001
200.0,-400.0,438.0,41.03,2.5,0.01,0.347,0.383,0.267,-0.03,0.0,-0.005,-0.032,-0.009,-0.036,-0.004,0.006,-0.002
200.0,-400.0,488.0,41.04,2.14,-0.06,0.343,0.544,0.267,-0.092,0.001,-0.005,-0.079,-0.008,-0.017,-0.005,0.027,-0.001
200.0,-400.0,538.0,41.05,1.72,-0.21,0.346,0.377,0.268,-0.013,-0.001,-0.002,-0.012,-0.008,-0.014,-0.004,-0.005,-0.001
200.0,-350.0,28.0,32.85,1.15,1.18,2.593,2.47,1.652,1.1,-1.536,-4.353,-5.91,0.796,-1.04,1.204,-0.852,-1.06
200.0,-350.0,38.0,35.0,1.51,1.41,2.274,2.18,1.475,1.24,-1.114,-4.877,-6.43,0.844,-2.73,1.123,-3.49,-1.033
200.0,-350.0,58.0,38.44,2.26,1.6,1.662,1.31,1.118,0.464,-0.657,-3.395,-3.09,0.747,-1.88,0.946,-1.96,-0.844
200.0,-350.0,78.0,40.56,2.47,1.53,0.766,0.674,0.669,0.036,-0.126,-0.677,-0.6,0.307,-0.247,0.26,-0.209,-0.223
200.0,-350.0,98.0,40.9,2.3,1.37,0.451,0.504,0.403,-0.01,-0.006,-0.008,-0.112,0.024,-0.046,0.02,0.017,-0.004
200.0,-350.0,118.0,40.95,2.25,1.17,0.402,0.462,0.338,0.0,0.003,-0.002,-0.079,0.008,-0.024,-0.001,-0.004,-0.001
200.0,-350.0,138.0,40.98,2.72,0.99,0.379,0.422,0.298,-0.011,0.001,-0.006,-0.041,-0.005,-0.017,-0.002,0.0,-0.004
200.0,-350.0,158.0,41.0,2.91,0.92,0.367,0.386,0.284,-0.007,0.002,-0.005,-0.023,-0.008,-0.019,-0.005,-0.005,-0.003
200.0,-350.0,178.0,41.03,2.8,0.88,0.366,0.396,0.274,-0.007,0.001,-0.009,-0.025,0.003,-0.015,-0.001,-0.002,-0.01
200.0,-350.0,198.0,41.05,2.63,0.78,0.356,0.383,0.277,-0.011,0.003,-0.007,-0.021,-0.01,-0.015,-0.005,-0.004,-0.002
200.0,-350.0,218.0,41.05,2.64,0.62,0.356,0.38,0.267,-0.015,0.002,-0.002,-0.022,-0.01,-0.014,-0.005,-0.005,-0.002
200.0,-350.0,238.0,41.03,3.03,0.64,0.352,0.369,0.265,-0.011,-0.001,-0.011,-0.016,-0.011,-0.015,-0.005,-0.005,-0.002
200.0,-350.0,258.0,41.04,3.66,0.58,0.352,0.381,0.278,-0.013,0.002,-0.01,-0.015,-0.015,-0.012,-0.005,-0.005,-0.004
200.0,-350.0,278.0,41.02,3.53,0.37,0.346,0.361,0.272,-0.01,-0.001,-0.008,-0.015,-0.01,-0.013,-0.004,-0.005,-0.002
200.0,-350.0,298.0,41.01,3.72,0.13,0.343,0.373,0.279,-0.012,0.0,-0.009,-0.015,-0.012,-0.014,-0.006,-0.005,-0.002
200.0,-350.0,318.0,41.02,3.51,0.0,0.346,0.37,0.273,-0.01,-0.001,-0.003,-0.011,-0.01,-0.011,-0.005,-0.006,-0.002
200.0,-350.0,338.0,41.03,3.39,-0.2,0.341,0.358,0.281,-0.009,0.001,-0.005,-0.013,-0.007,-0.012,-0.005,-0.004,-0.001
200.0,-350.0,358.0,40.99,3.35,-0.36,0.352,0.378,0.277,-0.009,0.001,-0.013,-0.009,-0.008,-0.018,-0.004,-0.005,-0.001
200.0,-350.0,378.0,40.98,3.32,-0.5,0.338,0.371,0.278,-0.008,0.0,-0.004,-0.011,-0.005,-0.015,-0.005,-0.005,-0.001
200.0,-350.0,398.0,41.02,3.08,-0.55,0.337,0.352,0.265,-0.01,0.0,-0.003,-0.017,-0.007,-0.015,-0.005,-0.004,-0.002
200.0,-350.0,418.0,41.02,2.89,-0.58,0.333,0.354,0.262,-0.009,0.001,-0.007,-0.02,-0.005,-0.012,-0.004,-0.003,-0.002
200.0,-350.0,438.0,41.0,2.54,-0.59,0.338,0.36,0.261,-0.014,0.002,-0.006,-0.021,-0.009,-0.016,-0.004,-0.004,-0.002
200.0,-350.0,488.0,41.09,2.27,-0.69,0.333,0.372,0.254,-0.014,-0.002,-0.005,-0.02,-0.006,-0.012,-0.004,-0.006,-0.001
200.0,-350.0,538.0,41.03,1.85,-0.65,0.337,0.368,0.258,-0.009,-0.002,-0.003,-0.015,-0.007,-0.012,-0.005,-0.006,-0.001
200.0,-300.0,28.0,32.18,1.36,1.02,3.562,3.18,2.498,0.339,-3.258,-9.924,-4.22,3.463,-1.3,4.257,-2.16,-3.133
200.0,-300.0,38.0,34.35,1.92,1.22,3.324,2.99,2.353,0.927,-2.826,-16.2,-6.0,6.06,-2.99,6.64,-4.77,-5.749
200.0,-300.0,58.0,37.91,2.49,1.58,2.455,2.45,1.731,1.19,-1.421,-16.527,-9.72,4.983,-5.04,5.735,-7.28,-5.003
200.0,-300.0,78.0,40.04,2.71,1.78,1.45,1.63,1.19,0.539,-0.409,-5.628,-5.11,2.788,-3.03,2.073,-3.43,-1.861
200.0,-300.0,98.0,40.62,2.78,1.9,0.867,1.03,0.832,0.12,-0.06,-0.65,-1.73,1.293,-0.627,0.49,-0.574,-0.3
200.0,-300.0,118.0,40.73,3.0,1.91,0.641,0.695,0.649,0.006,-0.002,-0.092,-0.551,0.69,-0.247,0.253,-0.07,-0.065
200.0,-300.0,138.0,40.75,3.47,1.97,0.519,0.548,0.541,-0.009,0.004,-0.032,-0.222,0.507,-0.079,0.099,0.007,-0.02
200.0,-300.0,158.0,40.8,3.63,2.06,0.442,0.458,0.422,-0.002,0.002,0.036,-0.085,0.161,-0.041,0.053,-0.013,0.019
200.0,-300.0,178.0,40.86,3.64,2.14,0.401,0.421,0.355,0.001,0.0,-0.001,-0.023,0.008,-0.019,-0.002,-0.006,-0.008
200.0,-300.0,198.0,40.87,3.61,1.99,0.38,0.403,0.341,0.0,0.004,-0.004,-0.017,-0.007,-0.018,-0.002,-0.008,-0.003
200.0,-300.0,218.0,40.85,3.74,1.87,0.361,0.393,0.304,-0.006,0.002,-0.004,-0.019,-0.007,-0.015,-0.006,-0.003,-0.003
200.0,-300.0,238.0,40.83,3.71,1.65,0.351,0.38,0.288,-0.007,0.002,-0.007,-0.017,-0.009,-0.013,-0.005,-0.006,-0.003
