x_m,y_m,z_m,U,V,W,u*u,v*v,w*w,u*v,u*w,u*u*u,v*v*v,w*w*w,u*u*v,u*v*v,u*u*w,u*w*w
-0.4,0.2,0.7,39.64,1.3,-0.29,0.00194,0.00419,0.00288,0.00128,-0.000769,2.26e-06,2.09e-05,-2.8e-06,3.62e-06,6.44e-06,7.31e-07,-7.63e-07
-0.4,0.2,0.65,39.46,1.43,-0.24,0.00188,0.00351,0.00367,0.000859,-0.000771,-2.07e-06,-2.6e-05,2.64e-05,4.18e-07,6.12e-06,2.06e-06,-4.72e-06
-0.4,0.2,0.6,39.22,1.2,0.07,0.00227,0.00599,0.00521,0.00168,-0.00119,2.77e-06,-3.69e-05,2.73e-05,-3.85e-06,1.07e-06,1.63e-06,4.25e-06
-0.4,0.2,0.55,39.07,1.21,0.16,0.00235,0.00414,0.00446,0.000537,-0.00123,-6.98e-06,-2.35e-05,4.95e-05,3.04e-06,6.32e-06,1.25e-05,-2.7e-05
-0.4,0.2,0.5,38.88,1.32,0.27,0.00302,0.00794,0.00956,0.00204,-0.00177,2.36e-06,-5.69e-06,-3.94e-05,2.86e-05,6.64e-05,-1.61e-05,5.63e-05
-0.4,0.2,0.45,38.76,1.79,0.18,0.00176,0.00314,0.00315,0.000716,-0.000625,-2.05e-06,-3.4e-05,1.75e-05,-4.88e-06,-1.29e-05,2.12e-06,-5.36e-06
-0.4,0.2,0.4,38.55,1.83,0.14,0.00179,0.00407,0.00296,0.00106,-0.000683,4.14e-08,-6.29e-05,1.93e-05,-1.44e-05,-2.71e-05,4.42e-06,-1.46e-05
-0.4,0.2,0.38,38.43,1.83,0.15,0.002,0.00528,0.00392,0.00138,-0.00111,8.65e-08,5.86e-05,-3.19e-05,9.58e-06,2.07e-05,-1.96e-06,7.85e-06
-0.4,0.2,0.36,38.35,1.89,0.09,0.00163,0.00298,0.00304,0.00063,-0.000548,1.08e-06,-2.46e-05,2.06e-05,-4.1e-06,-9.69e-06,1.26e-06,-6.39e-06
-0.4,0.2,0.34,38.26,1.93,0.13,0.00166,0.00458,0.00337,0.00109,-0.000675,-1.43e-06,-6.83e-05,1.81e-06,-1.87e-05,-3.26e-05,4.33e-06,-6.56e-06
-0.4,0.2,0.32,38.22,2.01,0.0,0.00192,0.00685,0.00422,0.00171,-0.000939,4.07e-07,-0.0002,4.77e-05,-4.21e-05,-9.12e-05,8.98e-06,-2.92e-05
-0.4,0.2,0.3,38.1,2.08,0.02,0.00191,0.00378,0.00452,0.0011,-0.00113,2.07e-06,1.19e-05,-4.78e-05,-3.9e-06,-4.38e-06,4.03e-06,6.22e-06
-0.4,0.2,0.28,38.01,2.15,-0.04,0.00172,0.00362,0.00409,0.000887,-0.000935,8.47e-06,2.56e-05,-5.73e-05,2.54e-06,1.24e-05,-5.19e-06,1.43e-05
-0.4,0.2,0.26,37.97,2.26,-0.14,0.0018,0.00428,0.00322,0.00107,-0.000901,1.18e-06,6.92e-06,-4.74e-07,-1.55e-06,-3.05e-06,-5.75e-06,9.01e-06
-0.4,0.2,0.24,37.91,2.34,-0.19,0.00163,0.00277,0.00357,0.00045,-0.000877,-5.01e-07,3.8e-06,8.27e-06,4.29e-07,1.38e-06,8.61e-07,-4.91e-06
-0.4,0.2,0.22,37.87,2.33,-0.26,0.00177,0.00398,0.00441,0.000444,-0.00105,-2.83e-07,6.64e-06,3.04e-06,-1.17e-06,-1.34e-05,2.78e-06,-8.75e-06
-0.4,0.2,0.2,37.84,2.34,-0.32,0.00153,0.00304,0.00277,0.000569,-0.000446,-1.86e-06,2.84e-05,1.63e-05,3.03e-06,5.64e-06,3.08e-06,-7.91e-06
-0.4,0.2,0.18,37.8,2.4,-0.34,0.00158,0.00411,0.00312,0.0007,-0.000604,2.27e-06,2.33e-05,3.72e-05,4.05e-07,2.55e-06,2.91e-06,-9.66e-06
-0.4,0.2,0.16,37.77,2.4,-0.34,0.0014,0.00202,0.00278,0.00053,-0.000443,-3.02e-06,6.79e-07,-1.64e-05,-6.92e-08,-1.08e-06,-1.07e-06,6.59e-07
-0.4,0.2,0.14,37.78,2.47,-0.4,0.00156,0.0019,0.00262,0.000328,-0.000308,1.91e-07,-4.11e-06,-7.58e-06,-2.17e-06,-2.25e-06,-1.81e-07,2.93e-07
-0.4,0.2,0.12,37.8,2.59,-0.46,0.00147,0.00292,0.00197,0.000823,-0.000288,6.84e-07,3.75e-05,-6.23e-06,2.52e-06,6.26e-06,5.53e-07,-1.51e-06
-0.4,0.2,0.1,37.78,2.67,-0.55,0.00176,0.00263,0.00409,0.000611,-0.000966,1.26e-06,1.43e-05,-5.55e-05,1.6e-06,2.61e-06,-5.38e-06,1.19e-05
-0.4,0.2,0.09,37.77,2.69,-0.54,0.00185,0.00276,0.00346,0.000695,-0.000363,2.07e-08,7.2e-06,3.44e-05,3.15e-07,1.24e-06,4.08e-06,-3.16e-06
-0.4,0.2,0.08,37.78,2.74,-0.56,0.00202,0.00355,0.00449,0.000791,-0.000617,-1.02e-05,7.99e-06,0.000134,-5.54e-06,1.84e-06,2.55e-05,-2.39e-05
-0.4,0.2,0.07,37.77,2.78,-0.6,0.0035,0.0079,0.00818,0.00108,-0.00164,-0.000154,-0.000264,0.00116,-6.07e-05,-0.000102,0.000248,-0.00028
