x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
-243.0,0.0,355.0,48.25,0.05,-1.28,0.598,0.841,0.537,-0.018,-0.079,-0.304,-0.096,0.226,-0.041,0.144,-0.104,-0.122
-243.0,0.0,358.0,48.26,0.08,-1.43,0.45,0.718,0.377,-0.066,-0.029,-0.033,0.008,0.029,-0.062,0.014,0.013,-0.005
-243.0,0.0,363.0,48.15,0.13,-1.67,0.406,0.663,0.327,-0.059,-0.024,-0.033,-0.023,0.006,-0.036,0.009,0.02,-0.001
-243.0,0.0,373.0,47.8,0.02,-2.06,0.395,0.632,0.314,-0.056,-0.029,-0.016,0.001,0.009,-0.015,0.006,0.019,-0.002
-243.0,0.0,388.0,47.21,-0.12,-2.41,0.358,0.597,0.301,-0.077,-0.021,-0.012,-0.028,0.013,-0.015,0.006,0.005,-0.003
-203.0,0.0,363.0,50.28,0.15,-4.19,0.513,0.765,0.533,-0.078,-0.162,-0.038,0.081,0.012,-0.035,0.012,-0.007,0.0
-203.0,0.0,373.0,49.33,-0.08,-4.41,0.45,0.713,0.461,-0.052,-0.104,-0.011,0.014,0.016,-0.014,0.006,0.002,-0.004
-203.0,0.0,388.0,48.22,-0.02,-4.47,0.373,0.621,0.386,-0.058,-0.05,-0.032,-0.02,0.018,-0.017,0.013,0.005,-0.006
-183.0,0.0,346.0,51.0,-0.55,-6.66,1.713,1.441,1.843,-0.187,-1.754,-3.971,0.159,1.226,0.316,1.814,-0.747,-1.308
-183.0,0.0,348.0,51.5,-0.44,-6.69,1.344,1.206,1.599,-0.035,-1.203,-2.678,-0.026,0.87,-0.112,1.31,-0.246,-1.046
-183.0,0.0,353.0,51.57,-0.21,-6.63,0.689,0.919,1.168,-0.08,-0.492,-0.156,0.031,0.0,0.004,0.132,0.013,-0.105
-183.0,0.0,358.0,50.98,-0.02,-6.56,0.531,0.777,0.925,-0.065,-0.289,-0.025,0.038,-0.088,-0.003,0.01,-0.008,0.003
-183.0,0.0,363.0,50.42,0.05,-6.47,0.456,0.709,0.796,-0.054,-0.191,-0.038,0.014,-0.022,-0.008,0.025,-0.006,-0.021
-183.0,0.0,373.0,49.4,-0.19,-6.24,0.415,0.644,0.617,-0.062,-0.104,-0.012,0.008,-0.005,-0.006,0.011,0.003,-0.009
-183.0,0.0,388.0,48.23,0.02,-5.84,0.357,0.599,0.455,-0.066,-0.04,-0.028,-0.018,0.002,0.007,0.01,0.008,-0.004
-163.0,0.0,336.0,44.51,-0.34,-9.58,6.739,2.467,5.72,0.727,-21.262,-683.892,-45.404,340.193,-25.196,373.7,-33.994,-327.134
-163.0,0.0,338.0,47.16,-0.3,-9.41,4.43,1.957,4.505,-0.457,-10.001,-220.569,-7.432,196.747,-2.141,144.891,-2.063,-144.002
-163.0,0.0,343.0,50.11,-0.26,-9.32,1.955,1.239,2.641,-0.241,-1.804,-8.335,-0.387,24.128,-0.21,8.184,-0.316,-8.648
-163.0,0.0,348.0,50.95,-0.15,-9.26,0.957,0.905,1.81,-0.145,-0.29,-0.857,-0.047,3.406,-0.068,1.01,0.065,-1.22
-163.0,0.0,353.0,50.59,-0.01,-9.03,0.609,0.784,1.361,-0.125,-0.045,-0.151,-0.009,0.667,-0.025,0.152,0.054,-0.27
-163.0,0.0,363.0,49.64,0.04,-8.49,0.456,0.677,0.932,-0.078,-0.02,-0.047,-0.004,0.108,-0.013,0.025,0.01,-0.065
-163.0,0.0,373.0,48.79,-0.18,-7.97,0.371,0.636,0.702,-0.065,-0.007,-0.015,-0.003,0.032,0.001,0.008,0.004,-0.025
-163.0,0.0,388.0,47.77,0.1,-7.19,0.376,0.584,0.478,-0.066,-0.005,-0.018,-0.037,0.009,-0.007,0.008,0.008,-0.008
-143.0,0.0,327.0,28.45,0.3,-10.59,13.359,3.874,11.0,0.979,-87.448,-2011.775,-7.419,1317.668,-37.995,1188.562,-123.245,-1219.872
-143.0,0.0,329.0,33.7,0.14,-11.18,11.85,2.924,9.746,0.545,-66.403,-1924.131,-21.183,1138.131,-17.8,1091.305,-36.523,-1089.807
-143.0,0.0,333.0,42.49,-0.11,-11.87,7.89,2.027,6.92,0.644,-28.931,-999.579,-18.662,603.665,-20.727,575.866,-15.36,-554.345
-143.0,0.0,338.0,47.68,-0.11,-11.56,3.86,1.223,4.324,-0.22,-7.394,-161.134,-1.128,202.674,-0.507,120.229,0.031,-125.621
-143.0,0.0,343.0,49.48,-0.03,-11.39,1.848,0.868,2.683,-0.147,-0.765,-8.094,-0.155,52.432,-0.176,13.84,0.095,-16.868
-143.0,0.0,353.0,49.09,0.11,-10.74,0.85,0.683,1.335,-0.096,0.303,-0.115,-0.058,1.886,-0.032,0.353,0.041,-0.022
-143.0,0.0,363.0,48.44,-0.05,-9.98,0.551,0.638,0.915,-0.063,0.15,-0.067,-0.02,0.302,-0.005,0.031,0.013,-0.023
-143.0,0.0,373.0,47.83,-0.09,-9.28,0.472,0.598,0.659,-0.064,0.081,-0.043,-0.031,0.07,-0.008,0.01,0.009,-0.017
-143.0,0.0,388.0,46.99,0.12,-8.3,0.366,0.575,0.497,-0.053,0.032,-0.008,-0.037,0.032,0.005,0.01,0.008,-0.004
-123.0,0.0,318.0,19.26,0.57,-9.55,14.182,4.994,12.388,2.017,-101.366,-1329.096,-24.918,1183.483,-57.768,892.567,-145.488,-1026.809
-123.0,0.0,320.0,23.7,0.43,-10.7,13.465,4.129,11.863,0.564,-93.4,-1616.468,-26.216,1341.699,-35.075,1031.879,-92.738,-1156.909
-123.0,0.0,323.0,29.87,0.08,-12.1,12.27,3.26,10.428,1.126,-70.903,-1848.503,-41.895,1281.344,-23.82,1079.766,-58.519,-1132.056
-123.0,0.0,328.0,38.88,-0.04,-13.0,9.128,2.093,8.153,0.189,-39.768,-1245.418,-17.846,906.304,-7.033,731.306,-10.044,-764.236
-123.0,0.0,333.0,44.59,-0.06,-13.19,5.66,1.346,5.741,0.034,-16.423,-472.879,-8.188,410.754,-4.124,308.937,-3.685,-306.963
-123.0,0.0,343.0,47.82,0.12,-12.63,1.884,0.72,2.488,-0.093,-0.225,-4.538,-0.148,49.832,-0.051,11.499,0.063,-10.886
-123.0,0.0,353.0,47.48,0.09,-11.83,1.0,0.633,1.237,-0.056,0.307,0.252,-0.043,2.774,-0.001,0.625,0.016,0.167
-123.0,0.0,363.0,47.05,-0.13,-11.03,0.671,0.6,0.801,-0.057,0.167,0.005,-0.038,0.427,0.0,0.102,0.013,0.032
-123.0,0.0,373.0,46.66,0.04,-10.22,0.505,0.585,0.603,-0.061,0.09,-0.018,-0.04,0.113,0.004,0.03,0.01,0.003
-123.0,0.0,388.0,46.11,0.11,-9.16,0.416,0.57,0.432,-0.061,0.045,-0.026,-0.04,0.031,0.0,0.007,0.009,-0.001
-103.0,0.0,308.0,14.27,0.9,-8.04,13.138,6.513,12.485,-1.021,-90.058,-658.385,30.982,707.477,4.026,447.979,-158.756,-559.618
-103.0,0.0,310.0,17.36,0.76,-9.27,13.096,5.748,12.268,-2.979,-90.24,-936.303,3.404,980.334,27.243,649.914,-162.395,-774.226
-103.0,0.0,313.0,22.27,0.38,-10.94,12.65,4.497,11.63,0.652,-81.45,-1180.057,-38.734,1214.598,-17.052,777.622,-95.7,-929.378
-103.0,0.0,318.0,29.94,0.12,-12.68,11.417,3.205,10.277,0.675,-65.21,-1416.472,-18.738,1246.411,-12.181,883.458,-43.874,-1016.098
-103.0,0.0,323.0,36.88,-0.02,-13.73,9.205,2.174,8.262,-0.052,-39.932,-1207.479,-16.898,884.07,-3.286,676.194,-14.584,-716.075
-103.0,0.0,333.0,45.06,0.1,-14.07,3.758,0.961,4.465,-0.082,-6.124,-133.468,-2.938,212.982,-1.265,104.165,-0.826,-118.194
-103.0,0.0,343.0,46.15,0.17,-13.29,1.751,0.66,2.139,-0.057,0.008,3.437,-0.079,28.681,-0.022,5.152,0.042,-1.726
-103.0,0.0,353.0,45.93,-0.06,-12.48,1.024,0.614,1.13,-0.044,0.202,0.68,-0.03,2.669,0.011,0.645,0.021,0.33
-103.0,0.0,363.0,45.72,-0.09,-11.64,0.698,0.581,0.716,-0.051,0.102,0.066,-0.034,0.437,0.002,0.13,0.013,0.046
-103.0,0.0,373.0,45.5,0.11,-10.78,0.546,0.569,0.518,-0.048,0.066,0.014,-0.042,0.122,0.012,0.039,0.003,0.016
-103.0,0.0,388.0,45.12,0.11,-9.73,0.423,0.566,0.398,-0.05,0.035,-0.005,-0.047,0.023,0.008,0.017,0.008,0.001
-83.0,0.0,298.0,12.99,0.7,-7.64,11.515,6.892,11.686,-1.702,-67.525,-254.804,-27.144,309.21,27.855,188.289,-120.418,-256.113
-83.0,0.0,300.0,15.3,0.74,-8.68,11.51,6.709,11.729,-0.59,-69.911,-372.377,-26.394,571.553,-15.008,285.197,-132.892,-395.664
-83.0,0.0,303.0,18.46,0.56,-10.03,11.637,5.71,11.545,-0.248,-70.517,-571.919,-4.435,854.543,-3.488,410.483,-120.338,-554.638
-83.0,0.0,308.0,24.37,0.22,-11.67,11.483,4.472,10.786,0.514,-65.909,-964.492,-16.171,1036.854,-12.978,582.505,-92.817,-748.128
-83.0,0.0,313.0,30.74,0.03,-13.28,10.291,3.169,9.457,0.617,-51.123,-1048.349,-15.341,1035.97,-12.835,637.099,-45.04,-772.359
-83.0,0.0,323.0,40.39,0.03,-14.36,6.561,1.408,6.76,-0.091,-22.462,-627.19,-4.859,623.7,-1.328,418.507,-2.056,-448.674
-83.0,0.0,333.0,44.19,0.16,-14.3,2.848,0.739,3.667,-0.088,-2.557,-46.601,-0.212,130.702,-0.091,41.044,0.145,-51.584
-83.0,0.0,343.0,44.66,0.05,-13.52,1.535,0.629,1.796,-0.042,0.139,4.595,-0.056,15.66,-0.019,2.952,0.029,2.735
-83.0,0.0,353.0,44.61,-0.12,-12.72,0.941,0.589,1.007,-0.047,0.121,0.674,-0.048,2.201,-0.002,0.54,0.012,0.416
-83.0,0.0,363.0,44.53,0.0,-11.89,0.663,0.574,0.653,-0.051,0.044,0.091,-0.041,0.374,-0.002,0.107,0.011,0.057
-83.0,0.0,373.0,44.43,0.15,-11.11,0.52,0.553,0.466,-0.048,0.031,-0.007,-0.044,0.107,-0.002,0.034,0.011,0.015
-83.0,0.0,388.0,44.22,0.07,-10.1,0.428,0.557,0.371,-0.045,0.013,-0.027,-0.044,0.028,0.009,0.014,0.009,0.0
-63.0,0.0,289.0,13.91,0.5,-8.09,10.142,6.87,10.744,-1.335,-49.781,-157.035,13.296,247.755,-3.609,121.997,-49.106,-178.617
-63.0,0.0,291.0,15.48,0.54,-8.85,10.363,6.866,10.883,-1.716,-54.486,-211.911,6.198,385.075,-5.979,145.897,-116.07,-229.469
-63.0,0.0,293.0,16.94,0.4,-9.3,10.373,6.472,10.888,-1.183,-55.678,-265.956,17.08,468.429,5.291,179.425,-117.878,-291.195
