x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
-243.0,195.0,340.0,44.0,-6.1,4.43,2.01,1.503,1.59,-1.164,-0.861,-9.88,1.083,3.3,2.453,2.92,-2.005,-3.01
-243.0,195.0,343.0,45.5,-5.69,3.08,1.21,1.09,1.08,-0.466,-0.391,-3.53,0.431,1.89,1.009,1.25,-1.026,-1.38
-243.0,195.0,348.0,46.1,-4.95,1.72,0.507,0.686,0.476,-0.124,-0.018,-0.165,0.065,0.134,0.066,0.035,-0.07,-0.08
-243.0,195.0,358.0,46.1,-4.0,0.573,0.346,0.821,0.285,-0.068,-0.008,-0.007,0.574,0.023,0.001,0.008,0.063,-0.006
-243.0,195.0,388.0,45.3,-2.92,-0.668,0.299,0.589,0.257,-0.06,-0.007,-0.017,-0.022,0.014,-0.015,0.007,0.014,-0.005
-223.0,195.0,340.0,46.0,-7.88,5.2,1.68,1.397,1.39,-0.915,-0.624,-6.95,0.942,2.78,2.252,1.89,-1.876,-2.19
-223.0,195.0,343.0,47.2,-7.44,3.4,0.848,0.903,0.834,-0.254,-0.198,-1.5,0.157,1.14,0.417,0.714,-0.497,-0.69
-223.0,195.0,348.0,47.4,-6.52,1.64,0.38,0.629,0.38,-0.088,-0.01,-0.032,0.021,0.058,-0.002,0.017,-0.014,-0.014
-223.0,195.0,358.0,47.0,-5.32,0.074,0.337,0.58,0.292,-0.074,-0.01,-0.023,-0.03,0.016,-0.011,0.009,0.019,-0.005
-223.0,195.0,388.0,45.6,-3.6,-1.21,0.303,0.554,0.262,-0.067,-0.009,-0.006,-0.062,0.01,-0.02,0.006,0.021,-0.004
-203.0,195.0,340.0,50.4,-13.44,4.84,1.11,1.13,1.06,-0.4,-0.327,-2.47,0.394,1.66,0.717,0.96,-0.84,-1.09
-203.0,195.0,343.0,50.2,-11.63,2.04,0.58,0.748,0.604,-0.155,-0.056,-0.227,0.049,0.39,0.117,0.145,-0.133,-0.118
-203.0,195.0,348.0,49.2,-9.58,-0.045,0.361,0.57,0.349,-0.081,-0.021,-0.018,-0.027,0.023,-0.008,0.015,0.007,-0.006
-203.0,195.0,358.0,47.8,-7.18,-1.38,0.336,0.558,0.289,-0.075,-0.012,-0.008,-0.036,0.014,-0.003,0.009,0.007,-0.004
-203.0,195.0,388.0,45.7,-4.34,-2.0,0.31,0.547,0.289,-0.072,-0.009,-0.009,-0.04,0.01,-0.011,0.005,0.013,-0.004
-183.0,195.0,331.0,48.4,-20.9,13.4,2.1,1.985,1.69,-1.177,-0.88,-6.88,2.185,2.18,2.083,1.82,-1.393,-1.91
-183.0,195.0,333.0,48.7,-23.18,9.7,1.67,1.57,1.37,-0.861,-0.529,-5.44,1.563,1.84,1.671,1.59,-1.352,-1.75
-183.0,195.0,338.0,48.5,-19.32,1.69,0.53,0.795,0.659,-0.121,-0.015,-0.146,0.046,0.201,0.066,0.095,-0.086,-0.1
-183.0,195.0,343.0,48.0,-14.88,-1.48,0.362,0.607,0.417,-0.084,-0.015,-0.003,0.006,0.009,-0.014,0.01,0.006,-0.007
-183.0,195.0,348.0,47.6,-12.03,-2.61,0.329,0.576,0.35,-0.077,-0.017,-0.008,-0.045,0.025,-0.003,0.011,0.015,-0.009
-183.0,195.0,358.0,47.0,-8.81,-3.08,0.331,0.532,0.29,-0.076,-0.014,-0.024,-0.024,0.011,-0.004,0.01,0.006,-0.006
-183.0,195.0,388.0,45.5,-5.06,-2.81,0.305,0.502,0.273,-0.066,-0.011,-0.013,-0.039,0.014,-0.008,0.007,0.013,-0.005
-163.0,195.0,321.0,45.8,-13.74,16.4,2.44,2.108,1.88,-1.829,-1.05,-6.48,1.546,1.46,2.148,1.08,-1.537,-1.37
-163.0,195.0,323.0,46.6,-17.06,15.1,2.24,1.989,1.74,-1.516,-0.978,-7.1,1.998,1.98,1.875,1.78,-1.2,-1.68
-163.0,195.0,328.0,47.7,-22.22,8.85,1.18,1.295,1.04,-0.653,-0.238,-2.32,1.078,1.04,1.366,0.701,-1.111,-0.811
-163.0,195.0,333.0,47.0,-20.3,2.71,0.426,0.721,0.516,-0.111,0.009,-0.015,0.061,0.044,0.068,0.021,-0.035,-0.011
-163.0,195.0,338.0,46.3,-16.97,-0.791,0.355,0.602,0.384,-0.085,-0.002,-0.011,0.0,0.02,-0.017,0.008,-0.002,-0.007
-163.0,195.0,348.0,45.9,-12.2,-3.26,0.33,0.563,0.31,-0.074,-0.014,-0.006,-0.046,0.011,-0.021,0.007,0.009,-0.005
-163.0,195.0,358.0,45.7,-9.39,-3.76,0.321,0.508,0.303,-0.064,-0.013,-0.008,-0.045,0.015,-0.016,0.009,0.013,-0.006
-163.0,195.0,388.0,45.0,-5.57,-3.37,0.322,0.499,0.271,-0.065,-0.01,-0.02,-0.058,0.01,-0.009,0.008,0.014,-0.005
-143.0,195.0,312.0,44.4,-10.51,16.4,2.57,2.244,1.9,-2.059,-0.885,-7.04,5.118,1.42,3.251,1.03,-1.821,-1.41
-143.0,195.0,314.0,45.1,-12.76,15.7,2.37,2.212,1.77,-1.823,-0.874,-6.48,3.415,1.59,2.655,1.13,-1.843,-1.56
-143.0,195.0,318.0,46.4,-18.66,13.4,1.86,1.738,1.46,-1.227,-0.597,-5.48,1.778,1.69,1.898,1.35,-1.328,-1.55
-143.0,195.0,323.0,47.0,-21.59,7.98,0.824,1.095,0.787,-0.44,-0.086,-0.853,0.646,0.499,0.866,0.278,-0.747,-0.317
-143.0,195.0,328.0,46.0,-20.16,3.09,0.393,0.681,0.44,-0.081,0.007,0.005,0.016,0.039,0.004,0.014,-0.004,-0.009
-143.0,195.0,338.0,45.1,-15.28,-1.93,0.313,0.547,0.353,-0.069,-0.008,-0.016,-0.031,0.011,-0.004,0.007,0.0,-0.006
-143.0,195.0,348.0,44.9,-11.75,-3.51,0.323,0.51,0.304,-0.068,-0.011,-0.017,-0.05,0.009,-0.01,0.008,0.009,-0.004
-143.0,195.0,358.0,44.8,-9.47,-4.0,0.329,0.499,0.3,-0.069,-0.013,-0.017,-0.046,0.016,-0.009,0.007,0.01,-0.005
-143.0,195.0,388.0,44.4,-5.92,-3.76,0.33,0.498,0.281,-0.068,-0.01,-0.011,-0.051,0.014,-0.011,0.007,0.012,-0.004
-123.0,195.0,303.0,42.8,-9.72,15.3,2.72,2.201,1.92,-2.317,-0.651,-7.3,3.766,0.854,3.438,0.383,-1.993,-1.36
-123.0,195.0,305.0,43.4,-8.38,15.5,2.58,2.964,1.82,-2.871,-0.811,-6.85,29.957,1.4,7.536,0.914,-5.828,-1.44
-123.0,195.0,308.0,44.3,-13.83,16.0,2.35,2.029,1.8,-1.711,-0.98,-8.05,2.946,2.03,2.453,1.52,-1.67,-1.72
-123.0,195.0,313.0,46.4,-19.09,11.9,1.43,1.497,1.2,-0.936,-0.374,-3.51,1.549,1.43,1.861,0.926,-1.378,-1.07
-123.0,195.0,318.0,46.3,-20.85,7.22,0.579,0.955,0.58,-0.258,-0.008,-0.111,0.461,0.218,0.557,0.078,-0.446,-0.051
-123.0,195.0,328.0,44.7,-17.73,0.377,0.337,0.57,0.359,-0.069,-0.002,-0.014,-0.03,0.009,-0.012,0.006,0.005,-0.003
-123.0,195.0,338.0,44.2,-13.91,-2.57,0.33,0.529,0.319,-0.069,-0.01,-0.006,-0.04,0.015,-0.014,0.007,0.007,-0.005
-123.0,195.0,348.0,44.1,-11.25,-3.67,0.318,0.497,0.298,-0.065,-0.011,-0.004,-0.023,0.009,-0.01,0.005,0.001,-0.003
-123.0,195.0,358.0,44.0,-9.35,-4.1,0.319,0.494,0.291,-0.07,-0.012,-0.008,-0.038,0.017,-0.013,0.007,0.006,-0.005
-123.0,195.0,388.0,43.9,-6.14,-3.98,0.304,0.506,0.28,-0.068,-0.01,-0.01,-0.045,0.012,-0.001,0.008,0.011,-0.005
-103.0,195.0,293.0,41.5,-7.54,15.2,2.83,2.072,2.02,-2.411,-0.917,-8.77,1.542,0.866,3.348,0.831,-1.56,-1.56
-103.0,195.0,295.0,42.2,-8.26,15.0,2.71,2.218,1.91,-2.41,-0.771,-8.17,3.316,0.874,3.489,0.908,-1.959,-1.77
-103.0,195.0,298.0,43.2,-9.92,14.7,2.49,2.259,1.8,-2.208,-0.768,-7.56,5.544,1.29,3.434,1.01,-2.259,-1.81
-103.0,195.0,303.0,45.0,-14.79,13.6,1.97,1.975,1.49,-1.59,-0.574,-5.86,3.107,1.49,2.639,1.1,-1.969,-1.58
-103.0,195.0,308.0,46.2,-18.83,10.7,1.11,1.31,0.932,-0.726,-0.193,-2.02,1.298,0.727,1.537,0.583,-1.211,-0.633
-103.0,195.0,318.0,44.7,-19.22,3.47,0.358,0.599,0.377,-0.072,0.001,-0.011,-0.006,0.019,-0.01,0.007,-0.01,-0.002
-103.0,195.0,328.0,43.8,-15.82,-0.968,0.307,0.542,0.312,-0.061,-0.008,-0.004,-0.041,0.012,-0.012,0.007,0.001,-0.005
-103.0,195.0,338.0,43.5,-12.84,-2.91,0.288,0.512,0.295,-0.06,-0.011,-0.01,-0.016,0.016,-0.005,0.006,0.002,-0.004
-103.0,195.0,348.0,43.5,-10.72,-3.75,0.292,0.511,0.294,-0.066,-0.011,-0.013,-0.023,0.011,-0.009,0.008,0.001,-0.005
-103.0,195.0,358.0,43.4,-9.15,-4.11,0.293,0.498,0.286,-0.062,-0.013,-0.016,-0.023,0.012,-0.004,0.006,0.007,-0.005
-103.0,195.0,388.0,43.4,-6.21,-4.12,0.321,0.509,0.277,-0.067,-0.01,0.357,-0.043,0.011,-0.006,-0.021,0.005,-0.001
-83.0,195.0,283.0,40.2,-5.57,14.3,2.93,2.097,2.02,-2.672,-0.676,-8.93,1.702,0.223,3.169,0.343,-2.03,-1.36
-83.0,195.0,285.0,40.7,-7.43,14.1,2.83,2.095,1.98,-2.511,-0.602,-9.08,2.486,0.548,3.568,0.929,-2.273,-1.65
-83.0,195.0,288.0,41.6,-7.38,13.6,2.66,2.292,1.87,-2.583,-0.594,-7.74,5.969,0.976,4.175,0.476,-3.297,-1.43
-83.0,195.0,293.0,43.3,-10.56,13.9,2.29,2.177,1.65,-2.018,-0.737,-7.71,5.726,1.45,3.685,1.23,-2.619,-1.64
-83.0,195.0,298.0,44.8,-15.47,12.6,1.72,1.651,1.31,-1.198,-0.489,-5.19,2.201,1.44,2.234,1.18,-1.786,-1.43
-83.0,195.0,308.0,44.9,-19.38,6.41,0.43,0.696,0.437,-0.105,0.0,-0.007,0.182,0.043,0.067,0.018,-0.06,-0.002
-83.0,195.0,318.0,43.7,-17.27,1.11,0.308,0.529,0.329,-0.063,-0.004,-0.008,-0.01,0.013,-0.012,0.006,-0.002,-0.003
-83.0,195.0,328.0,43.2,-14.34,-1.67,0.309,0.53,0.317,-0.068,-0.013,-0.014,-0.032,0.009,-0.011,0.008,0.001,-0.005
-83.0,195.0,338.0,43.0,-11.96,-3.05,0.318,0.505,0.279,-0.066,-0.01,-0.018,-0.053,0.012,-0.012,0.008,0.009,-0.005
-83.0,195.0,348.0,42.9,-10.21,-3.72,0.325,0.51,0.287,-0.072,-0.012,-0.021,-0.034,0.009,-0.006,0.007,0.003,-0.004
-83.0,195.0,358.0,42.9,-8.96,-4.04,0.319,0.493,0.288,-0.07,-0.012,-0.016,-0.015,0.011,-0.011,0.007,0.006,-0.004
-83.0,195.0,388.0,43.0,-6.22,-4.11,0.313,0.503,0.278,-0.071,-0.012,-0.017,-0.038,0.012,-0.004,0.006,0.01,-0.003
-63.0,195.0,274.0,39.3,-5.01,13.5,3.0,2.055,2.06,-2.836,-0.597,-9.88,1.738,0.894,3.953,0.572,-2.091,-1.47
-63.0,195.0,276.0,39.7,-5.99,13.5,2.92,2.101,2.03,-2.564,-0.567,-9.77,2.453,0.898,3.338,0.532,-2.009,-1.92
-63.0,195.0,278.0,40.3,-6.5,13.3,2.79,2.168,1.96,-2.596,-0.483,-9.11,3.307,0.748,4.339,0.414,-2.582,-1.64
-63.0,195.0,283.0,41.9,-8.28,13.4,2.45,2.248,1.77,-2.445,-0.622,-7.36,5.78,1.51,4.203,0.792,-3.26,-1.89
-63.0,195.0,288.0,43.9,-12.31,13.0,1.91,1.8,1.45,-1.499,-0.463,-5.76,2.558,1.39,2.789,0.991,-1.983,-1.45
-63.0,195.0,298.0,45.0,-17.9,9.03,0.623,0.969,0.606,-0.265,-0.036,-0.208,0.525,0.215,0.51,0.11,-0.395,-0.09
