zone,x/c,cf
"alpha=10 deg, Dwight 2022",0.0,0.030537327581673962
"alpha=10 deg, Dwight 2022",0.0,0.030537327581673962
"alpha=10 deg, Dwight 2022",1.3469169239250276e-06,0.030149776756455693
"alpha=10 deg, Dwight 2022",1.3469169239250276e-06,0.030149776756455693
"alpha=10 deg, Dwight 2022",5.818606394707828e-06,0.03019813638780531
"alpha=10 deg, Dwight 2022",5.818606394707828e-06,0.03019813638780531
"alpha=10 deg, Dwight 2022",1.4150627342888643e-05,0.030714930183261862
"alpha=10 deg, Dwight 2022",1.4150627342888643e-05,0.030714930183261862
"alpha=10 deg, Dwight 2022",2.7212759647188533e-05,0.03123089336660388
"alpha=10 deg, Dwight 2022",2.7212759647188533e-05,0.03123089336660388
"alpha=10 deg, Dwight 2022",4.6029342337375965e-05,0.03163355080892319
"alpha=10 deg, Dwight 2022",4.6029342337375965e-05,0.03163355080892319
"alpha=10 deg, Dwight 2022",7.180327453142227e-05,0.032010808198345536
"alpha=10 deg, Dwight 2022",7.180327453142227e-05,0.032010808198345536
"alpha=10 deg, Dwight 2022",0.000105940407938258,0.032397355653289044
"alpha=10 deg, Dwight 2022",0.000105940407938258,0.032397355653289044
"alpha=10 deg, Dwight 2022",0.00015007861631753032,0.03277719292769607
"alpha=10 deg, Dwight 2022",0.00015007861631753032,0.03277719292769607
"alpha=10 deg, Dwight 2022",0.00020611403528114663,0.033126739382838714
"alpha=10 deg, Dwight 2022",0.00020611403528114663,0.033126739382838714
"alpha=10 deg, Dwight 2022",0.0002762360143329658,0.03339669950773097
"alpha=10 deg, Dwight 2022",0.0002762360143329658,0.03339669950773097
"alpha=10 deg, Dwight 2022",0.0003629542998897464,0.033560049455892735
"alpha=10 deg, Dwight 2022",0.0003629542998897464,0.033560049455892735
"alpha=10 deg, Dwight 2022",0.00046912844542447625,0.03364630371998785
"alpha=10 deg, Dwight 2022",0.00046912844542447625,0.03364630371998785
"alpha=10 deg, Dwight 2022",0.000597992282249173,0.03367702183483072
"alpha=10 deg, Dwight 2022",0.000597992282249173,0.03367702183483072
"alpha=10 deg, Dwight 2022",0.0007531893054024256,0.03364874584464345
"alpha=10 deg, Dwight 2022",0.0007531893054024256,0.03364874584464345
"alpha=10 deg, Dwight 2022",0.0009387642227122381,0.033546950611241674
"alpha=10 deg, Dwight 2022",0.0009387642227122381,0.033546950611241674
"alpha=10 deg, Dwight 2022",0.0011591931091510473,0.0333545695777807
"alpha=10 deg, Dwight 2022",0.0011591931091510473,0.0333545695777807
"alpha=10 deg, Dwight 2022",0.0014193778941565599,0.03305901562487204
"alpha=10 deg, Dwight 2022",0.0014193778941565599,0.03305901562487204
"alpha=10 deg, Dwight 2022",0.0017246230429988974,0.032655381011735984
"alpha=10 deg, Dwight 2022",0.0017246230429988974,0.032655381011735984
"alpha=10 deg, Dwight 2022",0.0020806233186328555,0.03214359521842586
"alpha=10 deg, Dwight 2022",0.0020806233186328555,0.03214359521842586
"alpha=10 deg, Dwight 2022",0.0024934342337375962,0.03152655746107429
"alpha=10 deg, Dwight 2022",0.0024934342337375962,0.03152655746107429
"alpha=10 deg, Dwight 2022",0.0029694416207276734,0.030810407995603088
"alpha=10 deg, Dwight 2022",0.0029694416207276734,0.030810407995603088
"alpha=10 deg, Dwight 2022",0.0035153198456449835,0.030000353639871108
"alpha=10 deg, Dwight 2022",0.0035153198456449835,0.030000353639871108
"alpha=10 deg, Dwight 2022",0.004137967089305403,0.029075250084981578
"alpha=10 deg, Dwight 2022",0.004137967089305403,0.029075250084981578
"alpha=10 deg, Dwight 2022",0.004844550275633958,0.02805300015804611
"alpha=10 deg, Dwight 2022",0.004844550275633958,0.02805300015804611
"alpha=10 deg, Dwight 2022",0.005642485115766262,0.026989112443351407
"alpha=10 deg, Dwight 2022",0.005642485115766262,0.026989112443351407
"alpha=10 deg, Dwight 2022",0.006539262403528114,0.025907670411621408
"alpha=10 deg, Dwight 2022",0.006539262403528114,0.025907670411621408
"alpha=10 deg, Dwight 2022",0.007542786659316428,0.024815425047169888
"alpha=10 deg, Dwight 2022",0.007542786659316428,0.024815425047169888
"alpha=10 deg, Dwight 2022",0.00866097794928335,0.0237134072656218
"alpha=10 deg, Dwight 2022",0.00866097794928335,0.0237134072656218
"alpha=10 deg, Dwight 2022",0.009902279492833517,0.02260515521755382
"alpha=10 deg, Dwight 2022",0.009902279492833517,0.02260515521755382
"alpha=10 deg, Dwight 2022",0.011275160418963617,0.02149965250184954
"alpha=10 deg, Dwight 2022",0.011275160418963617,0.02149965250184954
"alpha=10 deg, Dwight 2022",0.0127887177508269,0.02042117234680359
"alpha=10 deg, Dwight 2022",0.0127887177508269,0.02042117234680359
"alpha=10 deg, Dwight 2022",0.014452201764057333,0.019389560434489403
"alpha=10 deg, Dwight 2022",0.014452201764057333,0.019389560434489403
"alpha=10 deg, Dwight 2022",0.0162755170893054,0.01840850651360041
"alpha=10 deg, Dwight 2022",0.0162755170893054,0.01840850651360041
"alpha=10 deg, Dwight 2022",0.018268856670341786,0.017481178309531446
"alpha=10 deg, Dwight 2022",0.018268856670341786,0.017481178309531446
"alpha=10 deg, Dwight 2022",0.020443036934950386,0.016610157813920768
"alpha=10 deg, Dwight 2022",0.020443036934950386,0.016610157813920768
"alpha=10 deg, Dwight 2022",0.022809438257993385,0.01579307756223603
"alpha=10 deg, Dwight 2022",0.022809438257993385,0.01579307756223603
"alpha=10 deg, Dwight 2022",0.025379999448732083,0.015028463099482248
"alpha=10 deg, Dwight 2022",0.025379999448732083,0.015028463099482248
"alpha=10 deg, Dwight 2022",0.028167238699007717,0.014315451818039913
"alpha=10 deg, Dwight 2022",0.028167238699007717,0.014315451818039913
"alpha=10 deg, Dwight 2022",0.031184335170893054,0.01365180485235823
"alpha=10 deg, Dwight 2022",0.031184335170893054,0.01365180485235823
"alpha=10 deg, Dwight 2022",0.03444508599779493,0.013033682536673561
"alpha=10 deg, Dwight 2022",0.03444508599779493,0.013033682536673561
"alpha=10 deg, Dwight 2022",0.03796391179713341,0.012457045396838229
"alpha=10 deg, Dwight 2022",0.03796391179713341,0.012457045396838229
"alpha=10 deg, Dwight 2022",0.04175587651598677,0.01191921282868467
