zone,x/c,cp
"alpha=10 deg, Dwight 2022",1.0,0.17955737274760408
"alpha=10 deg, Dwight 2022",0.9979658213891952,0.1732598623790334
"alpha=10 deg, Dwight 2022",0.9979658213891952,0.1732598623790334
"alpha=10 deg, Dwight 2022",1.0,0.17955737274760408
"alpha=10 deg, Dwight 2022",0.9957820837927233,0.16971947097780182
"alpha=10 deg, Dwight 2022",0.9957820837927233,0.16971947097780182
"alpha=10 deg, Dwight 2022",0.9934384785005512,0.16551486455261405
"alpha=10 deg, Dwight 2022",0.9934384785005512,0.16551486455261405
"alpha=10 deg, Dwight 2022",0.9909241455347298,0.16142931553738074
"alpha=10 deg, Dwight 2022",0.9909241455347298,0.16142931553738074
"alpha=10 deg, Dwight 2022",0.9882276736493936,0.15746282393210198
"alpha=10 deg, Dwight 2022",0.9882276736493936,0.15746282393210198
"alpha=10 deg, Dwight 2022",0.9853368798235943,0.15364045445466765
"alpha=10 deg, Dwight 2022",0.9853368798235943,0.15364045445466765
"alpha=10 deg, Dwight 2022",0.9822391951488423,0.1499559409255916
"alpha=10 deg, Dwight 2022",0.9822391951488423,0.1499559409255916
"alpha=10 deg, Dwight 2022",0.9789211135611907,0.14640301716541507
"alpha=10 deg, Dwight 2022",0.9789211135611907,0.14640301716541507
"alpha=10 deg, Dwight 2022",0.9753687982359427,0.142969150815193
"alpha=10 deg, Dwight 2022",0.9753687982359427,0.142969150815193
"alpha=10 deg, Dwight 2022",0.9715675303197353,0.13965434187491635
"alpha=10 deg, Dwight 2022",0.9715675303197353,0.13965434187491635
"alpha=10 deg, Dwight 2022",0.9675021499448732,0.13645232416512623
"alpha=10 deg, Dwight 2022",0.9675021499448732,0.13645232416512623
"alpha=10 deg, Dwight 2022",0.9631568357221609,0.13336309768582272
"alpha=10 deg, Dwight 2022",0.9631568357221609,0.13336309768582272
"alpha=10 deg, Dwight 2022",0.9585151598676956,0.13038039625752873
"alpha=10 deg, Dwight 2022",0.9585151598676956,0.13038039625752873
"alpha=10 deg, Dwight 2022",0.9535602535832415,0.1275042198802351
"alpha=10 deg, Dwight 2022",0.9535602535832415,0.1275042198802351
"alpha=10 deg, Dwight 2022",0.948274696802646,0.12474710091290514
"alpha=10 deg, Dwight 2022",0.948274696802646,0.12474710091290514
"alpha=10 deg, Dwight 2022",0.9426406835722161,0.12210277317605261
"alpha=10 deg, Dwight 2022",0.9426406835722161,0.12210277317605261
"alpha=10 deg, Dwight 2022",0.9366401874310915,0.1195775028491546
"alpha=10 deg, Dwight 2022",0.9366401874310915,0.1195775028491546
"alpha=10 deg, Dwight 2022",0.930254796030871,0.11717755611167902
"alpha=10 deg, Dwight 2022",0.930254796030871,0.11717755611167902
"alpha=10 deg, Dwight 2022",0.9234660418963616,0.11490919914310291
"alpha=10 deg, Dwight 2022",0.9234660418963616,0.11490919914310291
"alpha=10 deg, Dwight 2022",0.916255512679162,0.11277243194341716
"alpha=10 deg, Dwight 2022",0.916255512679162,0.11277243194341716
"alpha=10 deg, Dwight 2022",0.9086049062844542,0.11077978687156675
"alpha=10 deg, Dwight 2022",0.9086049062844542,0.11077978687156675
"alpha=10 deg, Dwight 2022",0.9004962513781698,0.1089312639275608
"alpha=10 deg, Dwight 2022",0.9004962513781698,0.1089312639275608
"alpha=10 deg, Dwight 2022",0.8919121830209481,0.1072456616498031
"alpha=10 deg, Dwight 2022",0.8919121830209481,0.1072456616498031
"alpha=10 deg, Dwight 2022",0.8828360529217198,0.10571671385883484
"alpha=10 deg, Dwight 2022",0.8828360529217198,0.10571671385883484
"alpha=10 deg, Dwight 2022",0.8732520396912898,0.1043632190930507
"alpha=10 deg, Dwight 2022",0.8732520396912898,0.1043632190930507
