0.546 	-0.21 	2.01598e-05 	-41.7123 	0.0254634 	2.70863e+06 	4.10289e-08
0.546 	-0.21 	6.04795e-05 	-41.7128 	0.239439 	828144 	9.29421e-07
0.546 	-0.21 	0.000100799 	-41.7142 	1.00063 	213732 	7.34248e-06
0.546 	-0.21 	0.000141119 	-41.7174 	2.20031 	94808.9 	2.79272e-05
0.546 	-0.21 	0.000181438 	-41.7233 	3.35738 	56135.2 	6.48016e-05
0.546 	-0.21 	0.000221758 	-41.7318 	4.32434 	39392.5 	0.000114237
0.546 	-0.21 	0.000262757 	-41.7427 	5.15108 	30317.2 	0.000174181
0.546 	-0.21 	0.00030808 	-41.7563 	5.928 	24328.6 	0.000248429
0.546 	-0.21 	0.000361505 	-41.7738 	6.71027 	19906.8 	0.00034269
0.546 	-0.21 	0.000424474 	-41.7961 	7.51055 	16514.5 	0.000461343
0.546 	-0.21 	0.000498276 	-41.8242 	8.3314 	13863 	0.000608572
0.546 	-0.21 	0.000584202 	-41.8588 	9.17376 	11760.6 	0.000788724
0.546 	-0.21 	0.000683475 	-41.9011 	10.0373 	10074.6 	0.00100609
0.546 	-0.21 	0.000797155 	-41.9517 	10.9202 	8710.54 	0.00126453
0.546 	-0.21 	0.000926014 	-42.0115 	11.8194 	7599.63 	0.00156706
0.546 	-0.21 	0.00107041 	-42.0808 	12.7302 	6690.5 	0.00191528
0.546 	-0.21 	0.00123015 	-42.1597 	13.6468 	5944 	0.00230891
0.546 	-0.21 	0.00140437 	-42.2477 	14.5619 	5329.78 	0.0027453
0.546 	-0.21 	0.00159146 	-42.3439 	15.4674 	4823.88 	0.00321928
0.546 	-0.21 	0.00178907 	-42.4468 	16.3546 	4407.09 	0.00372316
0.546 	-0.21 	0.00199417 	-42.5545 	17.2143 	4063.85 	0.00424717
0.546 	-0.21 	0.00220321 	-42.6649 	18.04 	3780.86 	0.00478155
0.546 	-0.21 	0.00241613 	-42.7781 	18.8388 	3543.58 	0.00532579
0.546 	-0.21 	0.00263988 	-42.8966 	19.6349 	3337.35 	0.00589272
0.546 	-0.21 	0.0028802 	-43.0227 	20.4464 	3153.86 	0.00649232
0.546 	-0.21 	0.00313824 	-43.1568 	21.2772 	2989.99 	0.00712543
0.546 	-0.21 	0.00341526 	-43.2987 	22.1291 	2843.72 	0.00779087
0.546 	-0.21 	0.00371257 	-43.4484 	23.0039 	2713.38 	0.00848681
