"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,-3.86058036e-05,4.48549481e-06,6.04561720e-07,1.09274481e-09,2.31912363e-09,7.51573770e-08,-6.40668663e-09,5.72877579e-07,5.89879211e-07
1.00000000e-04,1.41661547e-03,-1.81610504e-06,3.78723004e-05,-6.37048423e-08,1.59497879e-08,-4.14138827e-06,-1.35463208e-07,4.21199379e-05,4.00040940e-05
1.04712855e-04,1.49637921e-03,-2.22528871e-06,4.22724130e-05,-8.87637031e-08,1.95653754e-08,-4.57173430e-06,-1.43269686e-07,4.71241126e-05,4.47080455e-05
1.09647821e-04,1.57990210e-03,-2.65375661e-06,4.68798965e-05,-1.15003552e-07,2.33513603e-08,-5.02236191e-06,-1.51444071e-07,5.23641269e-05,4.96336874e-05
1.14815364e-04,1.66736131e-03,-3.10241758e-06,5.17045241e-05,-1.42480047e-07,2.73157731e-08,-5.49422695e-06,-1.60003703e-07,5.78510955e-05,5.47914677e-05
1.20226446e-04,1.75894234e-03,-3.57222330e-06,5.67565294e-05,-1.71251469e-07,3.14670230e-08,-5.98833031e-06,-1.68966739e-07,6.35966570e-05,6.01923267e-05
1.25892544e-04,1.85483945e-03,-4.06417028e-06,6.20466284e-05,-2.01378847e-07,3.58139154e-08,-6.50572004e-06,-1.78352189e-07,6.96129985e-05,6.58477204e-05
1.31825678e-04,1.95525606e-03,-4.57930201e-06,6.75860421e-05,-2.32926084e-07,4.03656704e-08,-7.04749361e-06,-1.88179962e-07,7.59128814e-05,7.17696446e-05
1.38038431e-04,2.06040515e-03,-5.11871115e-06,7.33865204e-05,-2.65960097e-07,4.51319431e-08,-7.61480017e-06,-1.98470904e-07,8.25096688e-05,7.79706606e-05
1.44543983e-04,2.17050977e-03,-5.68354187e-06,7.94603668e-05,-3.00550956e-07,5.01228433e-08,-8.20884308e-06,-2.09246843e-07,8.94173531e-05,8.44639214e-05
1.51356132e-04,2.28580346e-03,-6.27499224e-06,8.58204648e-05,-3.36772031e-07,5.53489574e-08,-8.83088237e-06,-2.20530636e-07,9.66505867e-05,9.12632002e-05
1.58489327e-04,2.40653077e-03,-6.89431681e-06,9.24803051e-05,-3.74700153e-07,6.08213707e-08,-9.48223747e-06,-2.32346218e-07,1.04224712e-04,9.83829192e-05
