"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,3.07827362e-04,2.32709942e-06,6.87238214e-06,-5.70661073e-08,1.36925300e-08,1.09861520e-06,-2.95284577e-08,3.47512125e-06,5.18059796e-06
1.00000000e-04,-1.51689032e-03,7.82867210e-06,2.25077468e-04,-4.03520798e-07,8.42095115e-08,9.79420907e-07,-3.46596060e-07,1.21200289e-04,1.73180983e-04
1.04712855e-04,-1.60240222e-03,8.05528316e-06,2.50045845e-04,-4.32524343e-07,1.00791292e-07,1.11034157e-06,-3.69241564e-07,1.34465943e-04,1.92306290e-04
1.09647821e-04,-1.69194417e-03,8.29257407e-06,2.76190946e-04,-4.62894783e-07,1.18154548e-07,1.24743233e-06,-3.92954317e-07,1.48356787e-04,2.12332944e-04
1.14815364e-04,-1.78570610e-03,8.54104816e-06,3.03568227e-04,-4.94696539e-07,1.36336109e-07,1.39098398e-06,-4.17784619e-07,1.62902287e-04,2.33303425e-04
1.20226446e-04,-1.88388690e-03,8.80123247e-06,3.32235760e-04,-5.27997064e-07,1.55374541e-07,1.54130101e-06,-4.43785136e-07,1.78133296e-04,2.55262215e-04
1.25892544e-04,-1.98669481e-03,9.07367889e-06,3.62254353e-04,-5.62866996e-07,1.75310226e-07,1.69870227e-06,-4.71011021e-07,1.94082119e-04,2.78255891e-04
1.31825678e-04,-2.09434791e-03,9.35896532e-06,3.93687678e-04,-5.99380297e-07,1.96185452e-07,1.86352162e-06,-4.99520022e-07,2.10782588e-04,3.02333226e-04
1.38038431e-04,-2.20707455e-03,9.65769688e-06,4.26602411e-04,-6.37614417e-07,2.18044496e-07,2.03610867e-06,-5.29372611e-07,2.28270126e-04,3.27545290e-04
1.44543983e-04,-2.32511383e-03,9.97050724e-06,4.61068367e-04,-6.77650456e-07,2.40933726e-07,2.21682950e-06,-5.60632109e-07,2.46581825e-04,3.53945563e-04
1.51356132e-04,-2.44871613e-03,1.02980599e-05,4.97158654e-04,-7.19573335e-07,2.64901692e-07,2.40606744e-06,-5.93364822e-07,2.65756529e-04,3.81590043e-04
1.58489327e-04,-2.57814363e-03,1.06410496e-05,5.34949824e-04,-7.63471979e-07,2.89999234e-07,2.60422388e-06,-6.27640181e-07,2.85834909e-04,4.10537366e-04
1.65958700e-04,-2.71367086e-03,1.10002040e-05,5.74522037e-04,-8.09439502e-07,3.16279586e-07,2.81171916e-06,-6.63530888e-07,3.06859554e-04,4.40848935e-04
1.73780093e-04,-2.85558529e-03,1.13762847e-05,6.15959231e-04,-8.57573409e-07,3.43798494e-07,3.02899339e-06,-7.01113072e-07,3.28875060e-04,4.72589045e-04
