"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,1.17051552e-05,7.33118206e-07,2.11439716e-06,6.23041149e-08,1.52576867e-08,-3.19841729e-07,-2.39842371e-08,8.26105768e-07,1.47788031e-06
1.00000000e-04,-4.56423174e-02,-2.37104926e-05,3.11793328e-04,1.89727046e-07,3.72553302e-08,6.53594428e-06,9.89385510e-08,7.18318766e-05,1.91831230e-04
1.04712855e-04,-4.76753687e-02,-2.67108660e-05,3.47286113e-04,2.21549997e-07,4.37525844e-08,7.39210554e-06,1.10593621e-07,7.99967665e-05,2.13663316e-04
1.09647821e-04,-4.98042348e-02,-2.98526426e-05,3.84451620e-04,2.54872718e-07,5.05560447e-08,8.28861643e-06,1.22797978e-07,8.85464559e-05,2.36524316e-04
1.14815364e-04,-5.20334313e-02,-3.31424866e-05,4.23368685e-04,2.89765891e-07,5.76801422e-08,9.22737859e-06,1.35577509e-07,9.74990797e-05,2.60462722e-04
1.20226446e-04,-5.43676866e-02,-3.65873762e-05,4.64119854e-04,3.26303528e-07,6.51399882e-08,1.02103832e-05,1.48959320e-07,1.06873628e-04,2.85529311e-04
1.25892544e-04,-5.68119519e-02,-4.01946185e-05,5.06791568e-04,3.64563131e-07,7.29514059e-08,1.12397155e-05,1.62971797e-07,1.16689985e-04,3.11777252e-04
1.31825678e-04,-5.93714120e-02,-4.39718649e-05,5.51474337e-04,4.04625854e-07,8.11309645e-08,1.23175587e-05,1.77644662e-07,1.26968972e-04,3.39262220e-04
1.38038431e-04,-6.20514957e-02,-4.79271274e-05,5.98262940e-04,4.46576675e-07,8.96960138e-08,1.34461991e-05,1.93009037e-07,1.37732394e-04,3.68042515e-04
1.44543983e-04,-6.48578878e-02,-5.20687957e-05,6.47256623e-04,4.90504577e-07,9.86647214e-08,1.46280306e-05,2.09097513e-07,1.49003080e-04,3.98179184e-04
1.51356132e-04,-6.77965412e-02,-5.64056549e-05,6.98559307e-04,5.36502738e-07,1.08056111e-07,1.58655602e-05,2.25944216e-07,1.60804937e-04,4.29736150e-04
1.58489327e-04,-7.08820432e-02,-6.08449359e-05,7.52486844e-04,5.85828814e-07,1.17457337e-07,1.71850223e-05,2.35949522e-07,1.73174642e-04,4.62889471e-04
1.65958700e-04,-7.41546467e-02,-6.49846290e-05,8.09988962e-04,6.43268212e-07,1.25142190e-07,1.86844768e-05,2.08327139e-07,1.86185411e-04,4.98149758e-04
1.73780093e-04,-7.75814833e-02,-6.93194199e-05,8.70201072e-04,7.03414647e-07,1.33189219e-07,2.02545983e-05,1.79402953e-07,1.99809358e-04,5.35071810e-04
1.81970098e-04,-8.11698217e-02,-7.38585032e-05,9.33250892e-04,7.66395695e-07,1.41615492e-07,2.18987175e-05,1.49115612e-07,2.14075383e-04,5.73733945e-04
1.90546085e-04,-8.48355751e-02,-8.00524290e-05,1.00865691e-03,8.47490121e-07,1.62477216e-07,2.39404732e-05,1.42073243e-07,2.31269058e-04,6.20044224e-04
1.99526246e-04,-8.84860852e-02,-8.94925271e-05,1.10685787e-03,9.63457911e-07,2.09003802e-07,2.67348473e-05,1.85283693e-07,2.53897019e-04,6.80481948e-04
2.08929630e-04,-9.23086385e-02,-9.93775233e-05,1.20968690e-03,1.08489110e-06,2.57723119e-07,2.96609162e-05,2.30530588e-07,2.77591404e-04,7.43768015e-04
2.18776181e-04,-9.63113432e-02,-1.09728385e-04,1.31736212e-03,1.21204725e-06,3.08738506e-07,3.27248865e-05,2.77909904e-07,3.02402470e-04,8.10036662e-04
2.29086786e-04,-1.00502690e-01,-1.20567068e-04,1.43011191e-03,1.34519609e-06,3.62158175e-07,3.59332572e-05,3.27522139e-07,3.28382846e-04,8.79428455e-04
2.39883315e-04,-1.04891568e-01,-1.31916562e-04,1.54817543e-03,1.48462004e-06,4.18095436e-07,3.92928339e-05,3.79472526e-07,3.55587640e-04,9.52090583e-04
2.51188668e-04,-1.09487288e-01,-1.43800942e-04,1.67180312e-03,1.63061484e-06,4.76668939e-07,4.28107425e-05,4.33871260e-07,3.84074556e-04,1.02817717e-03
2.63026827e-04,-1.14381502e-01,-1.54597409e-04,1.80500556e-03,1.86533827e-06,5.22648796e-07,4.68269029e-05,3.27965980e-07,4.13868480e-04,1.10969835e-03
2.75422901e-04,-1.19506501e-01,-1.65900141e-04,1.94449146e-03,2.11125084e-06,5.70771800e-07,5.10328549e-05,2.16816898e-07,4.45066493e-04,1.19506436e-03
2.88403183e-04,-1.24654468e-01,-1.81644024e-04,2.10318163e-03,2.41932477e-06,6.85813175e-07,5.60660706e-05,2.15932060e-07,4.80269576e-04,1.29206851e-03
3.01995208e-04,-1.29834865e-01,-2.01888529e-04,2.28149694e-03,2.79055090e-06,8.68448244e-07,6.19414225e-05,3.26080145e-07,5.19569308e-04,1.40096735e-03
3.16227806e-04,-1.35259406e-01,-2.23087127e-04,2.46821600e-03,3.17927238e-06,1.05969064e-06,6.80936713e-05,4.41419350e-07,5.60721180e-04,1.51499843e-03
3.31131165e-04,-1.40939598e-01,-2.45284785e-04,2.66373485e-03,3.58631374e-06,1.25994601e-06,7.45358667e-05,5.62194325e-07,6.03812481e-04,1.63440364e-03
3.46736897e-04,-1.46887489e-01,-2.68528587e-04,2.86846823e-03,4.01253837e-06,1.46963913e-06,8.12816735e-05,6.88661250e-07,6.48934611e-04,1.75943624e-03
