"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,-7.01873885e-06,5.00854311e-07,3.62179184e-07,5.77231892e-09,2.33698345e-09,2.23551869e-08,-1.08214631e-09,3.51347044e-07,3.57931606e-07
1.00000000e-04,-3.44958074e-02,-3.55757538e-05,2.02020430e-04,8.05319363e-08,1.88830704e-08,9.40940844e-06,8.44696295e-09,1.93775672e-05,1.10708440e-04
1.04712855e-04,-3.60009330e-02,-4.00755918e-05,2.25003338e-04,9.94844038e-08,2.28865871e-08,1.04417103e-05,1.85673358e-08,2.16662219e-05,1.23346223e-04
1.09647821e-04,-3.75769931e-02,-4.47875006e-05,2.49069397e-04,1.19330074e-07,2.70787837e-08,1.15226630e-05,2.91646672e-08,2.40627375e-05,1.36579607e-04
1.14815364e-04,-3.92273306e-02,-4.97214749e-05,2.74269655e-04,1.40111041e-07,3.14685525e-08,1.26545595e-05,4.02614355e-08,2.65721974e-05,1.50436660e-04
1.20226446e-04,-4.09554461e-02,-5.48879802e-05,3.00657564e-04,1.61871386e-07,3.60652048e-08,1.38398006e-05,5.18811785e-08,2.91999245e-05,1.64946777e-04
1.25892544e-04,-4.27650052e-02,-6.02979755e-05,3.28289098e-04,1.84657264e-07,4.08784906e-08,1.50809004e-05,6.40485431e-08,3.19514926e-05,1.80140735e-04
1.31825678e-04,-4.46858406e-02,-6.57593786e-05,3.57252245e-04,2.09443505e-07,4.57996350e-08,1.64192040e-05,7.24523012e-08,3.47730848e-05,1.96035565e-04
1.38038431e-04,-4.67073374e-02,-7.13988024e-05,3.87591839e-04,2.35759129e-07,5.09063135e-08,1.78356740e-05,7.95610997e-08,3.77043957e-05,2.12673570e-04
1.44543983e-04,-4.88241045e-02,-7.73040041e-05,4.19361293e-04,2.63314971e-07,5.62536624e-08,1.93189001e-05,8.70049254e-08,4.07738550e-05,2.30095701e-04
1.51356132e-04,-5.10406318e-02,-8.34875094e-05,4.52627996e-04,2.92169479e-07,6.18530241e-08,2.08720286e-05,9.47995680e-08,4.39879734e-05,2.48338911e-04
1.58489327e-04,-5.33616208e-02,-8.99624344e-05,4.87462511e-04,3.22383858e-07,6.77162756e-08,2.24983537e-05,1.02961561e-07,4.73535687e-05,2.67441898e-04
1.65958700e-04,-5.57919946e-02,-9.67425132e-05,5.23938726e-04,3.54022197e-07,7.38558537e-08,2.42013252e-05,1.11508216e-07,5.08777795e-05,2.87445181e-04
1.73780093e-04,-5.83369085e-02,-1.03842127e-04,5.62134012e-04,3.87151606e-07,8.02847813e-08,2.59845553e-05,1.20457664e-07,5.45680813e-05,3.08391189e-04
1.81970098e-04,-6.10017604e-02,-1.11276336e-04,6.02129387e-04,4.21842356e-07,8.70166949e-08,2.78518264e-05,1.29828885e-07,5.84323017e-05,3.30324353e-04
1.90546085e-04,-6.37062509e-02,-1.21032531e-04,6.50207170e-04,4.73921337e-07,1.01178245e-07,3.00091966e-05,1.57759903e-07,6.31255140e-05,3.56716931e-04
1.99526246e-04,-6.63619761e-02,-1.35290858e-04,7.13257227e-04,5.60753061e-07,1.30589401e-07,3.26825921e-05,2.24154129e-07,6.93661743e-05,3.91376995e-04
2.08929630e-04,-6.91428618e-02,-1.50221158e-04,7.79278742e-04,6.51677038e-07,1.61386662e-07,3.54819809e-05,2.93677419e-07,7.59009479e-05,4.27670539e-04
2.18776181e-04,-7.20548067e-02,-1.65855102e-04,8.48411756e-04,7.46886131e-07,1.93635353e-07,3.84133008e-05,3.66477241e-07,8.27436960e-05,4.65674544e-04
2.29086786e-04,-7.51527814e-02,-1.81451653e-04,9.20934666e-04,8.58447205e-07,2.27037033e-07,4.15726849e-05,4.24880327e-07,8.97740476e-05,5.05467875e-04
2.39883315e-04,-7.84143898e-02,-1.97503510e-04,9.96923082e-04,9.79553062e-07,2.61880335e-07,4.49134546e-05,4.79594309e-07,9.70869923e-05,5.47135977e-04
2.51188668e-04,-8.18297130e-02,-2.14311869e-04,1.07649272e-03,1.10636646e-06,2.98365752e-07,4.84116699e-05,5.36886881e-07,1.04744586e-04,5.90767836e-04
2.63026827e-04,-8.54059954e-02,-2.31912380e-04,1.15981236e-03,1.23915639e-06,3.36570673e-07,5.20747511e-05,5.96879569e-07,1.12763070e-04,6.36456002e-04
2.75422901e-04,-8.91508229e-02,-2.50342379e-04,1.24705874e-03,1.37820452e-06,3.76576138e-07,5.59104679e-05,6.59699626e-07,1.21159454e-04,6.84297385e-04
2.88403183e-04,-9.28631279e-02,-2.74965014e-04,1.34668941e-03,1.56482213e-06,4.55606063e-07,5.99636854e-05,7.65394426e-07,1.30324954e-04,7.38734984e-04
3.01995208e-04,-9.65493905e-02,-3.05868033e-04,1.45897089e-03,1.79967870e-06,5.74075851e-07,6.42432458e-05,9.14454444e-07,1.40281501e-04,7.99913233e-04
3.16227806e-04,-1.00409381e-01,-3.38227466e-04,1.57654403e-03,2.04560371e-06,6.98128948e-07,6.87244957e-05,1.07053945e-06,1.50707286e-04,8.63974724e-04
3.31131165e-04,-1.04533441e-01,-3.70484862e-04,1.70255550e-03,2.25200015e-06,8.22756519e-07,7.41561096e-05,1.15995180e-06,1.62637925e-04,9.33008089e-04
3.46736897e-04,-1.08865444e-01,-4.03993498e-04,1.83498470e-03,2.45967238e-06,9.52385998e-07,7.99659135e-05,1.24133895e-06,1.75298398e-04,1.00561774e-03
3.63078106e-04,-1.13401609e-01,-4.39081347e-04,1.97365510e-03,2.67713189e-06,1.08812473e-06,8.60495250e-05,1.32656177e-06,1.88555541e-04,1.08164938e-03
3.80189451e-04,-1.18151556e-01,-4.75822836e-04,2.11886084e-03,2.90483996e-06,1.23026063e-06,9.24198483e-05,1.41580101e-06,2.02437474e-04,1.16126429e-03
3.98107230e-04,-1.22644832e-01,-5.26242504e-04,2.27867199e-03,3.26509435e-06,1.50520966e-06,9.87912089e-05,1.63824817e-06,2.18359603e-04,1.24926840e-03
4.16869448e-04,-1.27233523e-01,-5.81930941e-04,2.44789420e-03,3.67182131e-06,1.82365202e-06,1.05390402e-04,1.90241350e-06,2.35367694e-04,1.34254277e-03
4.36515902e-04,-1.32133843e-01,-6.37913779e-04,2.62724505e-03,4.08613159e-06,2.15252289e-06,1.12569605e-04,2.09545430e-06,2.52815736e-04,1.44110665e-03
4.57088265e-04,-1.37306905e-01,-6.95513854e-04,2.81599217e-03,4.51489065e-06,2.49488618e-06,1.20205040e-04,2.26096714e-06,2.70927603e-04,1.54470733e-03
4.78630174e-04,-1.42723765e-01,-7.55828538e-04,3.01363467e-03,4.96385650e-06,2.85338455e-06,1.28200323e-04,2.43428036e-06,2.89893057e-04,1.65319056e-03
5.01187321e-04,-1.48093151e-01,-8.26923487e-04,3.21874056e-03,5.44421809e-06,3.34081191e-06,1.36064546e-04,2.69383964e-06,3.09965464e-04,1.76602342e-03
5.24807555e-04,-1.53219093e-01,-9.14386005e-04,3.43047700e-03,5.96400536e-06,4.03493330e-06,1.43466555e-04,3.09367077e-06,3.31333377e-04,1.88292266e-03
5.49540976e-04,-1.58697499e-01,-1.00247696e-03,3.65477727e-03,6.49956002e-06,4.75346277e-06,1.51405934e-04,3.39969212e-06,3.53277808e-04,2.00640427e-03
5.75440047e-04,-1.64502735e-01,-1.09255695e-03,3.89124862e-03,7.05495094e-06,5.50071469e-06,1.59836183e-04,3.65040187e-06,3.75989949e-04,2.13636964e-03
6.02559704e-04,-1.70581563e-01,-1.18688229e-03,4.13886453e-03,7.63651664e-06,6.28318350e-06,1.68663738e-04,3.91292721e-06,3.99772481e-04,2.27246010e-03
6.30957471e-04,-1.76130502e-01,-1.30906488e-03,4.37483921e-03,8.34645303e-06,7.47504144e-06,1.76467296e-04,4.27795217e-06,4.23363267e-04,2.40283876e-03
6.60693583e-04,-1.81790656e-01,-1.44067641e-03,4.61970263e-03,8.93295254e-06,8.81943484e-06,1.84658623e-04,4.62001323e-06,4.48045691e-04,2.53828388e-03
6.91831116e-04,-1.87880434e-01,-1.57208049e-03,4.88635707e-03,9.04970438e-06,1.02284316e-05,1.94298687e-04,4.80584955e-06,4.74755592e-04,2.68567054e-03
7.24436116e-04,-1.94257215e-01,-1.70967746e-03,5.16557854e-03,9.17195857e-06,1.17038324e-05,2.04393073e-04,5.00044407e-06,5.02724293e-04,2.84000333e-03
7.58577742e-04,-1.99949940e-01,-1.88213545e-03,5.41760286e-03,9.11473649e-06,1.37816755e-05,2.12898112e-04,5.36185024e-06,5.30363193e-04,2.98087387e-03
