"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,1.82633535e-05,1.91488121e-06,5.56316473e-07,-1.25012445e-08,8.45476890e-09,-3.04275503e-07,9.69320797e-09,1.03652736e-06,8.00649301e-07
1.00000000e-04,1.87976804e-02,2.20248016e-04,1.64118204e-04,1.20229402e-06,1.54448500e-07,-5.76837030e-06,-2.31168332e-07,5.09412739e-05,1.07606963e-04
1.04712855e-04,1.96148852e-02,2.48426340e-04,1.81895693e-04,1.44229666e-06,1.88940269e-07,-6.44736600e-06,-2.55707462e-07,5.64298290e-05,1.19257231e-04
1.09647821e-04,2.04706038e-02,2.77932669e-04,2.00511008e-04,1.69361028e-06,2.25057584e-07,-7.15836177e-06,-2.81403086e-07,6.21770517e-05,1.31456559e-04
1.14815364e-04,2.13666511e-02,3.08829587e-04,2.20003637e-04,1.95676794e-06,2.62877057e-07,-7.90286575e-06,-3.08309707e-07,6.81951327e-05,1.44230823e-04
1.20226446e-04,2.23049278e-02,3.41182633e-04,2.40414925e-04,2.23232784e-06,3.02478907e-07,-8.68245712e-06,-3.36484399e-07,7.44968371e-05,1.57607121e-04
1.25892544e-04,2.32874241e-02,3.75060432e-04,2.61788168e-04,2.52087448e-06,3.43947134e-07,-9.49878951e-06,-3.65986923e-07,8.10955318e-05,1.71613824e-04
1.31825678e-04,2.43162241e-02,4.10534841e-04,2.84168701e-04,2.82301991e-06,3.87369700e-07,-1.03535945e-05,-3.96879858e-07,8.80052133e-05,1.86280642e-04
1.38038431e-04,2.53935099e-02,4.47681109e-04,3.07603996e-04,3.13940501e-06,4.32838708e-07,-1.12486851e-05,-4.29228732e-07,9.52405382e-05,2.01638686e-04
1.44543983e-04,2.66813848e-02,4.83413032e-04,3.36689316e-04,3.43560902e-06,4.86902465e-07,-1.23256928e-05,-4.51856954e-07,1.03978839e-04,2.20577529e-04
1.51356132e-04,2.80424620e-02,5.20581273e-04,3.67501097e-04,3.74302659e-06,5.44019058e-07,-1.34643930e-05,-4.74671620e-07,1.13219893e-04,2.40632505e-04
1.58489327e-04,2.94676847e-02,5.59501199e-04,3.99764993e-04,4.06493230e-06,6.03827473e-07,-1.46567585e-05,-4.98561508e-07,1.22896466e-04,2.61632643e-04
