"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,2.80532580e-05,5.28041347e-06,2.56824070e-06,-1.15406223e-08,4.32012771e-09,-7.16269474e-08,-8.28141767e-09,8.02783331e-07,1.68767208e-06
1.00000000e-04,-5.62109458e-04,7.77760670e-06,5.79149444e-05,-5.46076035e-08,2.59000003e-08,2.95195075e-06,-2.79734012e-08,4.08499240e-05,4.93953842e-05
1.04712855e-04,-6.04038606e-04,8.76074175e-06,6.35069650e-05,-7.01786167e-08,3.03869840e-08,3.54554619e-06,-2.61968885e-08,4.56631900e-05,5.46002710e-05
1.09647821e-04,-6.47943814e-04,9.79021054e-06,6.93625294e-05,-8.64834692e-08,3.50854327e-08,4.16711692e-06,-2.43366513e-08,5.07032983e-05,6.00504566e-05
1.14815364e-04,-6.93918210e-04,1.08681967e-05,7.54940581e-05,-1.03556746e-07,4.00053125e-08,4.81798139e-06,-2.23887439e-08,5.59809396e-05,6.57575015e-05
1.20226446e-04,-7.39039542e-04,1.18970256e-05,8.20225502e-05,-1.21418511e-07,4.52489098e-08,5.48254053e-06,-1.99898478e-08,6.14914976e-05,7.17796484e-05
1.25892544e-04,-7.54187229e-04,1.19117552e-05,9.00066886e-05,-1.39950401e-07,5.17160019e-08,5.99792615e-06,-1.36597452e-08,6.70936920e-05,7.85760483e-05
1.31825678e-04,-7.70048805e-04,1.19271789e-05,9.83671080e-05,-1.59355672e-07,5.84878786e-08,6.53760114e-06,-7.03131394e-09,7.29599096e-05,8.56927527e-05
1.38038431e-04,-7.86657914e-04,1.19433295e-05,1.07121542e-04,-1.79675486e-07,6.55789040e-08,7.10271024e-06,-9.04943252e-11,7.91025936e-05,9.31448571e-05
1.44543983e-04,-8.04049787e-04,1.19602413e-05,1.16288559e-04,-2.00952943e-07,7.30041192e-08,7.69445211e-06,7.17743608e-09,8.55347734e-05,1.00948168e-04
1.51356132e-04,-8.22261313e-04,1.19779502e-05,1.25887605e-04,-2.23233176e-07,8.07792741e-08,8.31408192e-06,1.47878935e-08,9.22700925e-05,1.09119239e-04
1.58489327e-04,-8.41331122e-04,1.19964936e-05,1.35939040e-04,-2.46563444e-07,8.89208608e-08,8.96291398e-06,2.27570208e-08,9.93228375e-05,1.17675399e-04
1.65958700e-04,-8.61299663e-04,1.20159109e-05,1.46464185e-04,-2.70993233e-07,9.74461487e-08,9.64232456e-06,3.11017216e-08,1.06707968e-04,1.26634800e-04
1.73780093e-04,-8.82209293e-04,1.20362434e-05,1.57485364e-04,-2.96574364e-07,1.06373221e-07,1.03537548e-05,3.98396960e-08,1.14441149e-04,1.36016443e-04
1.81970098e-04,-9.04104363e-04,1.20575341e-05,1.69025956e-04,-3.23361096e-07,1.15721013e-07,1.10987137e-05,4.89894785e-08,1.22538784e-04,1.45840231e-04
1.90546085e-04,-9.40730720e-04,1.32424489e-05,1.82359752e-04,-3.57388322e-07,1.31537266e-07,1.22670983e-05,6.86135266e-08,1.32627612e-04,1.57559451e-04
1.99526246e-04,-1.00717053e-03,1.68668788e-05,1.98883363e-04,-4.05275796e-07,1.60457688e-07,1.42866967e-05,1.09753266e-07,1.46491933e-04,1.72767877e-04
2.08929630e-04,-1.07674155e-03,2.06621229e-05,2.16185708e-04,-4.55420138e-07,1.90741088e-07,1.64014759e-05,1.52831861e-07,1.61009659e-04,1.88693054e-04
2.18776181e-04,-1.11717704e-03,2.26414694e-05,2.35850474e-04,-5.31333244e-07,2.25356709e-07,1.82255121e-05,1.96212510e-07,1.76009271e-04,2.06042551e-04
2.29086786e-04,-1.12825133e-03,2.27899512e-05,2.57934236e-04,-6.33401016e-07,2.64405886e-07,1.97589233e-05,2.39970624e-07,1.91520641e-04,2.24859642e-04
2.39883315e-04,-1.13984753e-03,2.29454307e-05,2.81058774e-04,-7.40279095e-07,3.05295395e-07,2.13646019e-05,2.85790994e-07,2.07763040e-04,2.44563555e-04
2.51188668e-04,-1.15199025e-03,2.31082378e-05,3.05273138e-04,-8.52194183e-07,3.48111968e-07,2.30459538e-05,3.33770813e-07,2.24770920e-04,2.65196085e-04
2.63026827e-04,-1.16470524e-03,2.32787176e-05,3.30628690e-04,-9.69383668e-07,3.92946424e-07,2.48065454e-05,3.84011851e-07,2.42580357e-04,2.86800997e-04
2.75422901e-04,-1.17801946e-03,2.34572320e-05,3.57179212e-04,-1.09209612e-06,4.39893862e-07,2.66501112e-05,4.36620676e-07,2.61229126e-04,3.09424116e-04
2.88403183e-04,-1.21590204e-03,2.91325380e-05,3.93190896e-04,-1.22230596e-06,5.35789006e-07,2.74054509e-05,4.81235499e-07,2.85134583e-04,3.39430634e-04
3.01995208e-04,-1.27859306e-03,4.03532884e-05,4.38794898e-04,-1.36030082e-06,6.81147047e-07,2.70663272e-05,5.17881084e-07,3.14376639e-04,3.76926342e-04
3.16227806e-04,-1.31860168e-03,4.71717653e-05,4.82208580e-04,-1.54122983e-06,8.33818033e-07,2.84530814e-05,5.73496243e-07,3.43573772e-04,4.13308085e-04
3.31131165e-04,-1.32758086e-03,4.79806074e-05,5.22096754e-04,-1.77745875e-06,9.94277890e-07,3.21415485e-05,6.53869969e-07,3.72319872e-04,4.47705452e-04
3.46736897e-04,-1.33698322e-03,4.88275691e-05,5.63864799e-04,-2.02482079e-06,1.16229999e-06,3.60038478e-05,7.38031592e-07,4.02420735e-04,4.83723917e-04
3.63078106e-04,-1.34682869e-03,4.97144468e-05,6.07601313e-04,-2.28384064e-06,1.33824073e-06,4.00481717e-05,8.26159631e-07,4.33940208e-04,5.21439881e-04
3.80189451e-04,-1.35713817e-03,5.06431219e-05,6.53399065e-04,-2.55506773e-06,1.52247330e-06,4.42830987e-05,9.18441016e-07,4.66945148e-04,5.60933343e-04
3.98107230e-04,-1.43097795e-03,6.04643604e-05,7.03003936e-04,-2.91732560e-06,1.81830068e-06,4.94182259e-05,1.04909319e-06,5.07016858e-04,6.05919547e-04
4.16869448e-04,-1.50520307e-03,7.11042432e-05,7.56523740e-04,-3.33151669e-06,2.16196803e-06,5.50526060e-05,1.19510465e-06,5.50192488e-04,6.54439098e-04
4.36515902e-04,-1.48949469e-03,7.31527787e-05,8.18560419e-04,-3.84621944e-06,2.56753458e-06,6.13983618e-05,1.35290512e-06,5.94797229e-04,7.07962591e-04
4.57088265e-04,-1.47304600e-03,7.52978587e-05,8.83520797e-04,-4.38517940e-06,2.99221490e-06,6.80431839e-05,1.51814251e-06,6.41504126e-04,7.64008569e-04
4.78630174e-04,-1.45582211e-03,7.75440332e-05,9.51542664e-04,-4.94953975e-06,3.43690978e-06,7.50011669e-05,1.69116729e-06,6.90412252e-04,8.22695913e-04
5.01187321e-04,-1.47455057e-03,8.66766222e-05,1.02286000e-03,-5.52020278e-06,3.98487716e-06,8.26239783e-05,1.93597231e-06,7.44086999e-04,8.85465936e-04
5.24807555e-04,-1.55225349e-03,1.07091857e-04,1.09783024e-03,-6.09047573e-06,4.69552232e-06,9.11688517e-05,2.29478032e-06,8.04316299e-04,9.53421031e-04
5.49540976e-04,-1.49350356e-03,1.11435529e-04,1.18556440e-03,-7.07003713e-06,5.55866328e-06,1.00774412e-04,2.55102354e-06,8.66625774e-04,1.02887442e-03
5.75440047e-04,-1.43198482e-03,1.15983912e-04,1.27743334e-03,-8.09576385e-06,6.46248283e-06,1.10832669e-04,2.81934312e-06,9.31871804e-04,1.10788381e-03
6.02559704e-04,-1.36756680e-03,1.20746654e-04,1.37363193e-03,-9.16983158e-06,7.40889808e-06,1.21364958e-04,3.10030822e-06,1.00019279e-03,1.19061681e-03
6.30957471e-04,-1.37964372e-03,1.51154196e-04,1.49340456e-03,-9.78752337e-06,8.80412205e-06,1.22790757e-04,3.30194519e-06,1.08332446e-03,1.29276657e-03
6.60693583e-04,-1.34639015e-03,1.69739141e-04,1.60935004e-03,-1.09055290e-05,1.04474305e-05,1.31393051e-04,3.51047153e-06,1.16724578e-03,1.39352162e-03
6.91831116e-04,-1.26905186e-03,1.76516656e-04,1.72155247e-03,-1.24616705e-05,1.22183172e-05,1.46538371e-04,3.74241778e-06,1.25120682e-03,1.49248880e-03
7.24436116e-04,-1.18806873e-03,1.83613586e-04,1.83904284e-03,-1.40911506e-05,1.40726633e-05,1.62397468e-04,3.98529533e-06,1.33912483e-03,1.59612017e-03
7.58577742e-04,-1.19765030e-03,2.15896115e-04,1.96129727e-03,-1.56389915e-05,1.63548897e-05,1.74085990e-04,4.54454664e-06,1.43324396e-03,1.70544806e-03
