"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,2.78280675e-04,8.63806672e-06,9.09357298e-05,2.04176657e-07,1.86732129e-07,-2.58907800e-05,-3.40102929e-07,3.96121468e-05,6.53673044e-05
1.00000000e-04,-1.35437998e-02,-4.03483401e-05,1.19146987e-03,-2.71859382e-06,9.73161564e-07,-2.71028629e-05,-9.97173357e-07,3.31867462e-04,7.62155248e-04
1.04712855e-04,-1.42085185e-02,-4.35018539e-05,1.33586307e-03,-3.11439046e-06,1.12305983e-06,-3.01559400e-05,-1.14582094e-06,3.71954575e-04,8.54470354e-04
1.09647821e-04,-1.49045643e-02,-4.68039882e-05,1.48706132e-03,-3.52884042e-06,1.28002258e-06,-3.33529043e-05,-1.30147406e-06,4.13930935e-04,9.51136137e-04
1.14815364e-04,-1.56334139e-02,-5.02617473e-05,1.64538531e-03,-3.96282281e-06,1.44438276e-06,-3.67005369e-05,-1.46446290e-06,4.57885581e-04,1.05235764e-03
1.20226446e-04,-1.63966130e-02,-5.38824656e-05,1.81117089e-03,-4.41725817e-06,1.61648900e-06,-4.02059386e-05,-1.63513316e-06,5.03911745e-04,1.15834956e-03
1.25892544e-04,-1.71957806e-02,-5.76738230e-05,1.98476971e-03,-4.89311040e-06,1.79670635e-06,-4.38765448e-05,-1.81384686e-06,5.52107056e-04,1.26933673e-03
1.31825678e-04,-1.80326119e-02,-6.16438617e-05,2.16654998e-03,-5.39138887e-06,1.98541709e-06,-4.77201413e-05,-2.00098308e-06,6.02573742e-04,1.38555457e-03
1.38038431e-04,-1.89088818e-02,-6.58010026e-05,2.35689730e-03,-5.91315047e-06,2.18302150e-06,-5.17448810e-05,-2.19693876e-06,6.55418850e-04,1.50724958e-03
1.44543983e-04,-1.98264490e-02,-7.01540635e-05,2.55621540e-03,-6.45950195e-06,2.38993871e-06,-5.59593008e-05,-2.40212955e-06,7.10754471e-04,1.63467991e-03
1.51356132e-04,-2.07872598e-02,-7.47122779e-05,2.76492709e-03,-7.03160218e-06,2.60660763e-06,-6.03723402e-05,-2.61699068e-06,7.68697980e-04,1.76811584e-03
1.58489327e-04,-2.17933523e-02,-7.94853143e-05,2.98347505e-03,-7.63066466e-06,2.83348784e-06,-6.49933597e-05,-2.84197791e-06,8.29372283e-04,1.90784041e-03
1.65958700e-04,-2.28315162e-02,-8.44263323e-05,3.20355092e-03,-8.20959994e-06,3.03471579e-06,-7.05583499e-05,-3.03601461e-06,8.90874984e-04,2.04873031e-03
1.73780093e-04,-2.38657919e-02,-8.94041386e-05,3.40380530e-03,-8.64936227e-06,3.12032725e-06,-7.88851771e-05,-3.09616617e-06,9.48285121e-04,2.17760537e-03
1.81970098e-04,-2.49488116e-02,-9.46165418e-05,3.61349738e-03,-9.10984995e-06,3.20997345e-06,-8.76044356e-05,-3.15915259e-06,1.00840091e-03,2.31255414e-03
1.90546085e-04,-2.61091932e-02,-1.00542974e-04,3.89422650e-03,-1.03352212e-05,3.51086074e-06,-9.74350597e-05,-3.10710908e-06,1.08683173e-03,2.49228455e-03
1.99526246e-04,-2.73782264e-02,-1.07709003e-04,4.31356856e-03,-1.31420557e-05,4.25036493e-06,-1.09165068e-04,-2.81068575e-06,1.20070067e-03,2.75925979e-03
2.08929630e-04,-2.87070674e-02,-1.15212755e-04,4.75267360e-03,-1.60811723e-05,5.02472089e-06,-1.21447895e-04,-2.50029242e-06,1.31993608e-03,3.03881720e-03
2.18776181e-04,-3.00985346e-02,-1.23070149e-04,5.21247303e-03,-1.91588052e-05,5.83557112e-06,-1.34309594e-04,-2.17527071e-06,1.44479088e-03,3.33154974e-03
2.29086786e-04,-3.15555798e-02,-1.31297851e-04,5.69394213e-03,-2.23814824e-05,6.68463555e-06,-1.47777446e-04,-1.83493119e-06,1.57552991e-03,3.63807834e-03
2.39883315e-04,-3.30812933e-02,-1.39913312e-04,6.19810218e-03,-2.57560398e-05,7.57371516e-06,-1.61880019e-04,-1.47855196e-06,1.71243048e-03,3.95905319e-03
2.51188668e-04,-3.46789115e-02,-1.48934808e-04,6.72602257e-03,-2.92896352e-05,8.50469580e-06,-1.76647225e-04,-1.10537709e-06,1.85578298e-03,4.29515512e-03
2.63026827e-04,-3.63044204e-02,-1.58684615e-04,7.24159557e-03,-3.20273106e-05,9.25303082e-06,-1.93749417e-04,-7.79999102e-07,1.99457834e-03,4.62271347e-03
2.75422901e-04,-3.79349685e-02,-1.69351600e-04,7.72526088e-03,-3.34409015e-05,9.69463291e-06,-2.14132206e-04,-5.38003060e-07,2.12283442e-03,4.92889496e-03
2.88403183e-04,-3.96582871e-02,-1.85543165e-04,8.33303803e-03,-3.76306153e-05,1.15836224e-05,-2.31257903e-04,-1.61542398e-07,2.26475740e-03,5.30468953e-03
3.01995208e-04,-4.14781380e-02,-2.07327158e-04,9.06689213e-03,-4.46234149e-05,1.49335232e-05,-2.45134693e-04,3.51002381e-07,2.42069917e-03,5.75126241e-03
3.16227806e-04,-4.33837559e-02,-2.30137799e-04,9.83533171e-03,-5.19457750e-05,1.84413000e-05,-2.59665477e-04,8.87702654e-07,2.58399026e-03,6.21888163e-03
3.31131165e-04,-4.53791827e-02,-2.54023473e-04,1.06399867e-02,-5.96132274e-05,2.21143932e-05,-2.74881076e-04,1.44969683e-06,2.75497701e-03,6.70853907e-03
3.46736897e-04,-4.74686511e-02,-2.79034843e-04,1.14825640e-02,-6.76420357e-05,2.59605941e-05,-2.90813764e-04,2.03817699e-06,2.93402213e-03,7.22127335e-03
3.63078106e-04,-4.96465979e-02,-3.03904038e-04,1.23355664e-02,-7.46349914e-05,2.92057393e-05,-3.15046474e-04,2.38412128e-06,3.12392380e-03,7.74434797e-03
3.80189451e-04,-5.19031744e-02,-3.26771739e-04,1.31584137e-02,-7.85597886e-05,3.07242865e-05,-3.58558132e-04,2.09704216e-06,3.32858554e-03,8.25886177e-03
3.98107230e-04,-5.43661843e-02,-3.56309666e-04,1.42921217e-02,-8.88447748e-05,3.69250809e-05,-3.98282789e-04,2.19072599e-06,3.57816172e-03,8.95360426e-03
4.16869448e-04,-5.69695051e-02,-3.88593754e-04,1.55451371e-02,-1.01109648e-04,4.45344672e-05,-4.38466176e-04,2.38429278e-06,3.84803956e-03,9.71885559e-03
4.36515902e-04,-5.96955166e-02,-4.22399344e-04,1.68572054e-02,-1.13952546e-04,5.25024730e-05,-4.80543349e-04,2.58698210e-06,4.13063635e-03,1.05201721e-02
4.57088265e-04,-6.25500012e-02,-4.57798143e-04,1.82311095e-02,-1.27400712e-04,6.08459993e-05,-5.24603558e-04,2.79922387e-06,4.42655152e-03,1.13592535e-02
4.78630174e-04,-6.54146401e-02,-4.93046019e-04,1.95253801e-02,-1.37640250e-04,6.64021819e-05,-5.82687421e-04,3.04398116e-06,4.71295970e-03,1.21523710e-02
5.01187321e-04,-6.83946677e-02,-5.31660243e-04,2.09410919e-02,-1.52287178e-04,7.43331232e-05,-6.47439364e-04,4.31113011e-06,5.01307078e-03,1.30142479e-02
5.24807555e-04,-7.16127779e-02,-5.76789305e-04,2.26733395e-02,-1.78071006e-04,8.94223340e-05,-7.09219506e-04,7.27219190e-06,5.35213977e-03,1.40574508e-02
5.49540976e-04,-7.49825531e-02,-6.24045234e-04,2.44872254e-02,-2.05069988e-04,1.05222677e-04,-7.73911256e-04,1.03728042e-05,5.70718859e-03,1.51498183e-02
