"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,-3.00271946e-05,-2.03400896e-06,1.22147579e-06,8.52532425e-09,2.81587056e-09,7.51268153e-08,-5.30091593e-09,8.48868354e-07,1.03658001e-06
1.00000000e-04,-1.46539081e-05,7.00499283e-07,3.87722232e-05,-5.47098720e-08,2.55379444e-08,3.04402713e-06,-5.27156437e-08,4.22274981e-05,4.05126296e-05
1.04712855e-04,-9.36534232e-06,1.15147097e-06,4.31816031e-05,-7.83624712e-08,3.05852161e-08,3.35405366e-06,-5.47515058e-08,4.72142369e-05,4.52132126e-05
1.09647821e-04,-3.82753412e-06,1.62369630e-06,4.77987907e-05,-1.03129783e-07,3.58703585e-08,3.67869129e-06,-5.68833151e-08,5.24359935e-05,5.01353273e-05
1.14815364e-04,1.97126297e-06,2.11817692e-06,5.26335797e-05,-1.29064343e-07,4.14045819e-08,4.01862862e-06,-5.91155935e-08,5.79038440e-05,5.52894142e-05
1.20226446e-04,8.04334898e-06,2.63596170e-06,5.76962253e-05,-1.56221161e-07,4.71996253e-08,4.37458671e-06,-6.14530759e-08,6.36293863e-05,6.06864057e-05
1.25892544e-04,1.44016036e-05,3.17814893e-06,6.29974661e-05,-1.84657840e-07,5.32677807e-08,4.74732059e-06,-6.39007206e-08,6.96247652e-05,6.63377496e-05
1.31825678e-04,2.10595136e-05,3.74588866e-06,6.85485467e-05,-2.14434699e-07,5.96219195e-08,5.13762088e-06,-6.64637191e-08,7.59026976e-05,7.22554331e-05
1.38038431e-04,2.80312012e-05,4.34038515e-06,7.43612417e-05,-2.45614898e-07,6.62755197e-08,5.54631546e-06,-6.91475081e-08,8.24764999e-05,7.84520086e-05
1.44543983e-04,4.68756741e-05,4.90916834e-06,8.01143106e-05,-2.73076892e-07,7.43707422e-08,5.82045423e-06,-7.41443217e-08,8.90834003e-05,8.46360408e-05
1.51356132e-04,7.38666322e-05,5.47097433e-06,8.59287828e-05,-2.98571399e-07,8.35567355e-08,6.01080109e-06,-8.07514054e-08,9.58276908e-05,9.09200152e-05
1.58489327e-04,1.02129635e-04,6.05925743e-06,9.20172827e-05,-3.25267425e-07,9.31756513e-08,6.21011871e-06,-8.76698714e-08,1.02889830e-04,9.75001441e-05
1.65958700e-04,1.31724632e-04,6.67526546e-06,9.83927247e-05,-3.53221596e-07,1.03247893e-07,6.41882989e-06,-9.49143947e-08,1.10284798e-04,1.04390385e-04
1.73780093e-04,1.62714399e-04,7.32030505e-06,1.05068632e-04,-3.82493207e-07,1.13794824e-07,6.63737732e-06,-1.02500342e-07,1.18028279e-04,1.11605353e-04
1.81970098e-04,1.95164669e-04,7.99574443e-06,1.12059165e-04,-4.13144346e-07,1.24838818e-07,6.86622458e-06,-1.10443804e-07,1.26136700e-04,1.19160352e-04
1.90546085e-04,2.27978221e-04,8.92053367e-06,1.21001562e-04,-4.78802521e-07,1.43508506e-07,7.29885333e-06,-1.10775423e-07,1.36407986e-04,1.28776528e-04
1.99526246e-04,2.59947521e-04,1.03348735e-05,1.33691757e-04,-6.16366821e-07,1.77625577e-07,8.14756329e-06,-9.47488912e-08,1.50814291e-04,1.42341837e-04
2.08929630e-04,2.93423489e-04,1.18158692e-05,1.46980023e-04,-7.60414326e-07,2.13350536e-07,9.03627172e-06,-7.79670521e-08,1.65899544e-04,1.56546459e-04
2.18776181e-04,3.28477130e-04,1.33666620e-05,1.60894546e-04,-9.11250583e-07,2.50759160e-07,9.96686369e-06,-6.03943091e-08,1.81695744e-04,1.71420524e-04
2.29086786e-04,3.65182799e-04,1.49905415e-05,1.75464840e-04,-1.06919553e-06,2.89930798e-07,1.09413131e-05,-4.19933883e-08,1.98236395e-04,1.86995583e-04
2.39883315e-04,4.18073179e-04,1.65625783e-05,1.90050924e-04,-1.21817147e-06,3.36845643e-07,1.15192353e-05,-2.39385961e-08,2.14852100e-04,2.02619935e-04
2.51188668e-04,4.88195831e-04,1.80777999e-05,2.04640322e-04,-1.35743233e-06,3.91984809e-07,1.16732249e-05,-6.27015118e-09,2.31532516e-04,2.18282412e-04
2.63026827e-04,5.61623262e-04,1.96644316e-05,2.19917298e-04,-1.50325636e-06,4.49722604e-07,1.18344718e-05,1.22309820e-08,2.48999056e-04,2.34683038e-04
2.75422901e-04,6.38511222e-04,2.13258390e-05,2.35914255e-04,-1.65595285e-06,5.10181497e-07,1.20033181e-05,3.16040469e-08,2.67288768e-04,2.51856602e-04
2.88403183e-04,7.11598420e-04,2.28224218e-05,2.57348762e-04,-1.92597010e-06,6.14451886e-07,1.36445139e-05,7.65446033e-08,2.90979716e-04,2.74471465e-04
3.01995208e-04,7.80990353e-04,2.41557325e-05,2.84297528e-04,-2.31461553e-06,7.63028214e-07,1.67713097e-05,1.47312455e-07,3.20152436e-04,3.02606496e-04
