"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,-1.75092614e-04,5.09091746e-06,2.55096208e-05,-9.17653734e-08,2.94581226e-08,-1.00046195e-06,-6.87874276e-08,7.70671959e-06,1.66228992e-05
1.00000000e-04,-9.66618874e-04,-7.66065076e-06,4.94755311e-04,-3.54876683e-07,1.90970653e-07,-6.44393446e-06,-6.63002049e-07,2.79748417e-04,3.87347349e-04
1.04712855e-04,-1.01577499e-03,-9.83945391e-06,5.47459220e-04,-4.33276569e-07,2.30192148e-07,-6.18146215e-06,-6.15714660e-07,3.09640477e-04,4.28664945e-04
1.09647821e-04,-1.06724777e-03,-1.21209409e-05,6.02646988e-04,-5.15371329e-07,2.71262094e-07,-5.90661989e-06,-5.66198685e-07,3.40941308e-04,4.71929779e-04
1.14815364e-04,-1.12114638e-03,-1.45099511e-05,6.60435675e-04,-6.01335096e-07,3.14267609e-07,-5.61882472e-06,-5.14349093e-07,3.73717301e-04,5.17233622e-04
1.20226446e-04,-1.17758516e-03,-1.70115518e-05,7.20947859e-04,-6.91350211e-07,3.59299910e-07,-5.31746618e-06,-4.60055905e-07,4.08037979e-04,5.64672569e-04
1.25892544e-04,-1.23668381e-03,-1.96310494e-05,7.84311896e-04,-7.85607608e-07,4.06454519e-07,-5.00190504e-06,-4.03203957e-07,4.43976141e-04,6.14347246e-04
1.31825678e-04,-1.29856770e-03,-2.23740001e-05,8.50662187e-04,-8.84307219e-07,4.55831457e-07,-4.67147197e-06,-3.43672660e-07,4.81608017e-04,6.66363018e-04
1.38038431e-04,-1.36336809e-03,-2.52462222e-05,9.20139472e-04,-9.87658401e-07,5.07535458e-07,-4.32546606e-06,-2.81335739e-07,5.21013429e-04,7.20830218e-04
1.44543983e-04,-1.43122242e-03,-2.82538079e-05,9.92891121e-04,-1.09588037e-06,5.61676194e-07,-3.96315339e-06,-2.16060968e-07,5.62275960e-04,7.77864379e-04
1.51356132e-04,-1.50227463e-03,-3.14031367e-05,1.06907145e-03,-1.20920269e-06,6.18368504e-07,-3.58376545e-06,-1.47709893e-07,6.05483135e-04,8.37586477e-04
1.58489327e-04,-1.57667543e-03,-3.47008889e-05,1.14884205e-03,-1.32786573e-06,6.77732642e-07,-3.18649751e-06,-7.61375294e-08,6.50726602e-04,9.00123191e-04
1.65958700e-04,-1.65458263e-03,-3.81540593e-05,1.23237212e-03,-1.45212118e-06,7.39894525e-07,-2.77050690e-06,-1.19206435e-09,6.98102328e-04,9.65607170e-04
1.73780093e-04,-1.73616149e-03,-4.17699727e-05,1.31983884e-03,-1.58223261e-06,8.04986007e-07,-2.33491126e-06,7.72854720e-08,7.47710803e-04,1.03417731e-03
1.81970098e-04,-1.82020865e-03,-4.59234302e-05,1.41107645e-03,-1.68982134e-06,8.73660646e-07,-1.43611233e-06,1.78346718e-07,7.99142050e-04,1.10554608e-03
1.90546085e-04,-1.91071394e-03,-5.22616159e-05,1.52149455e-03,-1.75017288e-06,1.00776441e-06,1.93323660e-06,4.85595014e-07,8.58503155e-04,1.19050274e-03
1.99526246e-04,-2.02493040e-03,-5.91551577e-05,1.67128199e-03,-2.00437593e-06,1.27033367e-06,5.83222893e-06,1.02372897e-06,9.37313020e-04,1.30493267e-03
2.08929630e-04,-2.14452971e-03,-6.63735822e-05,1.82812870e-03,-2.27055920e-06,1.54527743e-06,9.91497513e-06,1.58722440e-06,1.01983708e-03,1.42475553e-03
