station_x_over_h	y_over_h	Ux_over_Uref_RANS_SST	Ux_over_Uref_LES	uv_over_Uref2_RANS_SST	uv_over_Uref2_LES
0.0	1.001955565	0.0360479344759309	0.007094091455123937	-1.0384443802306426e-06	-5.2432386810238474e-06
0.0	1.0059383325	0.120619613509714	0.03704833986326596	-3.050230107513559e-05	-6.485825520845981e-05
0.0	1.0100670005	0.227614659631978	0.08886233745478912	-0.0002659093777815635	-0.00023118520380402863
0.0	1.014346914	0.345671749811342	0.1610933251391478	-0.0010334530785053285	-0.0004912684075980949
0.0	1.018783613	0.455969243045452	0.2500567542073558	-0.0022783741408564082	-0.0007916909243161403
0.0	1.0233828415	0.544356771885052	0.34987967779116214	-0.003440245089971853	-0.0010728213633580212
0.0	1.0281505535	0.608043898481905	0.45352349222185034	-0.004130158927558825	-0.0012937991672054433
0.0	1.0330929205	0.651638334958092	0.5543999085356388	-0.004352188715522258	-0.0014389021161099152
0.0	1.0382163405	0.681324933702238	0.6470315685546284	-0.004275692939056776	-0.0014931628951866125
0.0	1.0435274465	0.702114498871598	0.7280139727698962	-0.004070664567660214	-0.0014390002394724917
0.0	1.049033114	0.717356798374219	0.7959947602870725	-0.003844844961683942	-0.00126587123279477
0.0	1.0547404705	0.729115813545634	0.8507382787152279	-0.003647059326183487	-0.0009841448292192254
0.0	1.060656904	0.738637851263542	0.8932853947604278	-0.0034923696129762127	-0.0006276155158311155
0.0	1.0667900735	0.746684752308993	0.9250493231733027	-0.00338107447189828	-0.00025183357140782776
0.0	1.073147919	0.753734654105691	0.9485299115508171	-0.003308189417641692	8.168917407156627e-05
0.0	1.079738671	0.760096978042049	0.9655165545498878	-0.003267402135593752	0.00032463285657902266
0.0	1.086570862	0.765978161157367	0.9775269619339324	-0.003252574315463437	0.00044415043419961803
0.0	1.093653336	0.77151994122455	0.9858211175939389	-0.003258257517674333	0.0004251360795894825
0.0	1.1009952615	0.776822256059707	0.9912854402800291	-0.0032798288905756014	0.0002648125630877944
0.0	1.1086061435	0.781957335836789	0.9948156624295289	-0.0033134854604418102	-1.3762141918101167e-05
0.0	1.1164958345	0.786978621133008	0.9969713332548453	-0.00335619177663318	-0.0003870080541427337
0.0	1.1246745475	0.791926562099394	0.998115390521332	-0.0034056186109114807	-0.0008339378039426775
0.0	1.133152871	0.796832490800214	0.9984707403686097	-0.0034600832167508283	-0.0013380080923717297
0.0	1.1419417805	0.80172127254936	0.9983283692590057	-0.003518489144222982	-0.0018800230081523679
