wall	x_over_h	Cp_RANS_SST	Cp_LES	Cf_RANS_SST	Cf_LES
bottomWall	0.04003804445	-0.12656260238216	-0.31342545532030675	0.005795835460221753	0.0006467449249731913
bottomWall	0.1200911292	-0.10049811409119602	-0.2744481624918746	0.006929295665037524	0.0004114986915707261
bottomWall	0.19980091785	-0.09684749151217997	-0.25092703438779995	0.004132988336800612	-0.0009571551485881723
bottomWall	0.27797312375	-0.0481413874179899	-0.22909627025361592	-0.0012964377311272222	-0.002330502693503714
bottomWall	0.35256409785	-0.020528832793496044	-0.21715610892265694	-0.003456768072281136	-0.002328836037848269
bottomWall	0.42248641405	-0.005252570937444023	-0.20036771881199744	-0.0029332343495100115	-0.0017964313532516354
bottomWall	0.48844679055	0.0009620566230799099	-0.18712017936515915	-0.0018926393687115402	-0.0012629815070592833
bottomWall	0.55168881315	0.006242968442660146	-0.18656828621340504	-0.0013995374506787243	-0.001000441316730166
bottomWall	0.6132976997	0.009208910269640214	-0.1899550379072253	-0.0010310711004353572	-0.0007352142076786031
bottomWall	0.6742012355	0.01184276714332011	-0.18721195606204197	-0.0007963378303904174	-0.0005921588351748728
bottomWall	0.73521630835	0.013422318158060165	-0.1846986340400282	-0.0006008805282933618	-0.0005839442410417977
bottomWall	0.79679707835	0.014751274007319903	-0.1815657678979748	-0.0005106182466233997	-0.0005914433591663162
bottomWall	0.8589664664	0.015777175346019856	-0.17909251000100365	-0.00045961364077880794	-0.0006670250267471794
bottomWall	0.92161647765	0.016635516362939917	-0.17612782168257093	-0.0004600644367091603	-0.0007987721250553274
bottomWall	0.984634961	0.017398004956219904	-0.17503499999729596	-0.0005022631103796589	-0.0010147366814238143
bottomWall	1.0479061395	0.018134074107320153	-0.17365445994323242	-0.0005822403600286737	-0.0012662562835782949
bottomWall	1.1113698505	0.018985171231100217	-0.17235081904519506	-0.0006771590779482991	-0.0015219547148014848
bottomWall	1.175181854	0.01995739033571997	-0.17081413380918867	-0.0007634602450217536	-0.0017323328423994753
bottomWall	1.239692461	0.0210970483386399	-0.16877668012224187	-0.0008305203267129488	-0.0018623401627178035
bottomWall	1.3052950925	0.02237862277008018	-0.1666883565743274	-0.0008632391136748007	-0.001923729797556986
bottomWall	1.3724013475	0.02374321674255997	-0.16551641638728207	-0.000849935990340271	-0.0019889397107253283
bottomWall	1.441431705	0.02500598266614018	-0.16519009092704917	-0.0007994256136811557	-0.0018959247691585455
bottomWall	1.512665097	0.026108617503919795	-0.16475110776465524	-0.0007330047507665841	-0.0018150937164084532
bottomWall	1.5861296885	0.02701184283609992	-0.16394645387903448	-0.0006530367263188126	-0.0017037714445216304
bottomWall	1.661684257	0.027639103409560217	-0.1625339808999684	-0.0005621108396374047	-0.0015917708849116255
bottomWall	1.7390642885	0.027870654961459795	-0.16046372400461925	-0.0004923144375289876	-0.001476936667635233
bottomWall	1.817869532	0.027962968527900145	-0.15845020506367097	-0.00040263518809042256	-0.0014310108546001725
bottomWall	1.897567369	0.026729740859179785	-0.15769506650462412	-0.0004883853508660491	-0.001563964834207005
bottomWall	1.9776031995	0.025721597810580032	-0.15773496778377122	-0.0008852088865056376	-0.002261520928688177
bottomWall	2.0576792885	0.025584173844760194	-0.15455966352481781	-0.0012947843373130213	-0.0028982117594586487
bottomWall	2.1377553775	0.025954075440580038	-0.14844873500775374	-0.001642015267716868	-0.0034112219677005042
bottomWall	2.2178314665	0.027095479857540017	-0.13949771929456498	-0.001959494332716218	-0.0038022623995031582
bottomWall	2.2979075555	0.02891357408946016	-0.1265741632036371	-0.00223346213616104	-0.004093002952180228
bottomWall	2.3779836445	0.031403557295779816	-0.11541091619519243	-0.00247319607997552	-0.004317128386240878
bottomWall	2.4580597335	0.034501039531920075	-0.10394002459573266	-0.00268127217741614	-0.004469018414480949
bottomWall	2.538135822	0.03816460870972005	-0.09053802638582736	-0.00286304035700814	-0.0045560447707696135
bottomWall	2.6182119105	0.04234596180379979	-0.07679420514310961	-0.00302176679266876	-0.004588348931989354
bottomWall	2.6982879995	0.04700674575494013	-0.06147390689258474	-0.0031605949530274	-0.004596263545780785
bottomWall	2.7783640885	0.05211050620168001	-0.04516483914060117	-0.00328169849993258	-0.004598287124887335
bottomWall	2.8584401775	0.057625675958620004	-0.030126577229310714	-0.00338684341907536	-0.004584367420361565
bottomWall	2.9385162665	0.06352262801574016	-0.01366794439348103	-0.0034773003759919	-0.004522365544162898
bottomWall	3.0185923555	0.06977378933680001	0.0029070552629348874	-0.00355407913172228	-0.00444891234626178
bottomWall	3.0986684445	0.07635261845150021	0.01977182776081408	-0.00361796583722074	-0.004338640907485862
bottomWall	3.1787445335	0.08323341030981979	0.034926141231275624	-0.00366961207507054	-0.0042213594697276475
bottomWall	3.2588206225	0.09039089664425992	0.05044414209137215	-0.0037095704890592	-0.004060022374546326
bottomWall	3.338896711	0.09780009806453993	0.06886732992212055	-0.00373833338321732	-0.003929242077350394
bottomWall	3.4189727995	0.10543606048653986	0.08569914547392149	-0.00375635103172158	-0.0037464436009091396
bottomWall	3.4990488885	0.11327370163771988	0.10078163807170484	-0.0037640438651225	-0.003557348545843185
bottomWall	3.5791249775	0.12128807968618016	0.1157419466217257	-0.00376177416459158	-0.0033732104265785886
bottomWall	3.6592010665	0.1294546327964401	0.12874287940002657	-0.00374996606265536	-0.0031375648866962293
bottomWall	3.7392771555	0.1377490530151002	0.14086106922650904	-0.00372909034343798	-0.0029571292911409757
bottomWall	3.8193532445	0.1461475618940602	0.15338864655383483	-0.00369965178677458	-0.002731272787558005
bottomWall	3.8994293335	0.15462713417542018	0.1623533279873836	-0.00366217508215156	-0.002564467160681636
bottomWall	3.9795054225	0.16316562804495982	0.1726820380477642	-0.00361719476473356	-0.0023571606722335913
bottomWall	4.0595815115	0.17174191938542016	0.18187437177123947	-0.0035652480383858	-0.0021353387923491525
bottomWall	4.1396576	0.18033594015988008	0.18852744328220222	-0.00350687074374348	-0.0019461971539168487
bottomWall	4.2197336885	0.18892876203244002	0.1953839489295648	-0.0034425969624062	-0.0017768540081582605
bottomWall	4.2998097775	0.1975026266876001	0.2025139212911512	-0.00337295659885546	-0.0015731877451748814
bottomWall	4.3798858665	0.20604100092880007	0.21202592435486628	-0.0032984743936776	-0.0013742398076496873
bottomWall	4.4599619555	0.2145286041901402	0.22051589713970393	-0.0032196662879919	-0.001185533943204512
bottomWall	4.5400380445	0.2229514268370001	0.2275752824346539	-0.00313703648557582	-0.001034495813768449
bottomWall	4.6201141335	0.23129673214510005	0.2350132896235329	-0.00305107354270862	-0.000876370929955119
bottomWall	4.7001902225	0.23955302722223992	0.24182011080686946	-0.0029622478788682	-0.0007241786534249127
bottomWall	4.7802663115	0.24771001914343982	0.2497329611148279	-0.00287101259934906	-0.0005418011541346143
bottomWall	4.8603424	0.2557585766475401	0.2579437767702047	-0.00277780533494212	-0.0003572499204527248
bottomWall	4.9404184885	0.2636906577517202	0.2657396953676292	-0.00268305658516654	-0.00021660084248665355
bottomWall	5.0204945775	0.27149937554395986	0.2755556836639589	-0.00258719193311492	-0.00011132007927048765
bottomWall	5.1005706665	0.2791790041409201	0.28233249208739863	-0.00249061991327026	1.5634593492013692e-05
bottomWall	5.1806467555	0.28672492225082014	0.28772582135362385	-0.00239372643620522	0.00015614132357998097
bottomWall	5.2607228445	0.2941335915715402	0.29353646784394993	-0.00229686600421324	0.0002993851165511194
bottomWall	5.3407989335	0.3014023788823601	0.30010523408085943	-0.00220036124957162	0.0003732079187510661
bottomWall	5.4208750225	0.30852954654169995	0.30849116108683955	-0.00210450018614784	0.00046178969013504844
bottomWall	5.5009511115	0.31551398869881986	0.3165584397866569	-0.0020095415305193	0.0005466900825209007
bottomWall	5.5810272005	0.3223552621308601	0.3240534817058872	-0.001915722058713534	0.0006252411436242732
bottomWall	5.661103289	0.32905333406854	0.3303699214819095	-0.001823265559679846	0.0006750057301901357
bottomWall	5.7411793775	0.3356086230230799	0.3352775940426196	-0.001732408853340984	0.000729836005355402
bottomWall	5.8212554665	0.3420220967936398	0.3422626882766937	-0.001643384721468434	0.0008026731440680772
bottomWall	5.9013315555	0.3482951176121598	0.348864437343959	-0.001556423678944722	0.0008725634190104939
bottomWall	5.9814076445	0.35442962194498007	0.35688460883325224	-0.001471737680759906	0.0009031122762842434
bottomWall	6.0614837335	0.3604276976899201	0.36422669033446103	-0.001389534154352132	0.0009168538260177269
bottomWall	6.1415598225	0.36629193810702	0.3702581536012987	-0.00131000706579617	0.0009421738524046966
bottomWall	6.2216359115	0.3720246615707601	0.375848746627943	-0.001233393378803926	0.0009769369641190193
bottomWall	6.3017120005	0.37762891839147983	0.3814927799330614	-0.001159948021112416	0.0009644644768670248
bottomWall	6.3817880895	0.3831070384463402	0.38437203944490395	-0.001090049202172862	0.0009425746660119724
bottomWall	6.461864178	0.38846293531917997	0.38849552251244635	-0.001024106861757476	0.0008969133995539355
bottomWall	6.5419402665	0.39369904638216013	0.3937318008393695	-0.000962769197444816	0.0008261914307212771
bottomWall	6.6220163555	0.3988208105205202	0.3996584317358097	-0.000906795292543512	0.0007524829952636152
bottomWall	6.7020924445	0.40383176990876013	0.406364056740176	-0.000857254671327494	0.0006753638768661978
bottomWall	6.7821685335	0.40873869168812016	0.4126978818733535	-0.000815792333615244	0.000571053254558631
bottomWall	6.8622446225	0.4135516440670002	0.41867394376123124	-0.000783466739450264	0.0003985809382563209
bottomWall	6.9423207115	0.41826778111887997	0.4252804516784321	-0.0007643905169185991	0.0002095127774457351
bottomWall	7.0223968005	0.4229382362112002	0.4314479663345413	-0.0007495878680087797	-4.773200436181423e-05
bottomWall	7.102432631	0.4273928176097801	0.4370297555118247	-0.0007670865228000099	-0.00037659125271349397
bottomWall	7.182130468	0.43206370481494005	0.44395132019131767	-0.0007763974270244545	-0.0004353244787034033
bottomWall	7.2609357115	0.43669146772713985	0.45104417215322773	-0.000773819716183443	-0.00031770399308979314
bottomWall	7.338315743	0.44167908850988	0.45801120293054126	-0.0007620988531448841	-4.7287603661467225e-05
bottomWall	7.4138703115	0.44677868383366004	0.4647078759731549	-0.000711545722139235	0.00031116304926212735
bottomWall	7.487334903	0.4521299447773601	0.47037486145156704	-0.0006225289495305694	0.0007404129987475506
bottomWall	7.558568295	0.45752397839746006	0.4752736312526951	-0.00047287413477556384	0.001267089720618753
bottomWall	7.6275986525	0.46293365473065995	0.47742923472721177	-0.00023152559952923637	0.0019519665161215663
bottomWall	7.6947049075	0.46787544642601997	0.4770880873123575	0.00012481393689582883	0.0026079715168550663
bottomWall	7.760307539	0.47199882703968	0.47495835736390696	0.0006056377418449038	0.0034021748454359955
bottomWall	7.824818146	0.4746500082563001	0.4702038473296226	0.0012072176389344574	0.004275408867194286
bottomWall	7.8886301495	0.47541641278596014	0.46179166727183635	0.0019222374043852673	0.005142438171232978
bottomWall	7.9520938605	0.47365534902710005	0.45194061503110355	0.002684766406053575	0.006006711314194777
bottomWall	8.015365039	0.4697163088511802	0.4423998207073168	0.003454666915230686	0.0068339168152826615
bottomWall	8.0783835225	0.46343370569781994	0.42703543923073156	0.004288399612345702	0.007823868610855768
bottomWall	8.141033534	0.4542188622172798	0.40606556743466693	0.005236545775440289	0.008968289765436527
bottomWall	8.203202922	0.4413477303754001	0.37821435669761017	0.006389453497315848	0.01062764701493631
bottomWall	8.264783692	0.42298146570279993	0.3430215112294201	0.00789048588548669	0.012631724268765146
bottomWall	8.3257987645	0.3961507649225	0.2948799459966468	0.010079919473884254	0.015068100348947112
bottomWall	8.3867023	0.35301234783384006	0.22145042613293053	0.01306948656108076	0.019131365518801166
bottomWall	8.448311187	0.28876236984456005	0.11854114972921222	0.016706474124307782	0.024161412853725205
bottomWall	8.5115532095	0.1988009283451202	-0.01251607846812754	0.021313863427236526	0.028353450801571162
bottomWall	8.577513586	0.06938834386617998	-0.18622431189564304	0.02636754192987832	0.03484120399413258
bottomWall	8.6474359025	-0.08954857248941006	-0.3841395519470859	0.030676877388634644	0.036980212320685796
bottomWall	8.7220268765	-0.2591535436310699	-0.5024524636057832	0.027630203632070565	0.027337494632065217
bottomWall	8.800199082	-0.28146490757533993	-0.46759644736099487	0.01835845216629627	0.012359132907627284
bottomWall	8.8799088705	-0.2431917075780241	-0.4054204456836942	0.009224749248505353	0.003319751564977733
bottomWall	8.9599619555	-0.16072861316878195	-0.3506748290239011	0.00514274992222693	0.0012273183416754642
topWall	0.0375	0.14090126080879983	0.02153107712811694	0.01035474631287926	0.05073903828148235
topWall	0.1125	0.13523796132392008	0.014141179315238646	0.01034289641460612	0.051199617368863394
topWall	0.1875	0.12985339912735983	0.0071795069095493495	0.01032199508731832	0.05165025160803086
topWall	0.2625	0.12476554048648003	0.0006154752267874445	0.01029282511684042	0.051931344389611216
topWall	0.3375	0.11998711477651991	-0.005645690830694488	0.01025611483294308	0.05199914400201053
topWall	0.4125	0.11552654448365995	-0.011494580693603432	0.01021252080706826	0.05177955434243732
topWall	0.4875	0.11138986452864019	-0.01694689368656783	0.01016274584464636	0.05148723921095347
topWall	0.5625	0.10758039544453979	-0.021975706166949056	0.01010758441933502	0.05084257889699542
topWall	0.6375	0.10409851873750009	-0.026590365750120595	0.01004787146313754	0.05025794975569359
topWall	0.7125	0.10094157903237999	-0.03080887420251922	0.0099844008149977	0.04959460117773834
topWall	0.7875	0.09810476596056006	-0.034576627237354086	0.00991786102705574	0.048880366346175506
topWall	0.8625	0.0955818538908999	-0.03790567491286686	0.0098488558269413	0.04815849744413436
topWall	0.9375	0.09336526180771987	-0.04081591697808253	0.00977791129754144	0.047469039263521674
