y,u,v,w,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
1e-10,-2.4825356e-08,-4.90775e-10,-1.7047743e-11,0.0011253734,268025.1,156.30104,2.4613317e-12,0.00075024896,0.00075024896,0.00075024896,3.1563324e-10,4.507861e-22,2.1674749e-13
0.0001,-0.024825357,-0.000490775,-1.7047741e-05,0.001266943,262620.8,156.28896,2.4613316e-06,0.000844285,0.00085713883,0.00084434106,0.00030815593,4.5078613e-10,2.1210106e-07
0.000104712855,-0.02599534,-0.0005139045,-1.7851178e-05,0.001273615,262366.12,156.28838,2.5773306e-06,0.0008486998,0.000862178,0.0008487614,0.0003223099,4.942772e-10,2.2186777e-07
0.000109647821,-0.027220463,-0.00053812406,-1.8692479e-05,0.0012806015,262099.42,156.28778,2.6987966e-06,0.0008533211,0.0008674547,0.00085338857,0.0003370953,5.419642e-10,2.3207267e-07
0.000114815364,-0.028503325,-0.0005634851,-1.9573428e-05,0.0012879173,261820.16,156.28716,2.825987e-06,0.0008581584,0.0008729803,0.0008582324,0.0003525385,5.9425187e-10,2.4273422e-07
0.000120226446,-0.029846644,-0.00059004134,-2.0495894e-05,0.0012955777,261527.72,156.2865,2.9591715e-06,0.0008632216,0.0008787664,0.00086330273,0.00036866663,6.5158423e-10,2.5387163e-07
0.000125892544,-0.031253275,-0.0006178491,-2.1461838e-05,0.0013035991,261221.52,156.28583,3.098633e-06,0.00086852134,0.00088482536,0.00086861034,0.00038550797,7.1444783e-10,2.655048e-07
0.000131825678,-0.032726195,-0.00064696744,-2.2473303e-05,0.0013119986,260900.88,156.28511,3.2446671e-06,0.0008740684,0.0008911701,0.00087416597,0.00040309163,7.8337653e-10,2.7765427e-07
0.000138038431,-0.034268532,-0.0006774581,-2.3532437e-05,0.001320794,260565.11,156.28435,3.3975837e-06,0.00087987434,0.0008978142,0.0008799813,0.00042144748,8.5895535e-10,2.9034123e-07
0.000144543983,-0.03588356,-0.0007093857,-2.4641487e-05,0.001330004,260213.53,156.28357,3.5577068e-06,0.00088595116,0.0009047717,0.00088606845,0.00044060656,9.418258e-10,3.0358765e-07
0.000151356132,-0.0375747,-0.00074281805,-2.5802803e-05,0.0013396479,259845.39,156.28275,3.7253765e-06,0.0008923112,0.0009120573,0.00089243974,0.00046060077,1.0326916e-09,3.1741624e-07
0.000158489327,-0.039345544,-0.000777826,-2.7018852e-05,0.0013497464,259459.89,156.28188,3.900948e-06,0.00089896756,0.0009196865,0.00089910853,0.0004814629,1.1323237e-09,3.318503e-07
0.0001659587,-0.041199837,-0.0008144838,-2.8292214e-05,0.0013603207,259056.22,156.28098,4.084794e-06,0.0009059338,0.0009276756,0.00090608833,0.00050322665,1.2415683e-09,3.4691394e-07
0.000173780093,-0.04314153,-0.0008528693,-2.9625582e-05,0.0013713934,258633.53,156.28003,4.2773045e-06,0.00091322424,0.00093604164,0.0009133937,0.00052592665,1.3613525e-09,3.6263194e-07
0.000181970098,-0.045174725,-0.0008930638,-3.1021795e-05,0.0013829881,258190.92,156.27904,4.4788876e-06,0.0009208538,0.0009448023,0.0009210396,0.0005495984,1.4926934e-09,3.790298e-07
0.000190546085,-0.047303747,-0.0009351525,-3.2483807e-05,0.001395129,257727.45,156.278,4.6899713e-06,0.00092883804,0.00095397636,0.0009290417,0.00057427835,1.6367059e-09,3.9613363e-07
0.000199526246,-0.049533103,-0.0009792249,-3.401472e-05,0.0014078423,257242.14,156.27692,4.9110026e-06,0.0009371931,0.00096358324,0.00093741645,0.0006000035,1.7946122e-09,4.1397024e-07
