y,u,v,w,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
1e-10,-1.9200302e-08,-2.825273e-10,-2.7441358e-11,0.00043891417,264400.12,256.69464,1.4332884e-12,0.00029260947,0.00029260947,0.00029260947,1.4215389e-10,1.543879e-22,2.031684e-13
0.0001,-0.019200303,-0.0002825273,-2.744136e-05,0.0005169067,258945.6,256.6888,1.4332884e-06,0.0003445724,0.00034883933,0.00034438403,0.00013880924,1.5438792e-10,1.9877264e-07
0.000104712855,-0.020105185,-0.00029584242,-2.873463e-05,0.00052058237,258688.53,256.68854,1.5008371e-06,0.00034701976,0.0003514919,0.00034681318,0.00014518603,1.6928298e-10,2.0792358e-07
0.000109647821,-0.021052714,-0.00030978504,-3.0088853e-05,0.00052443123,258419.36,256.68826,1.5715694e-06,0.00034958232,0.00035426972,0.00034935583,0.00015184747,1.8561506e-10,2.1748484e-07
0.000114815364,-0.022044897,-0.00032438475,-3.1506894e-05,0.0005284616,258137.48,256.68796,1.6456353e-06,0.00035226546,0.00035717874,0.0003520171,0.0001588054,2.0352289e-10,2.2747378e-07
0.000120226446,-0.023083841,-0.00033967255,-3.299177e-05,0.0005326818,257842.34,256.68765,1.7231916e-06,0.00035507485,0.00036022512,0.00035480259,0.00016607206,2.2315844e-10,2.3790832e-07
0.000125892544,-0.02417175,-0.00035568082,-3.4546625e-05,0.00053710095,257533.28,256.68732,1.8044032e-06,0.00035801652,0.0003634155,0.00035771797,0.00017366021,2.4468835e-10,2.4880705e-07
0.000131825678,-0.02531093,-0.00037244355,-3.617476e-05,0.00054172834,257209.66,256.68698,1.8894422e-06,0.00036109652,0.0003667564,0.00036076913,0.00018158297,2.6829544e-10,2.6018915e-07
0.000138038431,-0.026503798,-0.00038999625,-3.787962e-05,0.00054657384,256870.78,256.6866,1.9784889e-06,0.0003643215,0.0003702553,0.00036396252,0.00018985389,2.9418012e-10,2.7207452e-07
0.000144543983,-0.027752884,-0.00040837622,-3.9664836e-05,0.0005516477,256515.94,256.68622,2.071732e-06,0.00036769814,0.00037391947,0.0003673046,0.0001984869,3.2256206e-10,2.8448366e-07
0.000151356132,-0.029060837,-0.0004276224,-4.153418e-05,0.00055696064,256144.36,256.68582,2.1693697e-06,0.00037123362,0.00037775675,0.0003708021,0.00020749646,3.5368228e-10,2.9743768e-07
0.000158489327,-0.030430432,-0.00044777562,-4.3491626e-05,0.000562524,255755.28,256.68542,2.271609e-06,0.0003749355,0.00038177546,0.0003744623,0.00021689732,3.878049e-10,3.1095857e-07
0.0001659587,-0.031864572,-0.00046887866,-4.554132e-05,0.0005683496,255347.86,256.68497,2.3786667e-06,0.00037881144,0.0003859841,0.00037829258,0.00022670477,4.2521964e-10,3.250687e-07
0.000173780093,-0.033366304,-0.0004909762,-4.768762e-05,0.0005744497,254921.25,256.6845,2.49077e-06,0.00038286965,0.00039039165,0.00038230073,0.00023693443,4.6624404e-10,3.397912e-07
0.000181970098,-0.03493881,-0.0005141152,-4.9935068e-05,0.0005808373,254474.52,256.68405,2.6081564e-06,0.00038711872,0.0003950077,0.0003864949,0.00024760238,5.1122645e-10,3.5515e-07
0.000190546085,-0.036585424,-0.0005383447,-5.2288433e-05,0.00058752595,254006.73,256.68356,2.7310748e-06,0.00039156753,0.00039984193,0.00039088354,0.00025872493,5.6054866e-10,3.7116934e-07
