y,u,v,w,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
1e-10,-2.6877885e-08,5.8547694e-10,-8.5416795e-12,0.0008173634,266402.38,77.72648,1.5392759e-12,0.0005449089,0.0005449089,0.0005449089,2.1371185e-10,-7.372542e-23,6.791656e-14
0.0001,-0.026877884,0.000585477,-8.54168e-06,0.00092688075,261572.53,77.70615,1.5392758e-06,0.00061842456,0.00060873275,0.0006177632,0.00020908713,-7.3725415e-11,6.6408255e-08
0.000104712855,-0.0281446,0.0006130696,-8.9442365e-06,0.00093204214,261344.9,77.70519,1.6118197e-06,0.0006219141,0.0006117467,0.00062118896,0.00021871288,-8.083832e-11,6.9463546e-08
0.000109647821,-0.029471016,0.00064196275,-9.365765e-06,0.0009374469,261106.56,77.704185,1.6877824e-06,0.0006255706,0.00061490334,0.0006247755,0.00022877027,-8.863746e-11,7.2655645e-08
0.000114815364,-0.03085994,0.0006722175,-9.8071605e-06,0.00094310625,260856.97,77.70313,1.7673251e-06,0.00062940194,0.00061820936,0.00062853016,0.00023927748,-9.718904e-11,7.599031e-08
0.000120226446,-0.032314327,0.00070389814,-1.02693575e-05,0.00094903226,260595.62,77.702034,1.8506166e-06,0.0006334167,0.00062167185,0.0006324608,0.00025025342,-1.0656566e-10,7.94735e-08
0.000125892544,-0.03383725,0.00073707185,-1.0753338e-05,0.0009552377,260321.95,77.70088,1.9378335e-06,0.00063762395,0.0006252984,0.00063657586,0.00026171762,-1.1684692e-10,8.311138e-08
0.000131825678,-0.035431955,0.000771809,-1.1260127e-05,0.0009617355,260035.39,77.69968,2.029161e-06,0.0006420329,0.0006290966,0.00064088363,0.00027369027,-1.2812011e-10,8.691033e-08
0.000138038431,-0.037101813,0.0008081832,-1.17908e-05,0.00096853956,259735.33,77.69842,2.1247922e-06,0.00064665347,0.0006330748,0.00064539333,0.00028619228,-1.404809e-10,9.087694e-08
0.000144543983,-0.038850363,0.0008462717,-1.2346484e-05,0.00097566424,259421.12,77.69709,2.2249305e-06,0.0006514959,0.0006372414,0.0006501142,0.00029924524,-1.5403424e-10,9.501801e-08
0.000151356132,-0.04068133,0.0008861553,-1.2928356e-05,0.0009831247,259092.11,77.69571,2.3297885e-06,0.0006565712,0.00064160564,0.00065505615,0.00031287142,-1.688952e-10,9.9340554e-08
0.000158489327,-0.04259858,0.00092791853,-1.3537651e-05,0.0009909369,258747.58,77.69426,2.439588e-06,0.00066189066,0.0006461767,0.0006602295,0.0003270937,-1.8518989e-10,1.0385181e-07
0.0001659587,-0.044606186,0.00097165,-1.4175661e-05,0.0009991172,258386.83,77.69274,2.5545621e-06,0.0006674663,0.0006509645,0.0006656449,0.00034193587,-2.030567e-10,1.0855921e-07
0.000173780093,-0.046708412,0.0010174424,-1.4843739e-05,0.0010076829,258009.06,77.69115,2.6749549e-06,0.0006733108,0.0006559794,0.0006713136,0.0003574222,-2.2264725e-10,1.1347044e-07
0.000181970098,-0.048909713,0.001065393,-1.5543303e-05,0.0010166524,257613.5,77.68948,2.8010218e-06,0.0006794373,0.00066123233,0.0006772474,0.0003735778,-2.4412786e-10,1.1859337e-07
0.000190546085,-0.05121476,0.0011156035,-1.6275837e-05,0.0010260446,257199.3,77.687744,2.93303e-06,0.00068585976,0.0006667345,0.00068345864,0.00039042823,-2.6768088e-10,1.2393602e-07
0.000199526246,-0.053628437,0.0011681803,-1.7042892e-05,0.0010358795,256765.56,77.68591,3.0712592e-06,0.0006925929,0.00067249796,0.00068996014,0.00040799988,-2.9350625e-10,1.2950669e-07
0.00020892963,-0.056155868,0.0012232349,-1.78461e-05,0.0010461778,256311.39,77.684006,3.2160033e-06,0.00069965207,0.0006785352,0.0006967653,0.00042631972,-3.2182318e-10,1.3531383e-07
0.000218776181,-0.05880241,0.0012808843,-1.868716e-05,0.0010569616,255835.81,77.68201,3.3675688e-06,0.00070705346,0.00068485923,0.0007038881,0.00044541532,-3.5287212e-10,1.4136604e-07
0.000229086786,-0.06157368,0.0013412504,-1.9567859e-05,0.0010682535,255337.83,77.67991,3.5262776e-06,0.00071481423,0.00069148385,0.0007113435,0.00046531478,-3.8691658e-10,1.4767217e-07
0.000239883315,-0.064475566,0.0014044616,-2.0490064e-05,0.0010800775,254816.38,77.67771,3.692466e-06,0.00072295207,0.00069842354,0.00071914657,0.0004860466,-4.2424558e-10,1.542411e-07
0.000251188668,-0.067514196,0.001470652,-2.1455731e-05,0.001092459,254270.34,77.675415,3.8664866e-06,0.0007314862,0.00070569327,0.00072731345,0.00050763995,-4.651761e-10,1.6108194e-07
0.000263026827,-0.07069605,0.0015399614,-2.246691e-05,0.0011054238,253698.58,77.673004,4.0487084e-06,0.0007404362,0.000713309,0.00073586096,0.00053012423,-5.100554e-10,1.6820385e-07
