zone,x,Cf
Dwight 2022,0.0015009842,0.011207736925460534
Dwight 2022,0.0025039464,0.00646759445453493
Dwight 2022,0.003508906,0.0052597324224029985
Dwight 2022,0.0045158825,0.00462149907700166
Dwight 2022,0.0055248956,0.004183516229322321
Dwight 2022,0.0065359651,0.00385736880148897
Dwight 2022,0.0075491108,0.003605100032753202
Dwight 2022,0.0085643528,0.003409441071568089
Dwight 2022,0.0095817113,0.0032666500776562008
Dwight 2022,0.010601207,0.00319462006785008
Dwight 2022,0.011622859,0.0032510656847852945
Dwight 2022,0.01264669,0.0034931352186579772
Dwight 2022,0.013672719,0.0038791970880781013
Dwight 2022,0.014700968,0.004278230108414902
Dwight 2022,0.015731458,0.004589864052635026
Dwight 2022,0.016764209,0.004796801619261393
Dwight 2022,0.017799244,0.004924932606789482
Dwight 2022,0.018836584,0.005001407171492835
Dwight 2022,0.01987625,0.005043374723174089
Dwight 2022,0.020918265,0.005061225023017873
Dwight 2022,0.02196265,0.005062151524954296
Dwight 2022,0.023009427,0.005051550252570349
Dwight 2022,0.024058619,0.005033405081247442
Dwight 2022,0.025110249,0.005010515009002774
Dwight 2022,0.026164339,0.004984776586130313
Dwight 2022,0.027220911,0.004957459294469172
Dwight 2022,0.02827999,0.004929407105121183
Dwight 2022,0.029341598,0.004901171191351396
Dwight 2022,0.030405758,0.004873106974896573
Dwight 2022,0.031472494,0.004845442141326707
Dwight 2022,0.032541831,0.004818316039187376
Dwight 2022,0.033613791,0.004791799586934813
Dwight 2022,0.034688398,0.004765925962794153
Dwight 2022,0.035765678,0.004740719635706438
Dwight 2022,0.036845655,0.004716194291689536
Dwight 2022,0.037928353,0.004692346612920938
Dwight 2022,0.039013798,0.004669162498654966
Dwight 2022,0.040102014,0.004646623286139984
Dwight 2022,0.041193026,0.004624707409529656
Dwight 2022,0.042286861,0.004603392888249836
Dwight 2022,0.043383544,0.004582650691353531
Dwight 2022,0.044483101,0.0045624526173493815
