station_x_over_c	wall_normal_over_c	Ux_over_Uref_RANS_SST	Ux_over_Uref_LES	k_over_Uref2_RANS_SST	k_over_Uref2_LES	uv_over_Uref2_RANS_SST	uv_over_Uref2_LES
0.65	0.11616071428571428	0.0264223763408512	0.023384874289853474	3.239628479873715e-05	0.0002069849496517354	-1.5874791993376884e-06	-7.153480700111797e-05
0.65	0.11624428571428572	0.095702533714113	0.16905412105979664	0.00034550404234509233	0.005282215462633516	-4.801857781967329e-05	-0.0021414634126691845
0.65	0.11632809523809524	0.17324060967835156	0.31124137326174556	0.0014944797874408098	0.012820327937925844	-0.00034127400044127156	-0.005615898749148025
0.65	0.11641166666666668	0.23944795711248723	0.42530488228375823	0.003016084164075187	0.017550675684724536	-0.0008267161920049837	-0.007925780029696072
0.65	0.1164954761904762	0.29082771212534453	0.5098293811465492	0.004229083781923336	0.019346451691325744	-0.001202927420271261	-0.008825618234912644
0.65	0.11657904761904762	0.33172265158606823	0.5716830522468911	0.0051048109862932844	0.01959584337522743	-0.0014597308226414662	-0.008943281158457246
0.65	0.11666428571428572	0.3665353352202182	0.6190403908066924	0.005764792611302586	0.019201481923316138	-0.0016556173996623515	-0.008723207000491548
0.65	0.11675833333333334	0.39936680921665235	0.659051314281271	0.006313773611161825	0.018522290283506947	-0.00182862371759364	-0.008346784708967474
0.65	0.11686928571428572	0.4324639847971533	0.6953356772487044	0.006793742049216765	0.01768977488696502	-0.001987613064569729	-0.007882089240270163
0.65	0.117	0.46612722027414455	0.7284204503406753	0.007206708081062625	0.01680495811271269	-0.002129909255697174	-0.007387480574145182
0.65	0.11715333333333335	0.5002236648555926	0.7587641731965795	0.007548384486882217	0.015928334694245525	-0.00225195395725845	-0.00690090519286513
0.65	0.11733166666666667	0.5345915871425002	0.7868123096598694	0.007815243068265676	0.015090829485854834	-0.002346723739830523	-0.006442324686455088
0.65	0.11753761904761906	0.5690259348254246	0.8130892154993211	0.008006041031919693	0.014301676884044398	-0.0024164376216167004	-0.006020129100092525
0.65	0.11777380952380953	0.6032494540775133	0.8380159725676252	0.008120711650687581	0.013564014071450603	-0.00246112551447708	-0.0056380901804945335
0.65	0.11804119047619048	0.6369646746470393	0.861893309559746	0.008159363356198957	0.012871671151578617	-0.0024807502123816967	-0.0052889446844342014
0.65	0.1183409523809524	0.6698741262822757	0.8849594613995102	0.008130128520675139	0.012222790227844919	-0.002478180096849741	-0.004967625036050497
0.65	0.11867261904761904	0.7016947790349771	0.9072054134235806	0.00803780315850306	0.011618897561966244	-0.0024553369897402796	-0.004673755873491963
0.65	0.11903428571428572	0.7321782596852554	0.9285374963730354	0.007889535416342892	0.011049703943480616	-0.002414859175691623	-0.0044032960424202575
0.65	0.11942285714285714	0.7610877472560071	0.9487006393151824	0.007693240803156723	0.010518757154537822	-0.002359522552751376	-0.004156024166084912
0.65	0.11983309523809524	0.7882095252557004	0.9674018758411697	0.0074573769860547204	0.01000271645497042	-0.002292067988792819	-0.003930333307593273
0.65	0.12025880952380952	0.8133356533141959	0.9842559750727009	0.0071914192212865465	0.009497164053708401	-0.002215383692092232	-0.003756809107063418
0.65	0.12069285714285714	0.836324616457371	0.9996985202813218	0.006905601786509182	0.008586066633896924	-0.0021324744947651456	-0.0035166142155666578
0.65	0.12113499999999999	0.857413235662329	1.0160231766723846	0.00660623039802962	0.008017548058468348	-0.0020451363759176754	-0.003313393969169632
0.65	0.12159952380952381	0.8772368842822731	1.0315953171115904	0.006292279125813786	0.007617850434192643	-0.001952937169219371	-0.0031136601833183417
0.65	0.12209833333333334	0.8961421296007687	1.0463106836119342	0.00596500744494416	0.0072184383949233455	-0.0018558241713954988	-0.0028904657480355294
0.65	0.12263404761904761	0.9140740984645845	1.0599024322881274	0.005632122342018179	0.006819459153596995	-0.0017556722510347	-0.0026570490774779757
0.65	0.12320928571428572	0.9309432609921331	1.0722549384501388	0.00530244014261321	0.006427560682673706	-0.0016547265463900066	-0.0024235872654944876
0.65	0.12382642857142857	0.9466976320908793	1.083338157365436	0.004984785513201206	0.0060443829828695644	-0.0015558404985522134	-0.002193817866504036
0.65	0.12448880952380953	0.9613660923677873	1.0930897309409702	0.0046863316231261	0.00568355844842542	-0.001460108430576048	-0.0019757951751915204
0.65	0.1251992857142857	0.9750208433402662	1.1015313402483433	0.004411282283259221	0.005345050725957459	-0.0013697513818539534	-0.0017716576086790265
0.65	0.12596119047619048	0.9877398626471184	1.1087052385375413	0.004162014648557568	0.005039042055587453	-0.0012858021245119066	-0.0015876475594788803
0.65	0.12677785714285714	0.9995982398664499	1.1147222005470991	0.0039397965349982095	0.0047715681007316655	-0.0012084502505978647	-0.001427814477461194
0.65	0.12765309523809523	1.010671064576366	1.119743842512477	0.003744911532997068	0.004540140775232599	-0.0011378288897183485	-0.0012874543330021492
0.65	0.1285904761904762	1.0210420905370623	1.1239256557146033	0.0035767257345656095	0.004344171887073053	-0.0010739696098189104	-0.0011685238836385873
0.65	0.1295945238095238	1.0307979595694299	1.1273382628956388	0.003433737778678361	0.004186795304359354	-0.0010167027821488756	-0.0010720799588427464
0.65	0.13066904761904763	1.0400253134943602	1.1301227498449944	0.0033137123055862823	0.004065009820952994	-0.0009659682027833813	-0.0009975370526823157
0.65	0.13181857142857142	1.0488136821934408	1.1324447629152625	0.0032137967293409723	0.003973011552946461	-0.0009216905469392521	-0.000941244555302787
0.65	0.13304785714285716	1.0572439313661703	1.1344144075483833	0.003130779805526833	0.0039109548331767024	-0.0008833898295491916	-0.0009010353801321955
0.65	0.13436142857142858	1.0653998147727441	1.1362234808138039	0.0030613001536257197	0.0038731538290120078	-0.0008504204228345176	-0.0008763799502668638
0.65	0.13576476190476192	1.0733448697484824	1.1380524588905168	0.0030019630295411437	0.0038499015876965474	-0.0008220246830801564	-0.0008611699653531304
0.65	0.13726285714285713	1.0811426336287049	1.1399334016985498	0.0029494487572278892	0.0038307260018275746	-0.0007973522711358814	-0.0008526121129681153
0.65	0.1388609523809524	1.08885086762734	1.1419056245907033	0.002900562774059531	0.0038162807645797663	-0.00077547053349705	-0.0008505947688193855
0.65	0.14056476190476191	1.096512892654833	1.1440429374109375	0.0028522523126176045	0.0038044163393774794	-0.0007553851728496942	-0.0008527008766697617
0.65	0.1423797619047619	1.1041633654395404	1.1463647428946764	0.002801631423375365	0.003790283070178786	-0.0007361364434593128	-0.0008607059898890842
