X,Y,Z,U,V,W,k,omega,p,nut,Cf,wss_x,wss_y,wss_z
-56.6606,1.1173,0.0927,0.7262970209121704,7.81658964115195e-05,-4.331244053901173e-05,0.0039938446134328,21.17886543273925,0.0309199057519435,0.0001897046022349,0.0025507928839866314,-0.001275396440178156,-1.032184893112742e-09,6.803698227031418e-08
-56.6255,0.2974,0.0908,0.724225640296936,7.622913835803047e-05,-1.146025624620961e-05,0.0039984020404517,21.60489654541016,0.030915979295969,0.0001861123600974,0.002550761215463449,-0.0012753806076943874,-1.0322787069583228e-09,9.704257841747221e-09
-56.5498,-2.0173,0.0862,,,,,,,,0.0025508408524746516,-0.0012754204217344522,-1.032049778970645e-09,1.0716831866375287e-07
-56.5498,2.0173,0.0862,0.7190943360328674,7.157229993026704e-05,-7.688476762268692e-05,0.0040093902498483,22.7103328704834,0.0309034325182437,0.0001773373078322,0.0025508408524746516,-0.0012754204217344522,-1.032049778970645e-09,1.0716831866375287e-07
-56.5318,-6.2527,0.0872,,,,,,,,0.0025516910183724056,-0.0012758454540744424,-1.029871854463238e-09,3.7500282701330434e-07
-56.5318,6.2527,0.0872,0.7204036712646484,7.245875895023346e-05,-0.000243021218921,0.0040080230683088,22.42545318603516,0.0308798756450414,0.0001793200208339,0.0025516910183724056,-0.0012758454540744424,-1.029871854463238e-09,3.7500282701330434e-07
-56.5093,-2.4223,0.0857,,,,,,,,0.0025508729867155223,-0.0012754364870488644,-1.0319605170394652e-09,1.2685475780926936e-07
-56.5093,2.4223,0.0857,0.7184640765190125,7.103694224497303e-05,-9.21275859582238e-05,0.0040103890933096,22.852399826049805,0.0308969765901565,0.0001763628970365,0.0025508729867155223,-0.0012754364870488644,-1.0319605170394652e-09,1.2685475780926936e-07
-56.5066,-5.4741,0.0864,,,,,,,,0.0025514099570382886,-0.0012757049407809973,-1.0305533093557528e-09,3.102973096247297e-07
-56.5066,5.4741,0.0864,0.7193880081176758,7.166907016653568e-05,-0.0002111811627401,0.0040094652213156,22.653358459472656,0.0308818519115448,0.0001777493889676,0.0025514099570382886,-0.0012757049407809973,-1.0305533093557528e-09,3.102973096247297e-07
-56.4759,-3.2081,0.085,,,,,,,,0.0025510017567362676,-0.0012755008647218347,-1.0316086873629615e-09,1.865761731778548e-07
