x_in,p,Cp
-9.0,0.24224823713302612,0.48449647426605225
-8.97208977,0.24243637919425964,0.4848727583885193
-8.94418335,0.24262650310993195,0.4852530062198639
-8.91628265,0.2428184151649475,0.485636830329895
-8.88838959,0.24301162362098694,0.4860232472419739
-8.86050892,0.2432059645652771,0.4864119291305542
-8.83264255,0.24340106546878815,0.4868021309375763
-8.80479431,0.2435966283082962,0.4871932566165924
-8.77696419,0.24379241466522217,0.48758482933044434
-8.74915791,0.24398821592330933,0.48797643184661865
-8.72137833,0.24417974054813385,0.4883594810962677
-8.6936264,0.2443242371082306,0.4886484742164612
-8.66590404,0.24446851015090942,0.48893702030181885
-8.63821411,0.2446124106645584,0.4892248213291168
-8.61056423,0.2447557896375656,0.4895115792751312
-8.58295155,0.24489852786064148,0.48979705572128296
-8.55537891,0.24504049122333527,0.49008098244667053
-8.52784729,0.24518151581287384,0.4903630316257477
-8.50036335,0.24532146751880646,0.4906429350376129
-8.47292995,0.2454601675271988,0.4909203350543976
-8.44554424,0.24562805891036987,0.49125611782073975
-8.41820908,0.24602171778678894,0.4920434355735779
-8.39092636,0.246413916349411,0.492827832698822
-8.36370277,0.2468046098947525,0.493609219789505
-8.33653832,0.24719379842281342,0.49438759684562683
-8.30943203,0.2475816160440445,0.495163232088089
-8.28238583,0.24796804785728455,0.4959360957145691
-8.2553997,0.24835319817066193,0.49670639634132385
-8.22848225,0.24873699247837067,0.49747398495674133
-8.2016325,0.24911949038505554,0.4982389807701111
-8.1748476,0.24959708750247955,0.4991941750049591
-8.14813042,0.25040769577026367,0.5008153915405273
-8.12148094,0.2512158751487732,0.5024317502975464
-8.09490204,0.2520216405391693,0.5040432810783386
-8.06840134,0.2528248429298401,0.5056496858596802
-8.04197216,0.2536257803440094,0.5072515606880188
-8.01561546,0.25442448258399963,0.5088489651679993
-7.98933268,0.25522103905677795,0.5104420781135559
-7.96312332,0.256015419960022,0.512030839920044
-7.93698931,0.2568075358867645,0.513615071773529
-7.91093969,0.2576923072338104,0.5153846144676208
-7.8849659,0.25885751843452454,0.5177150368690491
-7.85906935,0.2600191533565521,0.5200383067131042
-7.83325005,0.26117709279060364,0.5223541855812073
-7.80750799,0.26233142614364624,0.5246628522872925
-7.78184462,0.2634822726249695,0.526964545249939
-7.75625944,0.26462966203689575,0.5292593240737915
-7.73076105,0.2657732367515564,0.5315464735031128
-7.70534182,0.26691341400146484,0.5338268280029297
-7.68000174,0.2680502235889435,0.536100447177887
-7.65474081,0.26924464106559753,0.5384892821311951
-7.62955952,0.27054911851882935,0.5410982370376587
-7.60445738,0.27184975147247314,0.5436995029449463
-7.57943487,0.2731463611125946,0.5462927222251892
-7.55449152,0.2744388282299042,0.5488776564598083
-7.52962923,0.27572694420814514,0.5514538884162903
-7.50485086,0.27701035141944885,0.5540207028388977
-7.48015165,0.27828893065452576,0.5565778613090515
-7.45553112,0.279562771320343,0.559125542640686
-7.43098879,0.2808317542076111,0.5616635084152222
-7.40652513,0.2820320129394531,0.5640640258789062
-7.38213921,0.2831151485443115,0.566230297088623
-7.357831,0.2841950058937073,0.5683900117874146
-7.33360004,0.28527143597602844,0.5705428719520569
-7.30944633,0.2863442599773407,0.5726885199546814
-7.28536892,0.28741326928138733,0.5748265385627747
-7.2613678,0.2884783446788788,0.5769566893577576
-7.23744202,0.28953948616981506,0.5790789723396301
-7.21359205,0.29059651494026184,0.5811930298805237
-7.18982029,0.2916489541530609,0.5832979083061218
-7.16612244,0.2925880253314972,0.5851760506629944
-7.14249802,0.29340028762817383,0.5868005752563477
-7.11894655,0.2942090630531311,0.5884181261062622
-7.09546804,0.2950141131877899,0.5900282263755798
-7.07206106,0.2958151698112488,0.5916303396224976
-7.0487256,0.296612024307251,0.593224048614502
-7.02546072,0.2974044680595398,0.5948089361190796
-7.00226593,0.2981923222541809,0.5963846445083618
-6.97914076,0.2989749312400818,0.5979498624801636
-6.95608473,0.2997523546218872,0.5995047092437744
-6.93309689,0.30037644505500793,0.6007528901100159
-6.91017628,0.30080312490463257,0.6016062498092651
-6.8873229,0.3012276589870453,0.6024553179740906
-6.86453581,0.30164968967437744,0.6032993793487549
-6.84181404,0.30206912755966187,0.6041382551193237
-6.8191576,0.30248603224754333,0.6049720644950867
-6.79656553,0.3029002249240875,0.605800449848175
-6.77403688,0.3033115565776825,0.606623113155365
-6.75157118,0.30371996760368347,0.6074399352073669
-6.72916746,0.30412524938583374,0.6082504987716675
-6.70682526,0.30441582202911377,0.6088316440582275
