x_mm,y_mm,U_mean,V_mean,W_mean,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
-28.12000084,-9.674352646,,,,,,,,,,,,,
-25.66250992,-9.674352646,,,,,,,,,,,,,
-23.2050209,-9.674352646,,,,,,,,,,,,,
-20.74753189,-9.674352646,,,,,,,,,,,,,
-18.29004097,-9.674352646,,,,,,,,,,,,,
-15.832551,-9.674352646,,,,,,,,,,,,,
-13.37506104,-9.674352646,,,,,,,,,,,,,
-10.91757011,-9.674352646,,,,,,,,,,,,,
-8.4600811,-9.674352646,,,,,,,,,,,,,
-6.002592087,-9.674352646,,,,,,,,,,,,,
-3.545100927,-9.674352646,,,,,,,,,,,,,
-1.087610006,-9.674352646,,,,,,,,,,,,,
1.369879007,-9.674352646,,,,,,,,,,,,,
3.827368021,-9.674352646,,,,,,,,,,,,,
6.284861088,-9.674352646,,,,,,,,,,,,,
8.742349625,-9.674352646,,,,,,,,,,,,,
11.19983864,-9.674352646,,,,,,,,,,,,,
13.65732765,-9.674352646,,,,,,,,,,,,,
16.11481667,-9.674352646,,,,,,,,,,,,,
18.57230949,-9.674352646,,,,,,,,,,,,,
21.02979851,-9.674352646,,,,,,,,,,,,,
23.48728752,-9.674352646,,,,,,,,,,,,,
25.94478035,-9.674352646,,,,,,,,,,,,,
28.40226936,-9.674352646,,,,,,,,,,,,,
30.85975838,-9.674352646,,,,,,,,,,,,,
33.31724548,-9.674352646,,,,,,,,,,,,,
35.7747345,-9.674352646,,,,,,,,,,,,,
38.23222351,-9.674352646,,,,,,,,,,,,,
40.68972015,-9.674352646,,,,,,,,,,,,,
43.14720917,-9.674352646,,,,,,,,,,,,,
45.60469818,-9.674352646,,,,,,,,,,,,,
48.06218719,-9.674352646,,,,,,,,,,,,,
50.51967621,-9.674352646,,,,,,,,,,,,,
52.97716522,-9.674352646,,,,,,,,,,,,,
55.43465424,-9.674352646,,,,,,,,,,,,,
57.89214325,-9.674352646,,,,,,,,,,,,,
60.34963226,-9.674352646,,,,,,,,,,,,,
62.80712891,-9.674352646,,,,,,,,,,,,,
65.26461792,-9.674352646,,,,,,,,,,,,,
67.72210693,-9.674352646,,,,,,,,,,,,,
70.17959595,-9.674352646,,,,,,,,,,,,,
72.63708496,-9.674352646,,,,,,,,,,,,,
75.09457397,-9.674352646,,,,,,,,,,,,,
77.55206299,-9.674352646,,,,,,,,,,,,,
80.00955963,-9.674352646,,,,,,,,,,,,,
82.46704865,-9.674352646,,,,,,,,,,,,,
84.92453766,-9.674352646,,,,,,,,,,,,,
87.38202667,-9.674352646,,,,,,,,,,,,,
89.83951569,-9.674352646,,,,,,,,,,,,,
92.2970047,-9.674352646,,,,,,,,,,,,,
94.75449371,-9.674352646,,,,,,,,,,,,,
97.21198273,-9.674352646,,,,,,,,,,,,,
99.66947174,-9.674352646,,,,,,,,,,,,,
102.1269608,-9.674352646,,,,,,,,,,,,,
104.5844498,-9.674352646,,,,,,,,,,,,,
107.0419388,-9.674352646,,,,,,,,,,,,,
109.4994431,-9.674352646,,,,,,,,,,,,,
111.9569321,-9.674352646,,,,,,,,,,,,,
114.4144211,-9.674352646,,,,,,,,,,,,,
