zone,y/Dj,u/Uj
"x/Djet=2, Dwight 2022",0.0012725624015748032,0.979645872698388
"x/Djet=2, Dwight 2022",0.003911346850393701,0.9805115982205681
"x/Djet=2, Dwight 2022",0.006744065157480316,0.9807848628246142
"x/Djet=2, Dwight 2022",0.009784206889763778,0.9808184685567712
"x/Djet=2, Dwight 2022",0.013045747047244096,0.9808062007202918
"x/Djet=2, Dwight 2022",0.01654306338582677,0.9807845139761835
"x/Djet=2, Dwight 2022",0.02029082874015748,0.9807569549501582
"x/Djet=2, Dwight 2022",0.024303881889763783,0.980727709823385
"x/Djet=2, Dwight 2022",0.02859706102362205,0.9806982902723961
"x/Djet=2, Dwight 2022",0.033185015748031496,0.9806658473683412
"x/Djet=2, Dwight 2022",0.038081976377952756,0.9806288694346874
"x/Djet=2, Dwight 2022",0.043301505905511815,0.9805868913401935
"x/Djet=2, Dwight 2022",0.04885619881889764,0.980538110701301
"x/Djet=2, Dwight 2022",0.0547573720472441,0.9804824693766049
"x/Djet=2, Dwight 2022",0.06101471062992126,0.9804191533864333
"x/Djet=2, Dwight 2022",0.06763590551181102,0.9803463603472278
"x/Djet=2, Dwight 2022",0.07462626968503937,0.9802630437136962
"x/Djet=2, Dwight 2022",0.08198836614173229,0.9801679825163313
"x/Djet=2, Dwight 2022",0.08972162401574804,0.9800586185333078
"x/Djet=2, Dwight 2022",0.09782200984251968,0.9799329168154465
"x/Djet=2, Dwight 2022",0.10628171062992127,0.9797891912619993
"x/Djet=2, Dwight 2022",0.11508889566929134,0.9796261046206485
"x/Djet=2, Dwight 2022",0.1242275472440945,0.9794426684875068
"x/Djet=2, Dwight 2022",0.13367738188976377,0.9792366734891802
"x/Djet=2, Dwight 2022",0.14341387992125987,0.9790062009592996
"x/Djet=2, Dwight 2022",0.15340843307086616,0.9787502624939781
"x/Djet=2, Dwight 2022",0.16362860826771655,0.978467985972139
"x/Djet=2, Dwight 2022",0.17403853937007877,0.9781584411313005
"x/Djet=2, Dwight 2022",0.18459943503937007,0.9778218023956776
"x/Djet=2, Dwight 2022",0.19527017716535436,0.9774572557855992
"x/Djet=2, Dwight 2022",0.206008031496063,0.9770648013010649
"x/Djet=2, Dwight 2022",0.2167693503937008,0.9766449040733157
"x/Djet=2, Dwight 2022",0.2275104527559055,0.9761980292335926
"x/Djet=2, Dwight 2022",0.23818830708661418,0.9757244093475161
"x/Djet=2, Dwight 2022",0.2487613779527559,0.9752259630814551
"x/Djet=2, Dwight 2022",0.2591902559055118,0.9747049579502088
"x/Djet=2, Dwight 2022",0.26943836614173233,0.9741633126201464
"x/Djet=2, Dwight 2022",0.27947240157480313,0.9736030038990416
"x/Djet=2, Dwight 2022",0.28926279527559057,0.973026183018884
"x/Djet=2, Dwight 2022",0.29878403543307086,0.9724351756358778
"x/Djet=2, Dwight 2022",0.3080147637795275,0.9718325981132537
"x/Djet=2, Dwight 2022",0.31693785433070865,0.9712209505314314
"x/Djet=2, Dwight 2022",0.3255403937007874,0.9706026748294257
"x/Djet=2, Dwight 2022",0.3338134448818898,0.9699799803806313
"x/Djet=2, Dwight 2022",0.3417519094488189,0.9693547277100117
"x/Djet=2, Dwight 2022",0.3493541929133859,0.9687289517667462
"x/Djet=2, Dwight 2022",0.35662181102362206,0.9681048619242291
"x/Djet=2, Dwight 2022",0.36355915354330715,0.9674843187074239
"x/Djet=2, Dwight 2022",0.3701729724409449,0.9668748804989961
"x/Djet=2, Dwight 2022",0.37647208661417325,0.9662701517443825
"x/Djet=2, Dwight 2022",0.38246694881889765,0.9655715827619115
"x/Djet=2, Dwight 2022",0.38816938976377957,0.9647184157832365
"x/Djet=2, Dwight 2022",0.3935921850393701,0.9625359618593899
"x/Djet=2, Dwight 2022",0.3987488385826772,0.9570429944696327
"x/Djet=2, Dwight 2022",0.4036532677165354,0.9478896767793804
"x/Djet=2, Dwight 2022",0.40831962598425203,0.9360145273500188
"x/Djet=2, Dwight 2022",0.4127620275590551,0.922606072784933
"x/Djet=2, Dwight 2022",0.416994468503937,0.9085551556933131
"x/Djet=2, Dwight 2022",0.4210306299212599,0.8944255151391661
"x/Djet=2, Dwight 2022",0.4248838188976378,0.8805505339394278
"x/Djet=2, Dwight 2022",0.4285668110236221,0.8671162064490654
"x/Djet=2, Dwight 2022",0.4320918503937008,0.8542162566131257
"x/Djet=2, Dwight 2022",0.4354705511811024,0.8418871390926168
"x/Djet=2, Dwight 2022",0.43871393700787403,0.8301300748570463
"x/Djet=2, Dwight 2022",0.44183236220472444,0.8189250051216487
"x/Djet=2, Dwight 2022",0.4448354921259843,0.8082397195479898
"x/Djet=2, Dwight 2022",0.44773240157480315,0.798035263394642
"x/Djet=2, Dwight 2022",0.45053149606299214,0.7882702981225673
"x/Djet=2, Dwight 2022",0.45324059055118116,0.7789031944857029
"x/Djet=2, Dwight 2022",0.4558668503937008,0.769893660490303
"x/Djet=2, Dwight 2022",0.45841688976377953,0.7612037297988268
"x/Djet=2, Dwight 2022",0.46089683070866144,0.7527985757096097
"x/Djet=2, Dwight 2022",0.4633121850393701,0.7446463948740532
"x/Djet=2, Dwight 2022",0.4656680511811023,0.7367189887106758
"x/Djet=2, Dwight 2022",0.4679690157480315,0.7289912982738725
"x/Djet=2, Dwight 2022",0.4702193110236221,0.7214415205367248
"x/Djet=2, Dwight 2022",0.47242269685039373,0.7140509921081903
"x/Djet=2, Dwight 2022",0.47458259842519684,0.7068036078190519
"x/Djet=2, Dwight 2022",0.4767021062992126,0.6996859951461329
"x/Djet=2, Dwight 2022",0.4787839763779528,0.6926869909396509
"x/Djet=2, Dwight 2022",0.4808306692913386,0.685797583281813
"x/Djet=2, Dwight 2022",0.4828444094488189,0.6790104463555743
