zone,x/Dj,u/Uj
Dwight 2022,1.054080098425197,0.9907521020450879
Dwight 2022,1.0914954527559055,0.9938378989802247
Dwight 2022,1.129595374015748,0.9976944765229867
Dwight 2022,1.1683848031496062,1.0022428786452264
Dwight 2022,1.2078683858267718,1.0073424031465625
Dwight 2022,1.2480503740157483,1.012783392120146
Dwight 2022,1.2889347047244095,1.018299267223519
Dwight 2022,1.3305249409448818,1.0236091473285656
Dwight 2022,1.3728242322834645,1.0283530208548057
Dwight 2022,1.4158353740157479,1.0319879633612647
Dwight 2022,1.4595606496062994,1.0341188458587733
Dwight 2022,1.5040019881889766,1.0347300864507598
Dwight 2022,1.549160787401575,1.0337297054343306
Dwight 2022,1.595038031496063,1.030952639360361
Dwight 2022,1.6416341732283466,1.0265075545150126
Dwight 2022,1.688949192913386,1.0206956815181931
Dwight 2022,1.7369824803149607,1.013911277237995
Dwight 2022,1.785732972440945,1.0066267405909872
Dwight 2022,1.8351989763779528,0.9993185403920974
Dwight 2022,1.8853782874015748,0.9923957014263175
Dwight 2022,1.9362680905511813,0.9861693383524246
Dwight 2022,1.9878649606299212,0.9808388180485619
Dwight 2022,2.0401649606299213,0.9764852477748667
Dwight 2022,2.0931631889763778,0.9730683355375932
Dwight 2022,2.1468547244094487,0.9705523243725951
Dwight 2022,2.201233464566929,0.9690460549902499
Dwight 2022,2.2562931102362205,0.9685270848081828
Dwight 2022,2.3120259842519686,0.9687458709156351
Dwight 2022,2.368424409448819,0.9696017123989454
Dwight 2022,2.425480118110236,0.9710808297451013
Dwight 2022,2.483183464566929,0.9730346135226258
Dwight 2022,2.5415246062992125,0.9753446296892972
Dwight 2022,2.6004931102362208,0.9779809354214807
Dwight 2022,2.6600777559055118,0.9809200997329144
Dwight 2022,2.7202663385826775,0.9841332844866607
Dwight 2022,2.7810464566929136,0.9875872909403983
Dwight 2022,2.8424045275590553,0.9912417689589765
Dwight 2022,2.904326968503937,0.9950439842879549
Dwight 2022,2.9667986220472446,0.9989241672411941
Dwight 2022,3.029804527559055,1.0027996988820242
Dwight 2022,3.0933287401574807,1.0065854601933548
Dwight 2022,3.1573543307086616,1.0101955763198294
Dwight 2022,3.221864566929134,1.013541963032697
Dwight 2022,3.2868411417322836,1.0164673478311181
Dwight 2022,3.3522659448818897,1.0186902100315203
Dwight 2022,3.4181196850393705,1.0199379827267188
Dwight 2022,3.484383070866142,1.0202465973050756
Dwight 2022,3.5510360236220473,1.019894027824451
Dwight 2022,3.6180576771653548,1.019017313576704
Dwight 2022,3.6854271653543305,1.0177261673932887
Dwight 2022,3.7531226377952756,1.0161838503397715
Dwight 2022,3.8211222440944885,1.0145150757301267
Dwight 2022,3.8894033464566933,1.0128236259724863
Dwight 2022,3.957943503937008,1.011183631358374
Dwight 2022,4.02671909448819,1.0096362560026115
Dwight 2022,4.095706692913386,1.0081959771150732
Dwight 2022,4.164882874015748,1.006859771342693
Dwight 2022,4.234223031496064,1.0056151964247757
Dwight 2022,4.303702952755906,1.0044466123233455
Dwight 2022,4.373298425196851,1.003339483687123
Dwight 2022,4.442984448818898,1.0022825892249208
Dwight 2022,4.512736417322835,1.0012680798470484
Dwight 2022,4.582529133858268,1.0002916530895272
Dwight 2022,4.652337992125984,0.9993517391344187
Dwight 2022,4.722137795275591,0.9984473495778363
Dwight 2022,4.791903740157481,0.9975778448643237
Dwight 2022,4.86161062992126,0.9967424110142091
Dwight 2022,4.931233858267716,0.9959399433407954
Dwight 2022,5.000748622047245,0.9951705581268928
Dwight 2022,5.070130314960631,0.9944396625231772
Dwight 2022,5.139354724409449,0.993759001093482
Dwight 2022,5.208397440944882,0.9931430510476811
Dwight 2022,5.277234842519685,0.9926133828470726
Dwight 2022,5.3458431102362205,0.9921891250139397
Dwight 2022,5.414199015748031,0.9918674286194318
Dwight 2022,5.482279527559056,0.9916412004121248
Dwight 2022,5.550062401574804,0.9915113706545002
Dwight 2022,5.617525,0.9914691018529808
Dwight 2022,5.684646062992127,0.991500672635959
Dwight 2022,5.751404133858268,0.991601315408215
Dwight 2022,5.817778543307086,0.9917621345347664
Dwight 2022,5.8837488188976375,0.9919708621791334
Dwight 2022,5.949295472440945,0.9922188934133592
Dwight 2022,6.014399212598426,0.9924983210063476
Dwight 2022,6.079041732283465,0.9928028075449411
Dwight 2022,6.143204527559055,0.9931275272925151
Dwight 2022,6.206870669291338,0.9934687010577368
Dwight 2022,6.270023031496064,0.9938222589422484
Dwight 2022,6.332645669291339,0.9941840729062864
Dwight 2022,6.3947230314960635,0.9945504218999237
Dwight 2022,6.456240354330709,0.9949181081458783
Dwight 2022,6.517183464566929,0.9952842827153002
Dwight 2022,6.577538779527559,0.9956463292449587
Dwight 2022,6.6372933070866145,0.9960018057958392
Dwight 2022,6.696435236220473,0.9963483285703316
Dwight 2022,6.754952952755906,0.9966839207606621
Dwight 2022,6.81283562992126,0.9970074195387287
Dwight 2022,6.870073425196851,0.9973181272076697
Dwight 2022,6.926656496062992,0.9976154042120288
Dwight 2022,6.982576181102363,0.9978989598447805
Dwight 2022,7.037824803149606,0.9981687359645195
Dwight 2022,7.092394488188977,0.9984245581470308
Dwight 2022,7.146278740157481,0.9986666589579346
Dwight 2022,7.199471456692914,0.9988952128214463
Dwight 2022,7.251967125984252,0.9991103941617815
Dwight 2022,7.303761023622048,0.9993124936859652
Dwight 2022,7.354848818897638,0.9995018021010237
Dwight 2022,7.405227165354331,0.999678610113982
Dwight 2022,7.454892716535433,0.9998432084318659
Dwight 2022,7.5038435039370075,0.9999957133374856
Dwight 2022,7.552077362204725,1.0001363573964617
Dwight 2022,7.5995933070866135,1.0002654313158197
