zone,y+,u+
zone,0.9000367726807091,0.9000052331841983
zone,1.000040858534121,0.9999874316874835
zone,1.100044944387533,1.099958986329417
zone,1.200049030240945,1.199916460851876
zone,1.300053116094358,1.299855768000203
zone,1.40005720194777,1.399772120880344
zone,1.500061287801182,1.499659986896612
zone,1.600065373654594,1.599513044592757
zone,1.700069459508006,1.699324143757102
zone,1.800073545361418,1.799085269188155
zone,1.90007763121483,1.898787508547488
zone,2.000081717068242,1.998421024753199
zone,2.100085802921654,2.097975033386554
zone,2.200089888775067,2.19743778559093
zone,2.300093974628479,2.296796556948951
zone,2.400098060481891,2.396037642802674
zone,2.500102146335303,2.495146360463232
zone,2.600106232188715,2.59410705870857
zone,2.700110318042127,2.692903134949244
zone,2.800114403895539,2.791517060289588
zone,2.900118489748952,2.889930412731597
zone,3.000122575602364,2.988123918599748
zone,3.100126661455776,3.086077502177732
zone,3.200130747309188,3.18377034342408
zone,3.3001348331626,3.281180943503809
zone,3.400138919016012,3.378287197738727
zone,3.500143004869424,3.475066475443573
zone,3.600147090722837,3.571495705983389
zone,3.700151176576249,3.667551470262328
zone,3.800155262429661,3.763210096741602
zone,3.900159348283073,3.858447760986795
zone,4.000163434136485,3.953240587667074
zone,4.100167519989897,4.047564753873453
zone,4.200171605843309,4.141396592592271
zone,4.300175691696722,4.234712695165381
zone,4.400179777550133,4.327490011589108
zone,4.500183863403546,4.419705947551013
zone,4.600187949256958,4.511338457173422
zone,4.70019203511037,4.602366130524077
zone,4.800196120963782,4.692768275062963
zone,4.900200206817194,4.78252499031821
zone,5.000204292670606,4.871617235216606
zone,5.100208378524019,4.960026887609472
zone,5.20021246437743,5.047736795807532
zone,5.300216550230843,5.134730821765976
zone,5.400220636084255,5.220993876065958
zone,5.500224721937667,5.306511944727467
zone,5.600228807791079,5.391272108057443
zone,5.700232893644491,5.475262551842068
zone,5.800236979497903,5.558472571268808
zone,5.900241065351316,5.640892568035528
zone,6.000245151204727,5.722514041154928
zone,6.100249237058139,5.80332957199828
zone,6.200253322911552,5.883332804151714
zone,6.300257408764963,5.96251841866724
zone,6.400261494618376,6.040882105292332
zone,6.500265580471788,6.118420530252317
zone,6.6002696663252,6.195131301141974
zone,6.700273752178612,6.271012929458885
zone,6.800277838032025,6.346064791280488
zone,6.900281923885436,6.420287086553911
zone,7.000286009738849,6.493680797429887
zone,7.100290095592261,6.566247646035391
zone,7.200294181445673,6.637990052039441
zone,7.300298267299085,6.70891109032876
zone,7.400302353152497,6.779014449072059
zone,7.500306439005909,6.848304388414923
zone,7.600310524859322,6.916785699989592
zone,7.700314610712733,6.984463667524407
zone,7.800318696566146,7.05134402850374
zone,7.900322782419558,7.117432937147993
zone,8.00032686827297,7.182736928771857
zone,8.100330954126383,7.24726288557073
zone,8.200335039979795,7.31101800389779
zone,8.300339125833206,7.374009763052082
zone,8.400343211686618,7.436245895603878
zone,8.500347297540031,7.497734359253337
zone,8.600351383393443,7.558483310213085
zone,8.700355469246855,7.618501078095073
zone,8.800359555100266,7.677796142272308
zone,8.90036364095368,7.736377109680719
zone,9.000367726807092,7.794252694019713
zone,9.100371812660503,7.851431696305858
zone,9.200375898513915,7.907922986730898
zone,9.300379984367327,7.963735487772871
zone,9.40038407022074,8.018878158506855
